"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","de.tobiasbielefeld.solitaire","/home/matheus/smell-and-machine-learning/repositories/Simple-Solitaire/app/src/main/java/de/tobiasbielefeld/solitaire/SharedData.java","3","59","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.tobiasbielefeld.solitaire.classes","/home/matheus/smell-and-machine-learning/repositories/Simple-Solitaire/app/src/main/java/de/tobiasbielefeld/solitaire/classes/Card.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.tobiasbielefeld.solitaire.classes","/home/matheus/smell-and-machine-learning/repositories/Simple-Solitaire/app/src/main/java/de/tobiasbielefeld/solitaire/classes/HelperCardMovement.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.tobiasbielefeld.solitaire.classes","/home/matheus/smell-and-machine-learning/repositories/Simple-Solitaire/app/src/main/java/de/tobiasbielefeld/solitaire/classes/Stack.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.tobiasbielefeld.solitaire.games","/home/matheus/smell-and-machine-learning/repositories/Simple-Solitaire/app/src/main/java/de/tobiasbielefeld/solitaire/games/Calculation.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.tobiasbielefeld.solitaire.games","/home/matheus/smell-and-machine-learning/repositories/Simple-Solitaire/app/src/main/java/de/tobiasbielefeld/solitaire/games/Canfield.java","3","44","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","de.tobiasbielefeld.solitaire.games","/home/matheus/smell-and-machine-learning/repositories/Simple-Solitaire/app/src/main/java/de/tobiasbielefeld/solitaire/games/Canfield.java","3","211","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.tobiasbielefeld.solitaire.games","/home/matheus/smell-and-machine-learning/repositories/Simple-Solitaire/app/src/main/java/de/tobiasbielefeld/solitaire/games/FortyEight.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.tobiasbielefeld.solitaire.games","/home/matheus/smell-and-machine-learning/repositories/Simple-Solitaire/app/src/main/java/de/tobiasbielefeld/solitaire/games/Game.java","3","50","Avoid really long classes.","Design","ExcessiveClassLength"
"2","de.tobiasbielefeld.solitaire.games","/home/matheus/smell-and-machine-learning/repositories/Simple-Solitaire/app/src/main/java/de/tobiasbielefeld/solitaire/games/Game.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.tobiasbielefeld.solitaire.games","/home/matheus/smell-and-machine-learning/repositories/Simple-Solitaire/app/src/main/java/de/tobiasbielefeld/solitaire/games/Golf.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.tobiasbielefeld.solitaire.games","/home/matheus/smell-and-machine-learning/repositories/Simple-Solitaire/app/src/main/java/de/tobiasbielefeld/solitaire/games/GrandfathersClock.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.tobiasbielefeld.solitaire.games","/home/matheus/smell-and-machine-learning/repositories/Simple-Solitaire/app/src/main/java/de/tobiasbielefeld/solitaire/games/Klondike.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","de.tobiasbielefeld.solitaire.games","/home/matheus/smell-and-machine-learning/repositories/Simple-Solitaire/app/src/main/java/de/tobiasbielefeld/solitaire/games/Klondike.java","3","147","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","de.tobiasbielefeld.solitaire.games","/home/matheus/smell-and-machine-learning/repositories/Simple-Solitaire/app/src/main/java/de/tobiasbielefeld/solitaire/games/Klondike.java","3","474","Avoid really long methods.","Design","ExcessiveMethodLength"
