"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.openintents.shopping.test.test","/home/matheus/smell-and-machine-learning/repositories/shoppinglist/ShoppingList/src/androidTest/java/org/openintents/shopping/test/test/ShoppingActivityTest.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.openintents.provider","/home/matheus/smell-and-machine-learning/repositories/shoppinglist/ShoppingList/src/main/java/org/openintents/provider/Tag.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.openintents.shopping.automation","/home/matheus/smell-and-machine-learning/repositories/shoppinglist/ShoppingList/src/main/java/org/openintents/shopping/automation/EditAutomationActivity.java","3","43","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.openintents.shopping.provider","/home/matheus/smell-and-machine-learning/repositories/shoppinglist/ShoppingList/src/main/java/org/openintents/shopping/provider/ShoppingDatabase.java","3","125","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.openintents.shopping.provider","/home/matheus/smell-and-machine-learning/repositories/shoppinglist/ShoppingList/src/main/java/org/openintents/shopping/provider/ShoppingProvider.java","3","50","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.openintents.shopping.provider","/home/matheus/smell-and-machine-learning/repositories/shoppinglist/ShoppingList/src/main/java/org/openintents/shopping/provider/ShoppingProvider.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.openintents.shopping.provider","/home/matheus/smell-and-machine-learning/repositories/shoppinglist/ShoppingList/src/main/java/org/openintents/shopping/provider/ShoppingProvider.java","3","119","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","org.openintents.shopping.provider","/home/matheus/smell-and-machine-learning/repositories/shoppinglist/ShoppingList/src/main/java/org/openintents/shopping/provider/ShoppingProvider.java","3","867","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","org.openintents.shopping.provider","/home/matheus/smell-and-machine-learning/repositories/shoppinglist/ShoppingList/src/main/java/org/openintents/shopping/provider/ShoppingProvider.java","3","986","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.openintents.shopping.ui","/home/matheus/smell-and-machine-learning/repositories/shoppinglist/ShoppingList/src/main/java/org/openintents/shopping/ui/PreferenceActivity.java","3","205","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.openintents.shopping.ui","/home/matheus/smell-and-machine-learning/repositories/shoppinglist/ShoppingList/src/main/java/org/openintents/shopping/ui/ShoppingActivity.java","3","134","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.openintents.shopping.ui","/home/matheus/smell-and-machine-learning/repositories/shoppinglist/ShoppingList/src/main/java/org/openintents/shopping/ui/ShoppingActivity.java","3","137","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.openintents.shopping.ui","/home/matheus/smell-and-machine-learning/repositories/shoppinglist/ShoppingList/src/main/java/org/openintents/shopping/ui/ShoppingActivity.java","3","407","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","org.openintents.shopping.ui","/home/matheus/smell-and-machine-learning/repositories/shoppinglist/ShoppingList/src/main/java/org/openintents/shopping/ui/ShoppingActivity.java","3","932","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","org.openintents.shopping.ui","/home/matheus/smell-and-machine-learning/repositories/shoppinglist/ShoppingList/src/main/java/org/openintents/shopping/ui/ShoppingActivity.java","3","1518","Avoid really long methods.","Design","ExcessiveMethodLength"
"6","org.openintents.shopping.ui","/home/matheus/smell-and-machine-learning/repositories/shoppinglist/ShoppingList/src/main/java/org/openintents/shopping/ui/ShoppingActivity.java","3","2622","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.openintents.shopping.ui.dialog","/home/matheus/smell-and-machine-learning/repositories/shoppinglist/ShoppingList/src/main/java/org/openintents/shopping/ui/dialog/EditItemDialog.java","3","60","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.openintents.shopping.ui.dialog","/home/matheus/smell-and-machine-learning/repositories/shoppinglist/ShoppingList/src/main/java/org/openintents/shopping/ui/dialog/ThemeDialog.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.openintents.shopping.ui.widget","/home/matheus/smell-and-machine-learning/repositories/shoppinglist/ShoppingList/src/main/java/org/openintents/shopping/ui/widget/ShoppingItemsView.java","3","86","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.openintents.shopping.ui.widget","/home/matheus/smell-and-machine-learning/repositories/shoppinglist/ShoppingList/src/main/java/org/openintents/shopping/ui/widget/ShoppingItemsView.java","3","86","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.openintents.shopping.ui.widget","/home/matheus/smell-and-machine-learning/repositories/shoppinglist/ShoppingList/src/main/java/org/openintents/shopping/ui/widget/ShoppingItemsView.java","3","176","The class 'mItemRowState' is suspected to be a Data Class (WOC=0.000%, NOPA=11, NOAM=0, WMC=1)","Design","DataClass"
"4","org.openintents.shopping.ui.widget","/home/matheus/smell-and-machine-learning/repositories/shoppinglist/ShoppingList/src/main/java/org/openintents/shopping/ui/widget/ShoppingItemsView.java","3","316","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","org.openintents.shopping.ui.widget","/home/matheus/smell-and-machine-learning/repositories/shoppinglist/ShoppingList/src/main/java/org/openintents/shopping/ui/widget/ShoppingItemsView.java","3","487","Avoid really long methods.","Design","ExcessiveMethodLength"
"6","org.openintents.shopping.ui.widget","/home/matheus/smell-and-machine-learning/repositories/shoppinglist/ShoppingList/src/main/java/org/openintents/shopping/ui/widget/ShoppingItemsView.java","3","964","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.openintents.shopping.ui.widget","/home/matheus/smell-and-machine-learning/repositories/shoppinglist/ShoppingList/src/main/java/org/openintents/shopping/ui/widget/StoreListView.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.openintents.shopping.widgets","/home/matheus/smell-and-machine-learning/repositories/shoppinglist/ShoppingList/src/main/java/org/openintents/shopping/widgets/CheckItemsWidget.java","3","115","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.openintents.shopping.library.provider","/home/matheus/smell-and-machine-learning/repositories/shoppinglist/ShoppingListLibrary/src/main/java/org/openintents/shopping/library/provider/ShoppingContract.java","3","25","Avoid really long classes.","Design","ExcessiveClassLength"
"1","org.openintents.shopping.library.util","/home/matheus/smell-and-machine-learning/repositories/shoppinglist/ShoppingListLibrary/src/main/java/org/openintents/shopping/library/util/ShoppingUtils.java","3","361","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.openintents.shopping.wear","/home/matheus/smell-and-machine-learning/repositories/shoppinglist/ShoppingListWear/src/main/java/org/openintents/shopping/wear/ShoppingActivity.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
