"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.mde.potdroid","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/BaseActivity.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.mde.potdroid.fragments","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/fragments/BaseFragment.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.mde.potdroid.fragments","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/fragments/BoardFragment.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.mde.potdroid.fragments","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/fragments/BoardFragment.java","3","324","The class 'ViewHolder' is suspected to be a Data Class (WOC=0.000%, NOPA=9, NOAM=0, WMC=1)","Design","DataClass"
"3","com.mde.potdroid.fragments","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/fragments/BoardFragment.java","3","371","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.mde.potdroid.fragments","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/fragments/BookmarkFragment.java","3","159","The class 'ViewHolder' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=0, WMC=1)","Design","DataClass"
"1","com.mde.potdroid.fragments","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/fragments/EditorFragment.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.mde.potdroid.fragments","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/fragments/ForumFragment.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.mde.potdroid.fragments","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/fragments/MediaFragment.java","3","27","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.mde.potdroid.fragments","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/fragments/MediaFragment.java","3","178","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.mde.potdroid.fragments","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/fragments/MessageFragment.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.mde.potdroid.fragments","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/fragments/MessageListFragment.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.mde.potdroid.fragments","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/fragments/MessageListFragment.java","3","184","The class 'ViewHolder' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=0, WMC=1)","Design","DataClass"
"1","com.mde.potdroid.fragments","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/fragments/PaginateFragment.java","3","21","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.mde.potdroid.fragments","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/fragments/SettingsFragment.java","3","173","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.mde.potdroid.fragments","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/fragments/SidebarBoardsFragment.java","3","157","The class 'ViewHolder' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","com.mde.potdroid.fragments","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/fragments/TopicFragment.java","3","56","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.mde.potdroid.helpers","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/helpers/BBCodeParser.java","3","102","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.mde.potdroid.helpers","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/helpers/BBCodeParser.java","3","450","The class 'Token' is suspected to be a Data Class (WOC=0.000%, NOPA=7, NOAM=0, WMC=6)","Design","DataClass"
"1","com.mde.potdroid.helpers","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/helpers/SettingsWrapper.java","3","20","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.mde.potdroid.helpers","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/helpers/TopicBuilder.java","3","343","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.mde.potdroid.helpers","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/helpers/TopicJSInterface.java","3","19","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.mde.potdroid.helpers.cache","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/helpers/cache/DiskLruCache.java","3","18","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.mde.potdroid.helpers.ptr","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/helpers/ptr/SwipyRefreshLayout.java","3","60","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.mde.potdroid.helpers.ptr","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/helpers/ptr/SwipyRefreshLayout.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.mde.potdroid.helpers.ptr","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/helpers/ptr/SwipyRefreshLayout.java","3","872","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.mde.potdroid.parsers","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/parsers/BoardParser.java","3","52","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.mde.potdroid.parsers","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/parsers/ForumParser.java","3","36","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.mde.potdroid.parsers","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/parsers/TopicParser.java","3","98","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.mde.potdroid.views","/home/matheus/smell-and-machine-learning/repositories/pOT-Droid/src/main/java/com/mde/potdroid/views/SwipeProgressBar.java","3","137","Avoid really long methods.","Design","ExcessiveMethodLength"
