"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.example.games.basegameutils","/home/matheus/smell-and-machine-learning/repositories/shlusiak_Freebloks-Android/src/main/java/com/google/example/games/basegameutils/BaseGameActivity.java","3","44","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.example.games.basegameutils","/home/matheus/smell-and-machine-learning/repositories/shlusiak_Freebloks-Android/src/main/java/com/google/example/games/basegameutils/GameHelper.java","3","48","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.google.example.games.basegameutils","/home/matheus/smell-and-machine-learning/repositories/shlusiak_Freebloks-Android/src/main/java/com/google/example/games/basegameutils/GameHelper.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.saschahlusiak.freebloks.controller","/home/matheus/smell-and-machine-learning/repositories/shlusiak_Freebloks-Android/src/main/java/de/saschahlusiak/freebloks/controller/SpielClient.java","3","23","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","de.saschahlusiak.freebloks.controller","/home/matheus/smell-and-machine-learning/repositories/shlusiak_Freebloks-Android/src/main/java/de/saschahlusiak/freebloks/controller/SpielClient.java","3","157","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.saschahlusiak.freebloks.controller","/home/matheus/smell-and-machine-learning/repositories/shlusiak_Freebloks-Android/src/main/java/de/saschahlusiak/freebloks/controller/SpielClientInterface.java","3","9","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.saschahlusiak.freebloks.game","/home/matheus/smell-and-machine-learning/repositories/shlusiak_Freebloks-Android/src/main/java/de/saschahlusiak/freebloks/game/FreebloksActivity.java","3","85","Avoid really long classes.","Design","ExcessiveClassLength"
"2","de.saschahlusiak.freebloks.game","/home/matheus/smell-and-machine-learning/repositories/shlusiak_Freebloks-Android/src/main/java/de/saschahlusiak/freebloks/game/FreebloksActivity.java","3","85","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","de.saschahlusiak.freebloks.game","/home/matheus/smell-and-machine-learning/repositories/shlusiak_Freebloks-Android/src/main/java/de/saschahlusiak/freebloks/game/FreebloksActivity.java","3","132","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","de.saschahlusiak.freebloks.game","/home/matheus/smell-and-machine-learning/repositories/shlusiak_Freebloks-Android/src/main/java/de/saschahlusiak/freebloks/game/FreebloksActivity.java","3","703","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","de.saschahlusiak.freebloks.game","/home/matheus/smell-and-machine-learning/repositories/shlusiak_Freebloks-Android/src/main/java/de/saschahlusiak/freebloks/game/FreebloksActivity.java","3","1463","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.saschahlusiak.freebloks.game","/home/matheus/smell-and-machine-learning/repositories/shlusiak_Freebloks-Android/src/main/java/de/saschahlusiak/freebloks/game/GameConfiguration.java","3","8","The class 'GameConfiguration' is suspected to be a Data Class (WOC=25.000%, NOPA=3, NOAM=6, WMC=8)","Design","DataClass"
"1","de.saschahlusiak.freebloks.game","/home/matheus/smell-and-machine-learning/repositories/shlusiak_Freebloks-Android/src/main/java/de/saschahlusiak/freebloks/game/GameFinishActivity.java","3","108","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.saschahlusiak.freebloks.lobby","/home/matheus/smell-and-machine-learning/repositories/shlusiak_Freebloks-Android/src/main/java/de/saschahlusiak/freebloks/lobby/ColorAdapter.java","3","99","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.saschahlusiak.freebloks.lobby","/home/matheus/smell-and-machine-learning/repositories/shlusiak_Freebloks-Android/src/main/java/de/saschahlusiak/freebloks/lobby/LobbyDialog.java","3","44","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.saschahlusiak.freebloks.model","/home/matheus/smell-and-machine-learning/repositories/shlusiak_Freebloks-Android/src/main/java/de/saschahlusiak/freebloks/model/Turn.java","3","5","The class 'Turn' is suspected to be a Data Class (WOC=0.000%, NOPA=6, NOAM=0, WMC=4)","Design","DataClass"
"1","de.saschahlusiak.freebloks.network","/home/matheus/smell-and-machine-learning/repositories/shlusiak_Freebloks-Android/src/main/java/de/saschahlusiak/freebloks/network/NET_SET_STONE.java","3","8","The class 'NET_SET_STONE' is suspected to be a Data Class (WOC=25.000%, NOPA=4, NOAM=0, WMC=17)","Design","DataClass"
"1","de.saschahlusiak.freebloks.preferences","/home/matheus/smell-and-machine-learning/repositories/shlusiak_Freebloks-Android/src/main/java/de/saschahlusiak/freebloks/preferences/FreebloksPreferences.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","de.saschahlusiak.freebloks.preferences","/home/matheus/smell-and-machine-learning/repositories/shlusiak_Freebloks-Android/src/main/java/de/saschahlusiak/freebloks/preferences/FreebloksPreferences.java","3","39","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.saschahlusiak.freebloks.view","/home/matheus/smell-and-machine-learning/repositories/shlusiak_Freebloks-Android/src/main/java/de/saschahlusiak/freebloks/view/BoardRenderer.java","3","16","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","de.saschahlusiak.freebloks.view","/home/matheus/smell-and-machine-learning/repositories/shlusiak_Freebloks-Android/src/main/java/de/saschahlusiak/freebloks/view/BoardRenderer.java","3","337","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","de.saschahlusiak.freebloks.view","/home/matheus/smell-and-machine-learning/repositories/shlusiak_Freebloks-Android/src/main/java/de/saschahlusiak/freebloks/view/Freebloks3DView.java","3","27","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.saschahlusiak.freebloks.view","/home/matheus/smell-and-machine-learning/repositories/shlusiak_Freebloks-Android/src/main/java/de/saschahlusiak/freebloks/view/FreebloksRenderer.java","3","91","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.saschahlusiak.freebloks.view.model","/home/matheus/smell-and-machine-learning/repositories/shlusiak_Freebloks-Android/src/main/java/de/saschahlusiak/freebloks/view/model/CurrentStone.java","3","19","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
