"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.hughes.android.dictionary","/home/matheus/smell-and-machine-learning/repositories/rdoeffinger_Dictionary/src/com/hughes/android/dictionary/DictionaryActivity.java","3","120","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.hughes.android.dictionary","/home/matheus/smell-and-machine-learning/repositories/rdoeffinger_Dictionary/src/com/hughes/android/dictionary/DictionaryActivity.java","3","120","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.hughes.android.dictionary","/home/matheus/smell-and-machine-learning/repositories/rdoeffinger_Dictionary/src/com/hughes/android/dictionary/DictionaryActivity.java","3","249","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.hughes.android.dictionary","/home/matheus/smell-and-machine-learning/repositories/rdoeffinger_Dictionary/src/com/hughes/android/dictionary/DictionaryActivity.java","3","941","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","com.hughes.android.dictionary","/home/matheus/smell-and-machine-learning/repositories/rdoeffinger_Dictionary/src/com/hughes/android/dictionary/DictionaryActivity.java","3","1059","Avoid really long methods.","Design","ExcessiveMethodLength"
"6","com.hughes.android.dictionary","/home/matheus/smell-and-machine-learning/repositories/rdoeffinger_Dictionary/src/com/hughes/android/dictionary/DictionaryActivity.java","3","1571","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.hughes.android.dictionary","/home/matheus/smell-and-machine-learning/repositories/rdoeffinger_Dictionary/src/com/hughes/android/dictionary/DictionaryManagerActivity.java","3","93","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.hughes.android.dictionary","/home/matheus/smell-and-machine-learning/repositories/rdoeffinger_Dictionary/src/com/hughes/android/dictionary/IsoUtils.java","3","39","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.hughes.android.dictionary.engine","/home/matheus/smell-and-machine-learning/repositories/rdoeffinger_Dictionary/src/com/hughes/android/dictionary/engine/Index.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.hughes.android.dictionary.engine","/home/matheus/smell-and-machine-learning/repositories/rdoeffinger_Dictionary/src/com/hughes/android/dictionary/engine/Index.java","3","427","Avoid really long methods.","Design","ExcessiveMethodLength"
