"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","protect.rentalcalc","/home/matheus/smell-and-machine-learning/repositories/brarcher_rental-calc/app/src/main/java/protect/rentalcalc/CalcUtil.java","3","9","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","protect.rentalcalc","/home/matheus/smell-and-machine-learning/repositories/brarcher_rental-calc/app/src/main/java/protect/rentalcalc/DBHelper.java","3","154","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","protect.rentalcalc","/home/matheus/smell-and-machine-learning/repositories/brarcher_rental-calc/app/src/main/java/protect/rentalcalc/ItemizationAdapter.java","3","52","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","protect.rentalcalc","/home/matheus/smell-and-machine-learning/repositories/brarcher_rental-calc/app/src/main/java/protect/rentalcalc/Property.java","3","139","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","protect.rentalcalc","/home/matheus/smell-and-machine-learning/repositories/brarcher_rental-calc/app/src/main/java/protect/rentalcalc/PropertyOverviewActivity.java","3","43","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","protect.rentalcalc","/home/matheus/smell-and-machine-learning/repositories/brarcher_rental-calc/app/src/main/java/protect/rentalcalc/PropertyPicturesActivity.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","protect.rentalcalc","/home/matheus/smell-and-machine-learning/repositories/brarcher_rental-calc/app/src/main/java/protect/rentalcalc/PropertyPicturesActivity.java","3","431","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","protect.rentalcalc","/home/matheus/smell-and-machine-learning/repositories/brarcher_rental-calc/app/src/main/java/protect/rentalcalc/PropertyProjectionsActivity.java","3","46","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","protect.rentalcalc","/home/matheus/smell-and-machine-learning/repositories/brarcher_rental-calc/app/src/main/java/protect/rentalcalc/PropertySummaryActivity.java","3","25","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","protect.rentalcalc","/home/matheus/smell-and-machine-learning/repositories/brarcher_rental-calc/app/src/main/java/protect/rentalcalc/PropertyViewActivity.java","3","45","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","protect.rentalcalc","/home/matheus/smell-and-machine-learning/repositories/brarcher_rental-calc/app/src/main/java/protect/rentalcalc/PropertyViewActivity.java","3","154","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","protect.rentalcalc","/home/matheus/smell-and-machine-learning/repositories/brarcher_rental-calc/app/src/main/java/protect/rentalcalc/PropertyWorksheetActivity.java","3","66","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","protect.rentalcalc","/home/matheus/smell-and-machine-learning/repositories/brarcher_rental-calc/app/src/test/java/protect/rentalcalc/ItemizationActivityTest.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","protect.rentalcalc","/home/matheus/smell-and-machine-learning/repositories/brarcher_rental-calc/app/src/test/java/protect/rentalcalc/PropertyNotesActivityTest.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","protect.rentalcalc","/home/matheus/smell-and-machine-learning/repositories/brarcher_rental-calc/app/src/test/java/protect/rentalcalc/PropertyOverviewActivityTest.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","protect.rentalcalc","/home/matheus/smell-and-machine-learning/repositories/brarcher_rental-calc/app/src/test/java/protect/rentalcalc/PropertyOverviewActivityTest.java","3","166","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","protect.rentalcalc","/home/matheus/smell-and-machine-learning/repositories/brarcher_rental-calc/app/src/test/java/protect/rentalcalc/PropertyProjectionsActivityTest.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","protect.rentalcalc","/home/matheus/smell-and-machine-learning/repositories/brarcher_rental-calc/app/src/test/java/protect/rentalcalc/PropertyProjectionsActivityTest.java","3","217","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","protect.rentalcalc","/home/matheus/smell-and-machine-learning/repositories/brarcher_rental-calc/app/src/test/java/protect/rentalcalc/PropertySummaryActivityTest.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","protect.rentalcalc","/home/matheus/smell-and-machine-learning/repositories/brarcher_rental-calc/app/src/test/java/protect/rentalcalc/PropertyViewActivityTest.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","protect.rentalcalc","/home/matheus/smell-and-machine-learning/repositories/brarcher_rental-calc/app/src/test/java/protect/rentalcalc/PropertyWorksheetActivityTest.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","protect.rentalcalc","/home/matheus/smell-and-machine-learning/repositories/brarcher_rental-calc/app/src/test/java/protect/rentalcalc/PropertyWorksheetActivityTest.java","3","422","Avoid really long methods.","Design","ExcessiveMethodLength"
