"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.samebits.beacon.locator","/home/matheus/smell-and-machine-learning/repositories/vitas_beaconloc/app/src/main/java/com/samebits/beacon/locator/BeaconLocatorApp.java","3","65","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.samebits.beacon.locator.data","/home/matheus/smell-and-machine-learning/repositories/vitas_beaconloc/app/src/main/java/com/samebits/beacon/locator/data/DbStoreService.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.samebits.beacon.locator.model","/home/matheus/smell-and-machine-learning/repositories/vitas_beaconloc/app/src/main/java/com/samebits/beacon/locator/model/ActionBeacon.java","3","27","The class 'ActionBeacon' is suspected to be a Data Class (WOC=5.556%, NOPA=1, NOAM=15, WMC=19)","Design","DataClass"
"1","com.samebits.beacon.locator.model","/home/matheus/smell-and-machine-learning/repositories/vitas_beaconloc/app/src/main/java/com/samebits/beacon/locator/model/NotificationAction.java","3","27","The class 'NotificationAction' is suspected to be a Data Class (WOC=22.222%, NOPA=1, NOAM=6, WMC=10)","Design","DataClass"
"1","com.samebits.beacon.locator.model","/home/matheus/smell-and-machine-learning/repositories/vitas_beaconloc/app/src/main/java/com/samebits/beacon/locator/model/TrackedBeacon.java","3","31","The class 'TrackedBeacon' is suspected to be a Data Class (WOC=28.571%, NOPA=1, NOAM=8, WMC=15)","Design","DataClass"
"1","com.samebits.beacon.locator.ui.activity","/home/matheus/smell-and-machine-learning/repositories/vitas_beaconloc/app/src/main/java/com/samebits/beacon/locator/ui/activity/MainNavigationActivity.java","3","73","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.samebits.beacon.locator.ui.fragment","/home/matheus/smell-and-machine-learning/repositories/vitas_beaconloc/app/src/main/java/com/samebits/beacon/locator/ui/fragment/DetectedBeaconsFragment.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.samebits.beacon.locator.ui.fragment","/home/matheus/smell-and-machine-learning/repositories/vitas_beaconloc/app/src/main/java/com/samebits/beacon/locator/ui/fragment/ScanFragment.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.samebits.beacon.locator.ui.fragment","/home/matheus/smell-and-machine-learning/repositories/vitas_beaconloc/app/src/main/java/com/samebits/beacon/locator/ui/fragment/ScanRadarFragment.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.samebits.beacon.locator.ui.fragment","/home/matheus/smell-and-machine-learning/repositories/vitas_beaconloc/app/src/main/java/com/samebits/beacon/locator/ui/fragment/TrackedBeaconsFragment.java","3","59","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.samebits.beacon.locator.ui.view","/home/matheus/smell-and-machine-learning/repositories/vitas_beaconloc/app/src/main/java/com/samebits/beacon/locator/ui/view/RadarScanView.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.samebits.beacon.locator.ui.view","/home/matheus/smell-and-machine-learning/repositories/vitas_beaconloc/app/src/main/java/com/samebits/beacon/locator/ui/view/WrapLinearLayoutManager.java","3","124","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.dinglisch.android.tasker","/home/matheus/smell-and-machine-learning/repositories/vitas_beaconloc/app/src/main/java/net/dinglisch/android/tasker/TaskerIntent.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
