"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","pl.hypeapp.endoscope.presenter","/home/matheus/smell-and-machine-learning/repositories/hypeapps_Endoscope/app/src/main/java/pl/hypeapp/endoscope/presenter/QrCodeScannerPresenter.java","3","15","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","pl.hypeapp.endoscope.presenter","/home/matheus/smell-and-machine-learning/repositories/hypeapps_Endoscope/app/src/main/java/pl/hypeapp/endoscope/presenter/SettingsPresenter.java","3","8","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","pl.hypeapp.endoscope.presenter","/home/matheus/smell-and-machine-learning/repositories/hypeapps_Endoscope/app/src/main/java/pl/hypeapp/endoscope/presenter/StartStreamPresenter.java","3","17","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","pl.hypeapp.endoscope.ui.activity","/home/matheus/smell-and-machine-learning/repositories/hypeapps_Endoscope/app/src/main/java/pl/hypeapp/endoscope/ui/activity/ConnectToStreamActivity.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","pl.hypeapp.endoscope.ui.activity","/home/matheus/smell-and-machine-learning/repositories/hypeapps_Endoscope/app/src/main/java/pl/hypeapp/endoscope/ui/activity/SettingsActivity.java","3","27","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","pl.hypeapp.endoscope.ui.activity","/home/matheus/smell-and-machine-learning/repositories/hypeapps_Endoscope/app/src/main/java/pl/hypeapp/endoscope/ui/activity/StartStreamActivity.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","pl.hypeapp.endoscope.ui.fragment","/home/matheus/smell-and-machine-learning/repositories/hypeapps_Endoscope/app/src/main/java/pl/hypeapp/endoscope/ui/fragment/QrCodeScannerFragment.java","3","26","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","pl.hypeapp.endoscope.view","/home/matheus/smell-and-machine-learning/repositories/hypeapps_Endoscope/app/src/main/java/pl/hypeapp/endoscope/view/StartStreamView.java","3","6","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.majorkernelpanic.streaming","/home/matheus/smell-and-machine-learning/repositories/hypeapps_Endoscope/libstreaming/src/main/java/net/majorkernelpanic/streaming/Session.java","3","65","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.majorkernelpanic.streaming.hw","/home/matheus/smell-and-machine-learning/repositories/hypeapps_Endoscope/libstreaming/src/main/java/net/majorkernelpanic/streaming/hw/EncoderDebugger.java","3","55","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","net.majorkernelpanic.streaming.hw","/home/matheus/smell-and-machine-learning/repositories/hypeapps_Endoscope/libstreaming/src/main/java/net/majorkernelpanic/streaming/hw/EncoderDebugger.java","3","163","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.majorkernelpanic.streaming.rtsp","/home/matheus/smell-and-machine-learning/repositories/hypeapps_Endoscope/libstreaming/src/main/java/net/majorkernelpanic/streaming/rtsp/RtspClient.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.majorkernelpanic.streaming.rtsp","/home/matheus/smell-and-machine-learning/repositories/hypeapps_Endoscope/libstreaming/src/main/java/net/majorkernelpanic/streaming/rtsp/RtspServer.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","net.majorkernelpanic.streaming.rtsp","/home/matheus/smell-and-machine-learning/repositories/hypeapps_Endoscope/libstreaming/src/main/java/net/majorkernelpanic/streaming/rtsp/RtspServer.java","3","444","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.majorkernelpanic.streaming.rtsp","/home/matheus/smell-and-machine-learning/repositories/hypeapps_Endoscope/libstreaming/src/main/java/net/majorkernelpanic/streaming/rtsp/UriParser.java","3","65","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.majorkernelpanic.streaming.video","/home/matheus/smell-and-machine-learning/repositories/hypeapps_Endoscope/libstreaming/src/main/java/net/majorkernelpanic/streaming/video/H264Stream.java","3","143","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.majorkernelpanic.streaming.video","/home/matheus/smell-and-machine-learning/repositories/hypeapps_Endoscope/libstreaming/src/main/java/net/majorkernelpanic/streaming/video/VideoStream.java","3","59","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
