"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","im.vector","/home/matheus/smell-and-machine-learning/repositories/riot-android/vector/src/main/java/im/vector/Matrix.java","3","74","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","im.vector","/home/matheus/smell-and-machine-learning/repositories/riot-android/vector/src/main/java/im/vector/RegistrationManager.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","im.vector","/home/matheus/smell-and-machine-learning/repositories/riot-android/vector/src/main/java/im/vector/RegistrationManager.java","3","249","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","im.vector","/home/matheus/smell-and-machine-learning/repositories/riot-android/vector/src/main/java/im/vector/UnrecognizedCertHandler.java","3","73","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","im.vector","/home/matheus/smell-and-machine-learning/repositories/riot-android/vector/src/main/java/im/vector/VectorApp.java","3","84","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","im.vector","/home/matheus/smell-and-machine-learning/repositories/riot-android/vector/src/main/java/im/vector/VectorApp.java","3","188","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","im.vector.activity","/home/matheus/smell-and-machine-learning/repositories/riot-android/vector/src/main/java/im/vector/activity/AccountCreationActivity.java","3","74","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","im.vector.activity","/home/matheus/smell-and-machine-learning/repositories/riot-android/vector/src/main/java/im/vector/activity/AccountCreationCaptchaActivity.java","3","96","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","im.vector.activity","/home/matheus/smell-and-machine-learning/repositories/riot-android/vector/src/main/java/im/vector/activity/CommonActivityUtils.java","3","94","Avoid really long classes.","Design","ExcessiveClassLength"
"2","im.vector.activity","/home/matheus/smell-and-machine-learning/repositories/riot-android/vector/src/main/java/im/vector/activity/CommonActivityUtils.java","3","94","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","im.vector.activity","/home/matheus/smell-and-machine-learning/repositories/riot-android/vector/src/main/java/im/vector/activity/CommonActivityUtils.java","3","1029","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","im.vector.activity","/home/matheus/smell-and-machine-learning/repositories/riot-android/vector/src/main/java/im/vector/activity/FallbackLoginActivity.java","3","111","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","im.vector.activity","/home/matheus/smell-and-machine-learning/repositories/riot-android/vector/src/main/java/im/vector/activity/HistoricalRoomsActivity.java","3","70","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","im.vector.activity","/home/matheus/smell-and-machine-learning/repositories/riot-android/vector/src/main/java/im/vector/activity/LockScreenActivity.java","3","94","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","im.vector.activity","/home/matheus/smell-and-machine-learning/repositories/riot-android/vector/src/main/java/im/vector/activity/LoginActivity.java","3","99","Avoid really long classes.","Design","ExcessiveClassLength"
"2","im.vector.activity","/home/matheus/smell-and-machine-learning/repositories/riot-android/vector/src/main/java/im/vector/activity/LoginActivity.java","3","99","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","im.vector.activity","/home/matheus/smell-and-machine-learning/repositories/riot-android/vector/src/main/java/im/vector/activity/LoginActivity.java","3","360","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","im.vector.activity","/home/matheus/smell-and-machine-learning/repositories/riot-android/vector/src/main/java/im/vector/activity/LoginActivity.java","3","938","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","im.vector.activity","/home/matheus/smell-and-machine-learning/repositories/riot-android/vector/src/main/java/im/vector/activity/PhoneNumberAdditionActivity.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","im.vector.activity","/home/matheus/smell-and-machine-learning/repositories/riot-android/vector/src/main/java/im/vector/activity/SplashActivity.java","3","242","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","im.vector.activity","/home/matheus/smell-and-machine-learning/repositories/riot-android/vector/src/main/java/im/vector/activity/VectorCallViewActivity.java","3","78","Avoid really long classes.","Design","ExcessiveClassLength"
