"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","eu.rekisoft.android.numberpicker","/home/matheus/smell-and-machine-learning/repositories/vuze-remote-for-android/android-numberpicker/src/eu/rekisoft/android/numberpicker/NumberPicker.java","3","94","Avoid really long classes.","Design","ExcessiveClassLength"
"2","eu.rekisoft.android.numberpicker","/home/matheus/smell-and-machine-learning/repositories/vuze-remote-for-android/android-numberpicker/src/eu/rekisoft/android/numberpicker/NumberPicker.java","3","94","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","eu.rekisoft.android.numberpicker","/home/matheus/smell-and-machine-learning/repositories/vuze-remote-for-android/android-numberpicker/src/eu/rekisoft/android/numberpicker/NumberPicker.java","3","577","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","eu.rekisoft.android.numberpicker","/home/matheus/smell-and-machine-learning/repositories/vuze-remote-for-android/android-numberpicker/src/eu/rekisoft/android/numberpicker/NumberPicker.java","3","2404","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"5","eu.rekisoft.android.numberpicker","/home/matheus/smell-and-machine-learning/repositories/vuze-remote-for-android/android-numberpicker/src/eu/rekisoft/android/numberpicker/NumberPicker.java","3","2474","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.astuetz","/home/matheus/smell-and-machine-learning/repositories/vuze-remote-for-android/pagerSlidingTabStrip/src/main/java/com/astuetz/PagerSlidingTabStrip.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.astuetz","/home/matheus/smell-and-machine-learning/repositories/vuze-remote-for-android/pagerSlidingTabStrip/src/main/java/com/astuetz/PagerSlidingTabStrip.java","3","120","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.vuze.android.core.az","/home/matheus/smell-and-machine-learning/repositories/vuze-remote-for-android/vuzeAndroidRemote/src/coreFlavor/java/com/vuze/android/core/az/PlatformManagerImpl.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.vuze.android.core.az","/home/matheus/smell-and-machine-learning/repositories/vuze-remote-for-android/vuzeAndroidRemote/src/coreFlavor/java/com/vuze/android/core/az/VuzeManager.java","3","153","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.vuze.android.core.az","/home/matheus/smell-and-machine-learning/repositories/vuze-remote-for-android/vuzeAndroidRemote/src/coreFlavor/java/com/vuze/android/core/az/VuzeManager.java","3","494","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","com.vuze.android.core.az","/home/matheus/smell-and-machine-learning/repositories/vuze-remote-for-android/vuzeAndroidRemote/src/coreFlavor/java/com/vuze/android/core/az/VuzeManager.java","3","758","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.vuze.android.remote","/home/matheus/smell-and-machine-learning/repositories/vuze-remote-for-android/vuzeAndroidRemote/src/coreFlavor/java/com/vuze/android/remote/CorePrefs.java","3","27","The class 'CorePrefs' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=5, WMC=29)","Design","DataClass"
"1","com.vuze.android.remote.service","/home/matheus/smell-and-machine-learning/repositories/vuze-remote-for-android/vuzeAndroidRemote/src/coreFlavor/java/com/vuze/android/remote/service/VuzeService.java","3","111","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.vuze.android.remote.service","/home/matheus/smell-and-machine-learning/repositories/vuze-remote-for-android/vuzeAndroidRemote/src/coreFlavor/java/com/vuze/android/remote/service/VuzeService.java","3","115","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.vuze.android.remote.service","/home/matheus/smell-and-machine-learning/repositories/vuze-remote-for-android/vuzeAndroidRemote/src/coreFlavor/java/com/vuze/android/remote/service/VuzeService.java","3","460","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.vuze.android.remote","/home/matheus/smell-and-machine-learning/repositories/vuze-remote-for-android/vuzeAndroidRemote/src/gaFlavor/java/com/vuze/android/remote/VuzeEasyTrackerNew.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.android.flexbox","/home/matheus/smell-and-machine-learning/repositories/vuze-remote-for-android/vuzeAndroidRemote/src/main/java/com/google/android/flexbox/FlexboxLayout.java","3","79","Avoid really long classes.","Design","ExcessiveClassLength"
