"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.genonbeta.TrebleShot.activity","/home/matheus/smell-and-machine-learning/repositories/TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/activity/AboutActivity.java","3","30","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.genonbeta.TrebleShot.activity","/home/matheus/smell-and-machine-learning/repositories/TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/activity/ContentSharingActivity.java","3","42","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.genonbeta.TrebleShot.activity","/home/matheus/smell-and-machine-learning/repositories/TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/activity/HomeActivity.java","3","59","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.genonbeta.TrebleShot.activity","/home/matheus/smell-and-machine-learning/repositories/TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/activity/ShareActivity.java","3","64","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.genonbeta.TrebleShot.activity","/home/matheus/smell-and-machine-learning/repositories/TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/activity/ShareActivity.java","3","208","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","com.genonbeta.TrebleShot.activity","/home/matheus/smell-and-machine-learning/repositories/TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/activity/ShareActivity.java","3","218","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.genonbeta.TrebleShot.activity","/home/matheus/smell-and-machine-learning/repositories/TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/activity/ShareActivity.java","3","225","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.genonbeta.TrebleShot.activity","/home/matheus/smell-and-machine-learning/repositories/TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/activity/TransactionActivity.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.genonbeta.TrebleShot.activity","/home/matheus/smell-and-machine-learning/repositories/TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/activity/TransactionActivity.java","3","145","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.genonbeta.TrebleShot.adapter","/home/matheus/smell-and-machine-learning/repositories/TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/adapter/ApplicationListAdapter.java","3","90","The class 'PackageHolder' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=0, WMC=1)","Design","DataClass"
"1","com.genonbeta.TrebleShot.adapter","/home/matheus/smell-and-machine-learning/repositories/TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/adapter/MusicListAdapter.java","3","209","The class 'SongHolder' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=0, WMC=3)","Design","DataClass"
"2","com.genonbeta.TrebleShot.adapter","/home/matheus/smell-and-machine-learning/repositories/TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/adapter/MusicListAdapter.java","3","222","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.genonbeta.TrebleShot.adapter","/home/matheus/smell-and-machine-learning/repositories/TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/adapter/NetworkDeviceListAdapter.java","3","139","The class 'HotspotNetwork' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=0, WMC=1)","Design","DataClass"
"1","com.genonbeta.TrebleShot.adapter","/home/matheus/smell-and-machine-learning/repositories/TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/adapter/TransactionGroupListAdapter.java","3","204","The class 'PreloadedGroup' is suspected to be a Data Class (WOC=0.000%, NOPA=10, NOAM=0, WMC=2)","Design","DataClass"
"1","com.genonbeta.TrebleShot.adapter","/home/matheus/smell-and-machine-learning/repositories/TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/adapter/TransactionListAdapter.java","3","77","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.genonbeta.TrebleShot.app","/home/matheus/smell-and-machine-learning/repositories/TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/app/EditableListFragment.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.genonbeta.TrebleShot.dialog","/home/matheus/smell-and-machine-learning/repositories/TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/dialog/ConnectionChooserDialog.java","3","101","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.genonbeta.TrebleShot.dialog","/home/matheus/smell-and-machine-learning/repositories/TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/dialog/ConnectionChooserDialog.java","3","132","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.genonbeta.TrebleShot.dialog","/home/matheus/smell-and-machine-learning/repositories/TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/dialog/DeviceInfoDialog.java","3","46","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.genonbeta.TrebleShot.dialog","/home/matheus/smell-and-machine-learning/repositories/TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/dialog/TransactionInfoDialog.java","3","34","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.genonbeta.TrebleShot.fragment","/home/matheus/smell-and-machine-learning/repositories/TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/fragment/FileListFragment.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.genonbeta.TrebleShot.fragment","/home/matheus/smell-and-machine-learning/repositories/TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/fragment/NetworkDeviceListFragment.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.genonbeta.TrebleShot.fragment","/home/matheus/smell-and-machine-learning/repositories/TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/fragment/NetworkDeviceListFragment.java","3","124","Avoid really long methods.","Design","ExcessiveMethodLength"
