"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.genonbeta.TrebleShot.activity","/home/matheus/smell-and-machine-learning/repositories/genonbeta_TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/activity/AddDevicesToTransferActivity.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.genonbeta.TrebleShot.activity","/home/matheus/smell-and-machine-learning/repositories/genonbeta_TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/activity/AddDevicesToTransferActivity.java","3","224","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","com.genonbeta.TrebleShot.activity","/home/matheus/smell-and-machine-learning/repositories/genonbeta_TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/activity/AddDevicesToTransferActivity.java","3","231","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.genonbeta.TrebleShot.activity","/home/matheus/smell-and-machine-learning/repositories/genonbeta_TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/activity/AddDevicesToTransferActivity.java","3","247","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.genonbeta.TrebleShot.activity","/home/matheus/smell-and-machine-learning/repositories/genonbeta_TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/activity/ViewTransferActivity.java","3","63","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.genonbeta.TrebleShot.activity","/home/matheus/smell-and-machine-learning/repositories/genonbeta_TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/activity/ViewTransferActivity.java","3","145","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.genonbeta.TrebleShot.adapter","/home/matheus/smell-and-machine-learning/repositories/genonbeta_TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/adapter/ApplicationListAdapter.java","3","97","The class 'PackageHolder' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=0, WMC=1)","Design","DataClass"
"1","com.genonbeta.TrebleShot.adapter","/home/matheus/smell-and-machine-learning/repositories/genonbeta_TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/adapter/EstablishConnectionDialog.java","3","57","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.genonbeta.TrebleShot.adapter","/home/matheus/smell-and-machine-learning/repositories/genonbeta_TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/adapter/EstablishConnectionDialog.java","3","64","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.genonbeta.TrebleShot.adapter","/home/matheus/smell-and-machine-learning/repositories/genonbeta_TrebleShot/app/src/main/java/com/genonbeta/TrebleShot/adapter/FileListAdapter.java","3","68","Avoid really long methods.","Design","ExcessiveMethodLength"
