"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","ro.ciubex.dscautorename","/home/matheus/smell-and-machine-learning/repositories/dscautorename/src/ro/ciubex/dscautorename/DSCApplication.java","3","85","Avoid really long classes.","Design","ExcessiveClassLength"
"2","ro.ciubex.dscautorename","/home/matheus/smell-and-machine-learning/repositories/dscautorename/src/ro/ciubex/dscautorename/DSCApplication.java","3","85","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ro.ciubex.dscautorename.activity","/home/matheus/smell-and-machine-learning/repositories/dscautorename/src/ro/ciubex/dscautorename/activity/RenameDlgActivity.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ro.ciubex.dscautorename.activity","/home/matheus/smell-and-machine-learning/repositories/dscautorename/src/ro/ciubex/dscautorename/activity/SettingsActivity.java","3","98","Avoid really long classes.","Design","ExcessiveClassLength"
"2","ro.ciubex.dscautorename.activity","/home/matheus/smell-and-machine-learning/repositories/dscautorename/src/ro/ciubex/dscautorename/activity/SettingsActivity.java","3","101","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","ro.ciubex.dscautorename.activity","/home/matheus/smell-and-machine-learning/repositories/dscautorename/src/ro/ciubex/dscautorename/activity/SettingsActivity.java","3","238","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","ro.ciubex.dscautorename.dialog","/home/matheus/smell-and-machine-learning/repositories/dscautorename/src/ro/ciubex/dscautorename/dialog/FileNamePatternEditorDialog.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ro.ciubex.dscautorename.dialog","/home/matheus/smell-and-machine-learning/repositories/dscautorename/src/ro/ciubex/dscautorename/dialog/SelectFoldersListDialog.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ro.ciubex.dscautorename.model","/home/matheus/smell-and-machine-learning/repositories/dscautorename/src/ro/ciubex/dscautorename/model/FileItem.java","3","29","The class 'FileItem' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=12, WMC=12)","Design","DataClass"
"1","ro.ciubex.dscautorename.service","/home/matheus/smell-and-machine-learning/repositories/dscautorename/src/ro/ciubex/dscautorename/service/CameraRenameService.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ro.ciubex.dscautorename.task","/home/matheus/smell-and-machine-learning/repositories/dscautorename/src/ro/ciubex/dscautorename/task/FileRenameThread.java","3","61","Avoid really long classes.","Design","ExcessiveClassLength"
"2","ro.ciubex.dscautorename.task","/home/matheus/smell-and-machine-learning/repositories/dscautorename/src/ro/ciubex/dscautorename/task/FileRenameThread.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ro.ciubex.dscautorename.task","/home/matheus/smell-and-machine-learning/repositories/dscautorename/src/ro/ciubex/dscautorename/task/SettingsFileUtilAsyncTask.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ro.ciubex.dscautorename.util","/home/matheus/smell-and-machine-learning/repositories/dscautorename/src/ro/ciubex/dscautorename/util/Utilities.java","3","56","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
