"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","fr.gouv.etalab.mastodon.activities","/home/matheus/smell-and-machine-learning/repositories/stom79_mastalab/app/src/main/java/fr/gouv/etalab/mastodon/activities/AboutActivity.java","3","68","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","fr.gouv.etalab.mastodon.activities","/home/matheus/smell-and-machine-learning/repositories/stom79_mastalab/app/src/main/java/fr/gouv/etalab/mastodon/activities/BaseMainActivity.java","3","132","Avoid really long classes.","Design","ExcessiveClassLength"
"2","fr.gouv.etalab.mastodon.activities","/home/matheus/smell-and-machine-learning/repositories/stom79_mastalab/app/src/main/java/fr/gouv/etalab/mastodon/activities/BaseMainActivity.java","3","133","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","fr.gouv.etalab.mastodon.activities","/home/matheus/smell-and-machine-learning/repositories/stom79_mastalab/app/src/main/java/fr/gouv/etalab/mastodon/activities/BaseMainActivity.java","3","165","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","fr.gouv.etalab.mastodon.activities","/home/matheus/smell-and-machine-learning/repositories/stom79_mastalab/app/src/main/java/fr/gouv/etalab/mastodon/activities/BaseMainActivity.java","3","646","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","fr.gouv.etalab.mastodon.activities","/home/matheus/smell-and-machine-learning/repositories/stom79_mastalab/app/src/main/java/fr/gouv/etalab/mastodon/activities/BaseMainActivity.java","3","652","Avoid really long methods.","Design","ExcessiveMethodLength"
"6","fr.gouv.etalab.mastodon.activities","/home/matheus/smell-and-machine-learning/repositories/stom79_mastalab/app/src/main/java/fr/gouv/etalab/mastodon/activities/BaseMainActivity.java","3","928","Avoid really long methods.","Design","ExcessiveMethodLength"
"7","fr.gouv.etalab.mastodon.activities","/home/matheus/smell-and-machine-learning/repositories/stom79_mastalab/app/src/main/java/fr/gouv/etalab/mastodon/activities/BaseMainActivity.java","3","1087","Avoid really long methods.","Design","ExcessiveMethodLength"
"8","fr.gouv.etalab.mastodon.activities","/home/matheus/smell-and-machine-learning/repositories/stom79_mastalab/app/src/main/java/fr/gouv/etalab/mastodon/activities/BaseMainActivity.java","3","1339","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","fr.gouv.etalab.mastodon.activities","/home/matheus/smell-and-machine-learning/repositories/stom79_mastalab/app/src/main/java/fr/gouv/etalab/mastodon/activities/EditProfileActivity.java","3","224","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","fr.gouv.etalab.mastodon.activities","/home/matheus/smell-and-machine-learning/repositories/stom79_mastalab/app/src/main/java/fr/gouv/etalab/mastodon/activities/ListActivity.java","3","78","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","fr.gouv.etalab.mastodon.activities","/home/matheus/smell-and-machine-learning/repositories/stom79_mastalab/app/src/main/java/fr/gouv/etalab/mastodon/activities/LoginActivity.java","3","77","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","fr.gouv.etalab.mastodon.activities","/home/matheus/smell-and-machine-learning/repositories/stom79_mastalab/app/src/main/java/fr/gouv/etalab/mastodon/activities/LoginActivity.java","3","278","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","fr.gouv.etalab.mastodon.activities","/home/matheus/smell-and-machine-learning/repositories/stom79_mastalab/app/src/main/java/fr/gouv/etalab/mastodon/activities/MediaActivity.java","3","110","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","fr.gouv.etalab.mastodon.activities","/home/matheus/smell-and-machine-learning/repositories/stom79_mastalab/app/src/main/java/fr/gouv/etalab/mastodon/activities/MediaActivity.java","3","309","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","fr.gouv.etalab.mastodon.activities","/home/matheus/smell-and-machine-learning/repositories/stom79_mastalab/app/src/main/java/fr/gouv/etalab/mastodon/activities/OwnerStatusActivity.java","3","105","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","fr.gouv.etalab.mastodon.activities","/home/matheus/smell-and-machine-learning/repositories/stom79_mastalab/app/src/main/java/fr/gouv/etalab/mastodon/activities/OwnerStatusActivity.java","3","294","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","fr.gouv.etalab.mastodon.activities","/home/matheus/smell-and-machine-learning/repositories/stom79_mastalab/app/src/main/java/fr/gouv/etalab/mastodon/activities/RemoteFollowActivity.java","3","98","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","fr.gouv.etalab.mastodon.activities","/home/matheus/smell-and-machine-learning/repositories/stom79_mastalab/app/src/main/java/fr/gouv/etalab/mastodon/activities/ShowAccountActivity.java","3","143","Avoid really long methods.","Design","ExcessiveMethodLength"
