"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.quaap.bookymcbookface","/home/matheus/smell-and-machine-learning/repositories/quaap_BookyMcBookface/app/src/main/java/com/quaap/bookymcbookface/BookDb.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.quaap.bookymcbookface","/home/matheus/smell-and-machine-learning/repositories/quaap_BookyMcBookface/app/src/main/java/com/quaap/bookymcbookface/BookListActivity.java","3","67","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.quaap.bookymcbookface","/home/matheus/smell-and-machine-learning/repositories/quaap_BookyMcBookface/app/src/main/java/com/quaap/bookymcbookface/BookListActivity.java","3","890","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.quaap.bookymcbookface","/home/matheus/smell-and-machine-learning/repositories/quaap_BookyMcBookface/app/src/main/java/com/quaap/bookymcbookface/FsTools.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.quaap.bookymcbookface","/home/matheus/smell-and-machine-learning/repositories/quaap_BookyMcBookface/app/src/main/java/com/quaap/bookymcbookface/ReaderActivity.java","3","63","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.quaap.bookymcbookface","/home/matheus/smell-and-machine-learning/repositories/quaap_BookyMcBookface/app/src/main/java/com/quaap/bookymcbookface/ReaderActivity.java","3","63","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.quaap.bookymcbookface","/home/matheus/smell-and-machine-learning/repositories/quaap_BookyMcBookface/app/src/main/java/com/quaap/bookymcbookface/ReaderActivity.java","3","100","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.quaap.bookymcbookface.book","/home/matheus/smell-and-machine-learning/repositories/quaap_BookyMcBookface/app/src/main/java/com/quaap/bookymcbookface/book/Book.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.quaap.bookymcbookface.book","/home/matheus/smell-and-machine-learning/repositories/quaap_BookyMcBookface/app/src/main/java/com/quaap/bookymcbookface/book/BookMetadata.java","3","19","The class 'BookMetadata' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=8)","Design","DataClass"
"1","com.quaap.bookymcbookface.book","/home/matheus/smell-and-machine-learning/repositories/quaap_BookyMcBookface/app/src/main/java/com/quaap/bookymcbookface/book/EpubBook.java","3","309","Avoid really long methods.","Design","ExcessiveMethodLength"
