"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","de.baumann.weather","/home/matheus/smell-and-machine-learning/repositories/scoute-dich_Weather/app/src/main/java/de/baumann/weather/Browser.java","3","78","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","de.baumann.weather","/home/matheus/smell-and-machine-learning/repositories/scoute-dich_Weather/app/src/main/java/de/baumann/weather/Browser.java","3","335","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","de.baumann.weather","/home/matheus/smell-and-machine-learning/repositories/scoute-dich_Weather/app/src/main/java/de/baumann/weather/Browser.java","3","447","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.baumann.weather.fragmentsMain","/home/matheus/smell-and-machine-learning/repositories/scoute-dich_Weather/app/src/main/java/de/baumann/weather/fragmentsMain/FragmentBookmarks.java","3","108","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","de.baumann.weather.fragmentsMain","/home/matheus/smell-and-machine-learning/repositories/scoute-dich_Weather/app/src/main/java/de/baumann/weather/fragmentsMain/FragmentBookmarks.java","3","214","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.baumann.weather.fragmentsMain","/home/matheus/smell-and-machine-learning/repositories/scoute-dich_Weather/app/src/main/java/de/baumann/weather/fragmentsMain/FragmentInfo.java","3","29","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.baumann.weather.fragmentsWeather","/home/matheus/smell-and-machine-learning/repositories/scoute-dich_Weather/app/src/main/java/de/baumann/weather/fragmentsWeather/FragmentForecast.java","3","81","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","de.baumann.weather.fragmentsWeather","/home/matheus/smell-and-machine-learning/repositories/scoute-dich_Weather/app/src/main/java/de/baumann/weather/fragmentsWeather/FragmentForecast.java","3","299","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.baumann.weather.fragmentsWeather","/home/matheus/smell-and-machine-learning/repositories/scoute-dich_Weather/app/src/main/java/de/baumann/weather/fragmentsWeather/FragmentHourly.java","3","81","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","de.baumann.weather.fragmentsWeather","/home/matheus/smell-and-machine-learning/repositories/scoute-dich_Weather/app/src/main/java/de/baumann/weather/fragmentsWeather/FragmentHourly.java","3","299","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.baumann.weather.fragmentsWeather","/home/matheus/smell-and-machine-learning/repositories/scoute-dich_Weather/app/src/main/java/de/baumann/weather/fragmentsWeather/FragmentOverview.java","3","82","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","de.baumann.weather.fragmentsWeather","/home/matheus/smell-and-machine-learning/repositories/scoute-dich_Weather/app/src/main/java/de/baumann/weather/fragmentsWeather/FragmentOverview.java","3","299","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.baumann.weather.helper","/home/matheus/smell-and-machine-learning/repositories/scoute-dich_Weather/app/src/main/java/de/baumann/weather/helper/Popup_info.java","3","24","Avoid really long methods.","Design","ExcessiveMethodLength"
