"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.circlegate.liban.base","/home/matheus/smell-and-machine-learning/repositories/trezor-android/cgcmn-liban/src/main/java/com/circlegate/liban/base/ApiDataIO.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.circlegate.liban.base","/home/matheus/smell-and-machine-learning/repositories/trezor-android/cgcmn-liban/src/main/java/com/circlegate/liban/base/ApiDataIO.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.circlegate.liban.dialog","/home/matheus/smell-and-machine-learning/repositories/trezor-android/cgcmn-liban/src/main/java/com/circlegate/liban/dialog/PromptDialog.java","3","37","Avoid long parameter lists.","Design","ExcessiveParameterList"
"2","com.circlegate.liban.dialog","/home/matheus/smell-and-machine-learning/repositories/trezor-android/cgcmn-liban/src/main/java/com/circlegate/liban/dialog/PromptDialog.java","3","42","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.circlegate.liban.task","/home/matheus/smell-and-machine-learning/repositories/trezor-android/cgcmn-liban/src/main/java/com/circlegate/liban/task/TaskErrors.java","3","255","The class 'ErrCodeMsgError' is suspected to be a Data Class (WOC=0.000%, NOPA=2, NOAM=2, WMC=6)","Design","DataClass"
"1","com.circlegate.liban.task","/home/matheus/smell-and-machine-learning/repositories/trezor-android/cgcmn-liban/src/main/java/com/circlegate/liban/task/TaskFragment.java","3","23","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.circlegate.liban.task","/home/matheus/smell-and-machine-learning/repositories/trezor-android/cgcmn-liban/src/main/java/com/circlegate/liban/task/TaskFragment.java","3","364","The class 'PendingTask' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=7)","Design","DataClass"
"3","com.circlegate.liban.task","/home/matheus/smell-and-machine-learning/repositories/trezor-android/cgcmn-liban/src/main/java/com/circlegate/liban/task/TaskFragment.java","3","474","The class 'ProgressTask' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=7)","Design","DataClass"
"1","com.circlegate.liban.task","/home/matheus/smell-and-machine-learning/repositories/trezor-android/cgcmn-liban/src/main/java/com/circlegate/liban/task/TaskSerialExecutor.java","3","172","The class 'Task' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=5, WMC=8)","Design","DataClass"
"1","com.circlegate.liban.view","/home/matheus/smell-and-machine-learning/repositories/trezor-android/cgcmn-liban/src/main/java/com/circlegate/liban/view/LoadingView.java","3","17","The class 'LoadingView' is suspected to be a Data Class (WOC=22.222%, NOPA=0, NOAM=4, WMC=19)","Design","DataClass"
"1","com.circlegate.liban.view","/home/matheus/smell-and-machine-learning/repositories/trezor-android/cgcmn-liban/src/main/java/com/circlegate/liban/view/PaddedLinearLayout.java","3","12","The class 'PaddedLinearLayout' is suspected to be a Data Class (WOC=0.000%, NOPA=3, NOAM=5, WMC=28)","Design","DataClass"
"1","tinyguava","/home/matheus/smell-and-machine-learning/repositories/trezor-android/cgcmn-liban/src/main/java/tinyguava/ImmutableList.java","3","8","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.satoshilabs.trezor.app.activity","/home/matheus/smell-and-machine-learning/repositories/trezor-android/trezor-app/src/main/java/com/satoshilabs/trezor/app/activity/ChangeHomescreenActivity.java","3","100","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.satoshilabs.trezor.app.activity","/home/matheus/smell-and-machine-learning/repositories/trezor-android/trezor-app/src/main/java/com/satoshilabs/trezor/app/activity/ChangeHomescreenActivity.java","3","110","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.satoshilabs.trezor.app.activity","/home/matheus/smell-and-machine-learning/repositories/trezor-android/trezor-app/src/main/java/com/satoshilabs/trezor/app/activity/EnterPinActivity.java","3","58","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.satoshilabs.trezor.app.activity","/home/matheus/smell-and-machine-learning/repositories/trezor-android/trezor-app/src/main/java/com/satoshilabs/trezor/app/activity/EnterPinActivity.java","3","217","The class 'EnterPinActivityParam' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=2)","Design","DataClass"
"1","com.satoshilabs.trezor.app.activity","/home/matheus/smell-and-machine-learning/repositories/trezor-android/trezor-app/src/main/java/com/satoshilabs/trezor/app/activity/FirmwareUpgradeActivity.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.satoshilabs.trezor.app.activity","/home/matheus/smell-and-machine-learning/repositories/trezor-android/trezor-app/src/main/java/com/satoshilabs/trezor/app/activity/FirmwareUpgradeActivity.java","3","117","Avoid really long methods.","Design","ExcessiveMethodLength"
