"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.cgogolin.library","/home/matheus/smell-and-machine-learning/repositories/cgogolin_library/src/com/cgogolin/library/BaseBibtexEntry.java","3","117","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.cgogolin.library","/home/matheus/smell-and-machine-learning/repositories/cgogolin_library/src/com/cgogolin/library/BibtexAdapter.java","3","59","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.cgogolin.library","/home/matheus/smell-and-machine-learning/repositories/cgogolin_library/src/com/cgogolin/library/BibtexAdapter.java","3","491","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.cgogolin.library","/home/matheus/smell-and-machine-learning/repositories/cgogolin_library/src/com/cgogolin/library/BibtexParser.java","3","17","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.cgogolin.library","/home/matheus/smell-and-machine-learning/repositories/cgogolin_library/src/com/cgogolin/library/LatexPrettyPrinter.java","3","18","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.cgogolin.library","/home/matheus/smell-and-machine-learning/repositories/cgogolin_library/src/com/cgogolin/library/LatexPrettyPrinter.java","3","24","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","com.cgogolin.library","/home/matheus/smell-and-machine-learning/repositories/cgogolin_library/src/com/cgogolin/library/LatexPrettyPrinter.java","3","1403","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.cgogolin.library","/home/matheus/smell-and-machine-learning/repositories/cgogolin_library/src/com/cgogolin/library/Library.java","3","71","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.cgogolin.library","/home/matheus/smell-and-machine-learning/repositories/cgogolin_library/src/com/cgogolin/library/Library.java","3","580","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","com.cgogolin.library","/home/matheus/smell-and-machine-learning/repositories/cgogolin_library/src/com/cgogolin/library/Library.java","3","746","Avoid really long methods.","Design","ExcessiveMethodLength"
