"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.metinkale.prayerapp","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/MainActivity.java","3","76","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.metinkale.prayerapp","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/MainActivity.java","3","323","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.metinkale.prayerapp.about","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/about/AboutFragment.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.metinkale.prayerapp.compass","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/compass/CompassFragment.java","3","67","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.metinkale.prayerapp.compass.classes","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/compass/classes/OrientationCalculatorImpl.java","3","88","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.metinkale.prayerapp.compass.classes.math","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/compass/classes/math/Vector3.java","3","30","The class 'Vector3' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=0, WMC=2)","Design","DataClass"
"1","com.metinkale.prayerapp.hadis","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/hadis/HadithFragment.java","3","73","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.metinkale.prayerapp.hadis","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/hadis/MyScrollView.java","3","45","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.metinkale.prayerapp.hadis","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/hadis/MyScrollView.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.metinkale.prayerapp.settings","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/settings/Prefs.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.metinkale.prayerapp.utils","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/utils/MultipleOrientationSlidingDrawer.java","3","40","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.metinkale.prayerapp.utils","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/utils/MultipleOrientationSlidingDrawer.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.metinkale.prayerapp.utils","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/utils/MultipleOrientationSlidingDrawer.java","3","744","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.metinkale.prayerapp.utils","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/utils/Utils.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.metinkale.prayerapp.vakit","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/vakit/AlarmReceiver.java","3","182","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.metinkale.prayerapp.vakit","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/vakit/LocationService.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.metinkale.prayerapp.vakit","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/vakit/WidgetService.java","3","144","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.metinkale.prayerapp.vakit.fragments","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/vakit/fragments/CalcTimeConfDialogFragment.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.metinkale.prayerapp.vakit.fragments","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/vakit/fragments/CalcTimeConfDialogFragment.java","3","72","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.metinkale.prayerapp.vakit.fragments","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/vakit/fragments/CityFragment.java","3","77","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.metinkale.prayerapp.vakit.fragments","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/vakit/fragments/CityFragment.java","3","403","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.metinkale.prayerapp.vakit.fragments","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/vakit/fragments/NotificationPrefs.java","3","192","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.metinkale.prayerapp.vakit.fragments","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/vakit/fragments/NotificationPrefs.java","3","316","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.metinkale.prayerapp.vakit.fragments","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/vakit/fragments/SearchCityFragment.java","3","70","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.metinkale.prayerapp.vakit.fragments","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/vakit/fragments/SettingsFragment.java","3","54","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.metinkale.prayerapp.vakit.fragments","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/vakit/fragments/SortFragment.java","3","164","The class 'ViewHolder' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","com.metinkale.prayerapp.vakit.fragments","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/vakit/fragments/VakitFragment.java","3","79","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.metinkale.prayerapp.vakit.sounds","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/vakit/sounds/SoundChooser.java","3","69","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.metinkale.prayerapp.vakit.sounds","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/vakit/sounds/SoundChooser.java","3","205","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.metinkale.prayerapp.vakit.times","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/vakit/times/Times.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.metinkale.prayerapp.vakit.widget","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/vakit/widget/WidgetLegacy.java","3","136","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.metinkale.prayerapp.vakit.widget","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/vakit/widget/WidgetLegacy.java","3","279","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","com.metinkale.prayerapp.vakit.widget","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/vakit/widget/WidgetLegacy.java","3","452","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.metinkale.prayerapp.vakit.widget","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/vakit/widget/WidgetLegacy.java","3","590","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.metinkale.prayerapp.vakit.widget","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/vakit/widget/WidgetV24.java","3","289","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.metinkale.prayerapp.zikr","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/main/java/com/metinkale/prayerapp/zikr/ZikrFragment.java","3","65","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.metinkale.prayerapp.compass","/home/matheus/smell-and-machine-learning/repositories/metinkale38_namaz-vakti-android/app/src/play/java/com/metinkale/prayerapp/compass/FragMap.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
