"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","souch.smp","/home/matheus/smell-and-machine-learning/repositories/SMP/app/src/androidTest/java/souch/smp/PathTest.java","3","26","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","souch.smp","/home/matheus/smell-and-machine-learning/repositories/SMP/app/src/androidTest/java/souch/smp/RowsTest.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","souch.smp","/home/matheus/smell-and-machine-learning/repositories/SMP/app/src/main/java/souch/smp/Main.java","3","56","Avoid really long classes.","Design","ExcessiveClassLength"
"2","souch.smp","/home/matheus/smell-and-machine-learning/repositories/SMP/app/src/main/java/souch/smp/Main.java","3","56","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","souch.smp","/home/matheus/smell-and-machine-learning/repositories/SMP/app/src/main/java/souch/smp/Main.java","3","107","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","souch.smp","/home/matheus/smell-and-machine-learning/repositories/SMP/app/src/main/java/souch/smp/MusicService.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","souch.smp","/home/matheus/smell-and-machine-learning/repositories/SMP/app/src/main/java/souch/smp/PlayerState.java","3","21","The class 'PlayerState' is suspected to be a Data Class (WOC=25.000%, NOPA=11, NOAM=2, WMC=4)","Design","DataClass"
"1","souch.smp","/home/matheus/smell-and-machine-learning/repositories/SMP/app/src/main/java/souch/smp/Row.java","3","27","The class 'Row' is suspected to be a Data Class (WOC=22.222%, NOPA=2, NOAM=6, WMC=12)","Design","DataClass"
"1","souch.smp","/home/matheus/smell-and-machine-learning/repositories/SMP/app/src/main/java/souch/smp/RowGroup.java","3","25","The class 'RowGroup' is suspected to be a Data Class (WOC=30.000%, NOPA=3, NOAM=6, WMC=20)","Design","DataClass"
"1","souch.smp","/home/matheus/smell-and-machine-learning/repositories/SMP/app/src/main/java/souch/smp/RowSong.java","3","55","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","souch.smp","/home/matheus/smell-and-machine-learning/repositories/SMP/app/src/main/java/souch/smp/RowViewHolder.java","3","26","The class 'RowViewHolder' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","souch.smp","/home/matheus/smell-and-machine-learning/repositories/SMP/app/src/main/java/souch/smp/Rows.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","souch.smp","/home/matheus/smell-and-machine-learning/repositories/SMP/app/src/main/java/souch/smp/Rows.java","3","759","Avoid really long methods.","Design","ExcessiveMethodLength"
