"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.gateshipone.odyssey.activities","/home/matheus/smell-and-machine-learning/repositories/gateship-one_odyssey/app/src/main/java/org/gateshipone/odyssey/activities/OdysseyMainActivity.java","3","102","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.gateshipone.odyssey.activities","/home/matheus/smell-and-machine-learning/repositories/gateship-one_odyssey/app/src/main/java/org/gateshipone/odyssey/activities/OdysseyMainActivity.java","3","133","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.gateshipone.odyssey.adapter","/home/matheus/smell-and-machine-learning/repositories/gateship-one_odyssey/app/src/main/java/org/gateshipone/odyssey/adapter/GenericSectionAdapter.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gateshipone.odyssey.artworkdatabase","/home/matheus/smell-and-machine-learning/repositories/gateship-one_odyssey/app/src/main/java/org/gateshipone/odyssey/artworkdatabase/ArtworkManager.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gateshipone.odyssey.artworkdatabase","/home/matheus/smell-and-machine-learning/repositories/gateship-one_odyssey/app/src/main/java/org/gateshipone/odyssey/artworkdatabase/BulkDownloadService.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gateshipone.odyssey.fragments","/home/matheus/smell-and-machine-learning/repositories/gateship-one_odyssey/app/src/main/java/org/gateshipone/odyssey/fragments/AlbumTracksFragment.java","3","63","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gateshipone.odyssey.fragments","/home/matheus/smell-and-machine-learning/repositories/gateship-one_odyssey/app/src/main/java/org/gateshipone/odyssey/fragments/ArtistAlbumsFragment.java","3","65","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gateshipone.odyssey.fragments","/home/matheus/smell-and-machine-learning/repositories/gateship-one_odyssey/app/src/main/java/org/gateshipone/odyssey/fragments/ArtistsFragment.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gateshipone.odyssey.fragments","/home/matheus/smell-and-machine-learning/repositories/gateship-one_odyssey/app/src/main/java/org/gateshipone/odyssey/fragments/FilesFragment.java","3","64","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gateshipone.odyssey.fragments","/home/matheus/smell-and-machine-learning/repositories/gateship-one_odyssey/app/src/main/java/org/gateshipone/odyssey/fragments/MyMusicFragment.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gateshipone.odyssey.fragments","/home/matheus/smell-and-machine-learning/repositories/gateship-one_odyssey/app/src/main/java/org/gateshipone/odyssey/fragments/PlaylistTracksFragment.java","3","56","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gateshipone.odyssey.fragments","/home/matheus/smell-and-machine-learning/repositories/gateship-one_odyssey/app/src/main/java/org/gateshipone/odyssey/fragments/RecentAlbumsFragment.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gateshipone.odyssey.fragments","/home/matheus/smell-and-machine-learning/repositories/gateship-one_odyssey/app/src/main/java/org/gateshipone/odyssey/fragments/SavedPlaylistsFragment.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gateshipone.odyssey.playbackservice","/home/matheus/smell-and-machine-learning/repositories/gateship-one_odyssey/app/src/main/java/org/gateshipone/odyssey/playbackservice/GaplessPlayer.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gateshipone.odyssey.playbackservice","/home/matheus/smell-and-machine-learning/repositories/gateship-one_odyssey/app/src/main/java/org/gateshipone/odyssey/playbackservice/OdysseyPlaybackServiceInterface.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gateshipone.odyssey.playbackservice","/home/matheus/smell-and-machine-learning/repositories/gateship-one_odyssey/app/src/main/java/org/gateshipone/odyssey/playbackservice/OdysseyServiceState.java","3","25","The class 'OdysseyServiceState' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","org.gateshipone.odyssey.playbackservice","/home/matheus/smell-and-machine-learning/repositories/gateship-one_odyssey/app/src/main/java/org/gateshipone/odyssey/playbackservice/PlaybackService.java","3","62","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.gateshipone.odyssey.playbackservice","/home/matheus/smell-and-machine-learning/repositories/gateship-one_odyssey/app/src/main/java/org/gateshipone/odyssey/playbackservice/PlaybackService.java","3","62","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gateshipone.odyssey.playbackservice","/home/matheus/smell-and-machine-learning/repositories/gateship-one_odyssey/app/src/main/java/org/gateshipone/odyssey/playbackservice/PlaybackServiceHandler.java","3","44","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.gateshipone.odyssey.playbackservice.managers","/home/matheus/smell-and-machine-learning/repositories/gateship-one_odyssey/app/src/main/java/org/gateshipone/odyssey/playbackservice/managers/PlaybackServiceStatusHelper.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.gateshipone.odyssey.views","/home/matheus/smell-and-machine-learning/repositories/gateship-one_odyssey/app/src/main/java/org/gateshipone/odyssey/views/NowPlayingView.java","3","82","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.gateshipone.odyssey.views","/home/matheus/smell-and-machine-learning/repositories/gateship-one_odyssey/app/src/main/java/org/gateshipone/odyssey/views/NowPlayingView.java","3","83","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.gateshipone.odyssey.views","/home/matheus/smell-and-machine-learning/repositories/gateship-one_odyssey/app/src/main/java/org/gateshipone/odyssey/views/NowPlayingView.java","3","797","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","org.gateshipone.odyssey.views","/home/matheus/smell-and-machine-learning/repositories/gateship-one_odyssey/app/src/main/java/org/gateshipone/odyssey/views/NowPlayingView.java","3","1099","Avoid really long methods.","Design","ExcessiveMethodLength"
