"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.owncloud.android.authentication","/home/matheus/smell-and-machine-learning/repositories/owncloud_android_/androidTest/java/com/owncloud/android/authentication/AuthenticatorActivityTest.java","3","69","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.owncloud.android.ui.activity","/home/matheus/smell-and-machine-learning/repositories/owncloud_android_/androidTest/java/com/owncloud/android/ui/activity/PublicShareActivityTest.java","3","89","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.owncloud.android.test.ui.actions","/home/matheus/smell-and-machine-learning/repositories/owncloud_android_/automationTest/src/test/java/com/owncloud/android/test/ui/actions/Actions.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.owncloud.android","/home/matheus/smell-and-machine-learning/repositories/owncloud_android_/src/com/owncloud/android/MainApp.java","3","76","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.owncloud.android.authentication","/home/matheus/smell-and-machine-learning/repositories/owncloud_android_/src/com/owncloud/android/authentication/AccountAuthenticator.java","3","59","The class 'AccountAuthenticator' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=18)","Design","DataClass"
"1","com.owncloud.android.authentication","/home/matheus/smell-and-machine-learning/repositories/owncloud_android_/src/com/owncloud/android/authentication/AuthenticatorActivity.java","3","127","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.owncloud.android.authentication","/home/matheus/smell-and-machine-learning/repositories/owncloud_android_/src/com/owncloud/android/authentication/AuthenticatorActivity.java","3","130","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.owncloud.android.authentication","/home/matheus/smell-and-machine-learning/repositories/owncloud_android_/src/com/owncloud/android/authentication/AuthenticatorActivity.java","3","468","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.owncloud.android.authentication","/home/matheus/smell-and-machine-learning/repositories/owncloud_android_/src/com/owncloud/android/authentication/BaseWebViewClient.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.owncloud.android.datamodel","/home/matheus/smell-and-machine-learning/repositories/owncloud_android_/src/com/owncloud/android/datamodel/FileDataStorageManager.java","3","70","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.owncloud.android.datamodel","/home/matheus/smell-and-machine-learning/repositories/owncloud_android_/src/com/owncloud/android/datamodel/FileDataStorageManager.java","3","70","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.owncloud.android.datamodel","/home/matheus/smell-and-machine-learning/repositories/owncloud_android_/src/com/owncloud/android/datamodel/FileDataStorageManager.java","3","308","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.owncloud.android.datamodel","/home/matheus/smell-and-machine-learning/repositories/owncloud_android_/src/com/owncloud/android/datamodel/FileDataStorageManager.java","3","726","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","com.owncloud.android.datamodel","/home/matheus/smell-and-machine-learning/repositories/owncloud_android_/src/com/owncloud/android/datamodel/FileDataStorageManager.java","3","1773","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.owncloud.android.datamodel","/home/matheus/smell-and-machine-learning/repositories/owncloud_android_/src/com/owncloud/android/datamodel/UploadsStorageManager.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.owncloud.android.datamodel","/home/matheus/smell-and-machine-learning/repositories/owncloud_android_/src/com/owncloud/android/datamodel/UserProfilesRepository.java","3","65","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.owncloud.android.files","/home/matheus/smell-and-machine-learning/repositories/owncloud_android_/src/com/owncloud/android/files/FileMenuFilter.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.owncloud.android.files","/home/matheus/smell-and-machine-learning/repositories/owncloud_android_/src/com/owncloud/android/files/FileMenuFilter.java","3","140","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.owncloud.android.files.services","/home/matheus/smell-and-machine-learning/repositories/owncloud_android_/src/com/owncloud/android/files/services/FileDownloader.java","3","77","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.owncloud.android.files.services","/home/matheus/smell-and-machine-learning/repositories/owncloud_android_/src/com/owncloud/android/files/services/FileDownloader.java","3","437","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.owncloud.android.files.services","/home/matheus/smell-and-machine-learning/repositories/owncloud_android_/src/com/owncloud/android/files/services/FileUploader.java","3","102","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.owncloud.android.files.services","/home/matheus/smell-and-machine-learning/repositories/owncloud_android_/src/com/owncloud/android/files/services/FileUploader.java","3","104","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.owncloud.android.files.services","/home/matheus/smell-and-machine-learning/repositories/owncloud_android_/src/com/owncloud/android/files/services/FileUploader.java","3","287","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.owncloud.android.files.services","/home/matheus/smell-and-machine-learning/repositories/owncloud_android_/src/com/owncloud/android/files/services/FileUploader.java","3","560","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"5","com.owncloud.android.files.services","/home/matheus/smell-and-machine-learning/repositories/owncloud_android_/src/com/owncloud/android/files/services/FileUploader.java","3","806","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.owncloud.android.files.services","/home/matheus/smell-and-machine-learning/repositories/owncloud_android_/src/com/owncloud/android/files/services/TransferRequester.java","3","63","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.owncloud.android.media","/home/matheus/smell-and-machine-learning/repositories/owncloud_android_/src/com/owncloud/android/media/MediaControlView.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.owncloud.android.media","/home/matheus/smell-and-machine-learning/repositories/owncloud_android_/src/com/owncloud/android/media/MediaService.java","3","64","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.owncloud.android.operations","/home/matheus/smell-and-machine-learning/repositories/owncloud_android_/src/com/owncloud/android/operations/GetUserProfileOperation.java","3","75","Avoid really long methods.","Design","ExcessiveMethodLength"
