"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.jsl.prtgen","/home/matheus/smell-and-machine-learning/repositories/ShellsMP/prtgen/src/main/java/org/jsl/prtgen/Main.java","3","412","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","org.jsl.prtgen","/home/matheus/smell-and-machine-learning/repositories/ShellsMP/prtgen/src/main/java/org/jsl/prtgen/Main.java","3","708","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.jsl.shmp","/home/matheus/smell-and-machine-learning/repositories/ShellsMP/src/main/java/org/jsl/shmp/Canvas3D.java","3","379","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","org.jsl.shmp","/home/matheus/smell-and-machine-learning/repositories/ShellsMP/src/main/java/org/jsl/shmp/Canvas3D.java","3","497","Avoid long parameter lists.","Design","ExcessiveParameterList"
"3","org.jsl.shmp","/home/matheus/smell-and-machine-learning/repositories/ShellsMP/src/main/java/org/jsl/shmp/Canvas3D.java","3","497","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","org.jsl.shmp","/home/matheus/smell-and-machine-learning/repositories/ShellsMP/src/main/java/org/jsl/shmp/Canvas3D.java","3","705","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","org.jsl.shmp","/home/matheus/smell-and-machine-learning/repositories/ShellsMP/src/main/java/org/jsl/shmp/GameClientView.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.jsl.shmp","/home/matheus/smell-and-machine-learning/repositories/ShellsMP/src/main/java/org/jsl/shmp/GameServerView.java","3","43","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.jsl.shmp","/home/matheus/smell-and-machine-learning/repositories/ShellsMP/src/main/java/org/jsl/shmp/GameServerView.java","3","889","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.jsl.shmp","/home/matheus/smell-and-machine-learning/repositories/ShellsMP/src/main/java/org/jsl/shmp/GameView.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.jsl.shmp","/home/matheus/smell-and-machine-learning/repositories/ShellsMP/src/main/java/org/jsl/shmp/MainActivity.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.jsl.shmp","/home/matheus/smell-and-machine-learning/repositories/ShellsMP/src/main/java/org/jsl/shmp/ModelCup.java","3","98","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.jsl.shmp","/home/matheus/smell-and-machine-learning/repositories/ShellsMP/src/main/java/org/jsl/shmp/PingConfig.java","3","25","The class 'PingConfig' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","org.jsl.shmp","/home/matheus/smell-and-machine-learning/repositories/ShellsMP/src/main/java/org/jsl/shmp/TimerManager.java","3","137","Avoid really long methods.","Design","ExcessiveMethodLength"
