"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.secuso.privacyfriendlysudoku.controller","/home/matheus/smell-and-machine-learning/repositories/privacy-friendly-sudoku/app/src/main/java/org/secuso/privacyfriendlysudoku/controller/GameController.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.secuso.privacyfriendlysudoku.controller","/home/matheus/smell-and-machine-learning/repositories/privacy-friendly-sudoku/app/src/main/java/org/secuso/privacyfriendlysudoku/controller/GeneratorService.java","3","43","The class 'GeneratorService' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=25)","Design","DataClass"
"2","org.secuso.privacyfriendlysudoku.controller","/home/matheus/smell-and-machine-learning/repositories/privacy-friendly-sudoku/app/src/main/java/org/secuso/privacyfriendlysudoku/controller/GeneratorService.java","3","127","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.secuso.privacyfriendlysudoku.controller","/home/matheus/smell-and-machine-learning/repositories/privacy-friendly-sudoku/app/src/main/java/org/secuso/privacyfriendlysudoku/controller/NewLevelManager.java","3","363","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.secuso.privacyfriendlysudoku.controller","/home/matheus/smell-and-machine-learning/repositories/privacy-friendly-sudoku/app/src/main/java/org/secuso/privacyfriendlysudoku/controller/QQWingController.java","3","81","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.secuso.privacyfriendlysudoku.controller.database.model","/home/matheus/smell-and-machine-learning/repositories/privacy-friendly-sudoku/app/src/main/java/org/secuso/privacyfriendlysudoku/controller/database/model/Level.java","3","7","The class 'Level' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=9, WMC=14)","Design","DataClass"
"1","org.secuso.privacyfriendlysudoku.controller.qqwing","/home/matheus/smell-and-machine-learning/repositories/privacy-friendly-sudoku/app/src/main/java/org/secuso/privacyfriendlysudoku/controller/qqwing/QQWing.java","3","40","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.secuso.privacyfriendlysudoku.controller.qqwing","/home/matheus/smell-and-machine-learning/repositories/privacy-friendly-sudoku/app/src/main/java/org/secuso/privacyfriendlysudoku/controller/qqwing/QQWing.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.secuso.privacyfriendlysudoku.controller.qqwing","/home/matheus/smell-and-machine-learning/repositories/privacy-friendly-sudoku/app/src/main/java/org/secuso/privacyfriendlysudoku/controller/qqwing/QQWing.java","3","357","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.secuso.privacyfriendlysudoku.game","/home/matheus/smell-and-machine-learning/repositories/privacy-friendly-sudoku/app/src/main/java/org/secuso/privacyfriendlysudoku/game/GameBoard.java","3","14","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.secuso.privacyfriendlysudoku.game","/home/matheus/smell-and-machine-learning/repositories/privacy-friendly-sudoku/app/src/main/java/org/secuso/privacyfriendlysudoku/game/GameCell.java","3","19","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.secuso.privacyfriendlysudoku.ui","/home/matheus/smell-and-machine-learning/repositories/privacy-friendly-sudoku/app/src/main/java/org/secuso/privacyfriendlysudoku/ui/GameActivity.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.secuso.privacyfriendlysudoku.ui","/home/matheus/smell-and-machine-learning/repositories/privacy-friendly-sudoku/app/src/main/java/org/secuso/privacyfriendlysudoku/ui/GameActivity.java","3","85","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.secuso.privacyfriendlysudoku.ui","/home/matheus/smell-and-machine-learning/repositories/privacy-friendly-sudoku/app/src/main/java/org/secuso/privacyfriendlysudoku/ui/MainActivity.java","3","61","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.secuso.privacyfriendlysudoku.ui.view","/home/matheus/smell-and-machine-learning/repositories/privacy-friendly-sudoku/app/src/main/java/org/secuso/privacyfriendlysudoku/ui/view/SudokuButton.java","3","15","The class 'SudokuButton' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=5)","Design","DataClass"
"1","org.secuso.privacyfriendlysudoku.ui.view","/home/matheus/smell-and-machine-learning/repositories/privacy-friendly-sudoku/app/src/main/java/org/secuso/privacyfriendlysudoku/ui/view/SudokuSpecialButton.java","3","10","The class 'SudokuSpecialButton' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=5)","Design","DataClass"
