"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.jakewharton.u2020.ui.bugreport","/home/matheus/smell-and-machine-learning/repositories/MissedNotificationsReminder/app/src/debug/java/com/jakewharton/u2020/ui/bugreport/BugReportView.java","3","64","The class 'Report' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","com.jakewharton.u2020.ui.debug","/home/matheus/smell-and-machine-learning/repositories/MissedNotificationsReminder/app/src/debug/java/com/jakewharton/u2020/ui/debug/DebugDrawerLayout.java","3","57","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.jakewharton.u2020.ui.debug","/home/matheus/smell-and-machine-learning/repositories/MissedNotificationsReminder/app/src/debug/java/com/jakewharton/u2020/ui/debug/DebugDrawerLayout.java","3","57","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.jakewharton.u2020.ui.debug","/home/matheus/smell-and-machine-learning/repositories/MissedNotificationsReminder/app/src/debug/java/com/jakewharton/u2020/ui/debug/DebugDrawerLayout.java","3","1595","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.jakewharton.u2020.ui.debug","/home/matheus/smell-and-machine-learning/repositories/MissedNotificationsReminder/app/src/debug/java/com/jakewharton/u2020/ui/debug/SocketActivityHierarchyServer.java","3","59","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.app.missednotificationsreminder.binding.model","/home/matheus/smell-and-machine-learning/repositories/MissedNotificationsReminder/app/src/main/java/com/app/missednotificationsreminder/binding/model/ReminderViewModel.java","3","133","Avoid long parameter lists.","Design","ExcessiveParameterList"
"2","com.app.missednotificationsreminder.binding.model","/home/matheus/smell-and-machine-learning/repositories/MissedNotificationsReminder/app/src/main/java/com/app/missednotificationsreminder/binding/model/ReminderViewModel.java","3","161","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.app.missednotificationsreminder.binding.model","/home/matheus/smell-and-machine-learning/repositories/MissedNotificationsReminder/app/src/main/java/com/app/missednotificationsreminder/binding/model/SchedulerViewModel.java","3","133","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.app.missednotificationsreminder.data","/home/matheus/smell-and-machine-learning/repositories/MissedNotificationsReminder/app/src/main/java/com/app/missednotificationsreminder/data/DataModule.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.app.missednotificationsreminder.service","/home/matheus/smell-and-machine-learning/repositories/MissedNotificationsReminder/app/src/main/java/com/app/missednotificationsreminder/service/ReminderNotificationListenerService.java","3","82","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.app.missednotificationsreminder.service","/home/matheus/smell-and-machine-learning/repositories/MissedNotificationsReminder/app/src/main/java/com/app/missednotificationsreminder/service/ReminderNotificationListenerService.java","3","228","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.app.missednotificationsreminder.ui.activity.common","/home/matheus/smell-and-machine-learning/repositories/MissedNotificationsReminder/app/src/main/java/com/app/missednotificationsreminder/ui/activity/common/CommonFragmentActivity.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.app.missednotificationsreminder.ui.fragment.common","/home/matheus/smell-and-machine-learning/repositories/MissedNotificationsReminder/app/src/main/java/com/app/missednotificationsreminder/ui/fragment/common/CommonFragment.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.app.missednotificationsreminder","/home/matheus/smell-and-machine-learning/repositories/MissedNotificationsReminder/app/src/test/java/com/app/missednotificationsreminder/ExampleUnitTest.java","3","296","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
