"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.xbmc.kore.testhelpers","/home/matheus/smell-and-machine-learning/repositories/Kore/app/src/androidTest/java/org/xbmc/kore/testhelpers/EspressoTestUtils.java","3","62","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.xbmc.kore.testhelpers","/home/matheus/smell-and-machine-learning/repositories/Kore/app/src/androidTest/java/org/xbmc/kore/testhelpers/Matchers.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.xbmc.kore.tests.ui.music","/home/matheus/smell-and-machine-learning/repositories/Kore/app/src/androidTest/java/org/xbmc/kore/tests/ui/music/MusicActivityTests.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.xbmc.kore.tests.ui.music","/home/matheus/smell-and-machine-learning/repositories/Kore/app/src/androidTest/java/org/xbmc/kore/tests/ui/music/RestoreSearchQueryViewPagerTest.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.xbmc.kore.tests.ui.music","/home/matheus/smell-and-machine-learning/repositories/Kore/app/src/androidTest/java/org/xbmc/kore/tests/ui/music/SlideUpPanelTests.java","3","62","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.xbmc.kore.tests.ui.remote.controlpad.eventserver","/home/matheus/smell-and-machine-learning/repositories/Kore/app/src/androidTest/java/org/xbmc/kore/tests/ui/remote/controlpad/eventserver/ButtonTests.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.xbmc.kore.tests.ui.remote.controlpad.http","/home/matheus/smell-and-machine-learning/repositories/Kore/app/src/androidTest/java/org/xbmc/kore/tests/ui/remote/controlpad/http/ButtonTests.java","3","38","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.xbmc.kore.testutils","/home/matheus/smell-and-machine-learning/repositories/Kore/app/src/debug/java/org/xbmc/kore/testutils/Database.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.xbmc.kore.testutils.tcpserver.handlers","/home/matheus/smell-and-machine-learning/repositories/Kore/app/src/debug/java/org/xbmc/kore/testutils/tcpserver/handlers/AddonsHandler.java","3","31","Avoid really long classes.","Design","ExcessiveClassLength"
"1","org.xbmc.kore.testutils.tcpserver.handlers","/home/matheus/smell-and-machine-learning/repositories/Kore/app/src/debug/java/org/xbmc/kore/testutils/tcpserver/handlers/PlayerHandler.java","3","40","The class 'PlayerHandler' is suspected to be a Data Class (WOC=16.667%, NOPA=1, NOAM=5, WMC=32)","Design","DataClass"
"2","org.xbmc.kore.testutils.tcpserver.handlers","/home/matheus/smell-and-machine-learning/repositories/Kore/app/src/debug/java/org/xbmc/kore/testutils/tcpserver/handlers/PlayerHandler.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.xbmc.kore.testutils.tcpserver.handlers.jsonrpc.response.methods","/home/matheus/smell-and-machine-learning/repositories/Kore/app/src/debug/java/org/xbmc/kore/testutils/tcpserver/handlers/jsonrpc/response/methods/Player.java","3","97","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.xbmc.kore.testutils.tcpserver.handlers.jsonrpc.response.methods","/home/matheus/smell-and-machine-learning/repositories/Kore/app/src/debug/java/org/xbmc/kore/testutils/tcpserver/handlers/jsonrpc/response/methods/Player.java","3","202","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.xbmc.kore.eventclient","/home/matheus/smell-and-machine-learning/repositories/Kore/app/src/main/java/org/xbmc/kore/eventclient/EventServerConnection.java","3","153","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.xbmc.kore.host","/home/matheus/smell-and-machine-learning/repositories/Kore/app/src/main/java/org/xbmc/kore/host/HostConnectionObserver.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
