"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","info.schnatterer.nusic.core.impl","/home/matheus/smell-and-machine-learning/repositories/schnatterer_nusic/nusic-core-android/src/main/java/info/schnatterer/nusic/core/impl/ReleaseServiceImpl.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","info.schnatterer.nusic.data.dao.sqlite","/home/matheus/smell-and-machine-learning/repositories/schnatterer_nusic/nusic-data-android/src/main/java/info/schnatterer/nusic/data/dao/sqlite/AbstractSqliteDao.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","info.schnatterer.nusic.data.dao.sqlite","/home/matheus/smell-and-machine-learning/repositories/schnatterer_nusic/nusic-data-android/src/main/java/info/schnatterer/nusic/data/dao/sqlite/AbstractSqliteDao.java","3","218","Avoid long parameter lists.","Design","ExcessiveParameterList"
"3","info.schnatterer.nusic.data.dao.sqlite","/home/matheus/smell-and-machine-learning/repositories/schnatterer_nusic/nusic-data-android/src/main/java/info/schnatterer/nusic/data/dao/sqlite/AbstractSqliteDao.java","3","234","Avoid long parameter lists.","Design","ExcessiveParameterList"
"4","info.schnatterer.nusic.data.dao.sqlite","/home/matheus/smell-and-machine-learning/repositories/schnatterer_nusic/nusic-data-android/src/main/java/info/schnatterer/nusic/data/dao/sqlite/AbstractSqliteDao.java","3","249","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","info.schnatterer.nusic.data.util","/home/matheus/smell-and-machine-learning/repositories/schnatterer_nusic/nusic-data-android/src/test/java/info/schnatterer/nusic/data/util/SqliteUtilTest.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","info.schnatterer.nusic.data.model","/home/matheus/smell-and-machine-learning/repositories/schnatterer_nusic/nusic-domain/src/main/java/info/schnatterer/nusic/data/model/Artist.java","3","28","The class 'Artist' is suspected to be a Data Class (WOC=26.316%, NOPA=0, NOAM=12, WMC=21)","Design","DataClass"
"1","info.schnatterer.nusic.data.model","/home/matheus/smell-and-machine-learning/repositories/schnatterer_nusic/nusic-domain/src/main/java/info/schnatterer/nusic/data/model/Release.java","3","26","The class 'Release' is suspected to be a Data Class (WOC=23.810%, NOPA=0, NOAM=14, WMC=21)","Design","DataClass"
"1","info.schnatterer.nusic.android.activities","/home/matheus/smell-and-machine-learning/repositories/schnatterer_nusic/nusic-ui-android/src/main/java/info/schnatterer/nusic/android/activities/MainActivity.java","3","81","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","info.schnatterer.nusic.android.loaders","/home/matheus/smell-and-machine-learning/repositories/schnatterer_nusic/nusic-ui-android/src/main/java/info/schnatterer/nusic/android/loaders/AsyncResult.java","3","24","The class 'AsyncResult' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
