"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.github.mobile.tests","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/androidTest/java/com/github/mobile/tests/NewsEventTextTest.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.mobile.tests.user","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/androidTest/java/com/github/mobile/tests/user/UserUriMatcherTest.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.mobile.tests.util","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/androidTest/java/com/github/mobile/tests/util/HtmlUtilsTest.java","3","25","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.mobile","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/Intents.java","3","207","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.mobile","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/ServicesModule.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.mobile.accounts","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/accounts/LoginActivity.java","3","82","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.mobile.api.model","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/api/model/CommitComment.java","3","18","The class 'CommitComment' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=2)","Design","DataClass"
"1","com.github.mobile.core.code","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/core/code/FullTree.java","3","36","The class 'FullTree' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=4)","Design","DataClass"
"1","com.github.mobile.ui","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/ui/ItemListFragment.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.mobile.ui","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/ui/NewsFragment.java","3","67","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.mobile.ui","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/ui/PagedItemFragment.java","3","38","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.mobile.ui","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/ui/StyledText.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.mobile.ui.code","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/ui/code/RepositoryCodeFragment.java","3","67","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.mobile.ui.commit","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/ui/commit/CommitCompareListFragment.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.mobile.ui.commit","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/ui/commit/CommitDiffListFragment.java","3","81","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.mobile.ui.commit","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/ui/commit/CommitListFragment.java","3","67","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.mobile.ui.gist","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/ui/gist/GistFileFragment.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.mobile.ui.gist","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/ui/gist/GistFragment.java","3","75","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.mobile.ui.issue","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/ui/issue/EditIssueActivity.java","3","77","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.mobile.ui.issue","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/ui/issue/EditIssuesFilterActivity.java","3","101","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.github.mobile.ui.issue","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/ui/issue/EventListAdapter.java","3","105","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.github.mobile.ui.issue","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/ui/issue/IssueFragment.java","3","111","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.github.mobile.ui.issue","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/ui/issue/IssueFragment.java","3","375","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.github.mobile.ui.issue","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/ui/issue/IssuesFragment.java","3","69","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.mobile.ui.issue","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/ui/issue/IssuesViewActivity.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.mobile.ui.repo","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/ui/repo/RecentRepositories.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.mobile.ui.repo","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/ui/repo/RepositoryListFragment.java","3","56","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.mobile.ui.repo","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/ui/repo/RepositoryViewActivity.java","3","57","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.mobile.ui.roboactivities","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/ui/roboactivities/RoboActionBarAccountAuthenticatorActivity.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.mobile.ui.roboactivities","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/ui/roboactivities/RoboActionBarActivity.java","3","38","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.mobile.ui.user","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/ui/user/HomeActivity.java","3","74","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.mobile.ui.user","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/ui/user/NewsListAdapter.java","3","83","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.github.mobile.ui.user","/home/matheus/smell-and-machine-learning/repositories/ForkHub/app/src/main/java/com/github/mobile/ui/user/NewsListAdapter.java","3","262","Avoid really long methods.","Design","ExcessiveMethodLength"
