"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","menion.android.whereyougo","/home/matheus/smell-and-machine-learning/repositories/WhereYouGo/src/main/java/menion/android/whereyougo/MainApplication.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","menion.android.whereyougo.geo.location","/home/matheus/smell-and-machine-learning/repositories/WhereYouGo/src/main/java/menion/android/whereyougo/geo/location/LocationState.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","menion.android.whereyougo.geo.location","/home/matheus/smell-and-machine-learning/repositories/WhereYouGo/src/main/java/menion/android/whereyougo/geo/location/SatellitePosition.java","3","25","The class 'SatellitePosition' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=5, WMC=6)","Design","DataClass"
"1","menion.android.whereyougo.geo.orientation","/home/matheus/smell-and-machine-learning/repositories/WhereYouGo/src/main/java/menion/android/whereyougo/geo/orientation/Orientation.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","menion.android.whereyougo.gui.activity","/home/matheus/smell-and-machine-learning/repositories/WhereYouGo/src/main/java/menion/android/whereyougo/gui/activity/MainActivity.java","3","75","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","menion.android.whereyougo.gui.activity","/home/matheus/smell-and-machine-learning/repositories/WhereYouGo/src/main/java/menion/android/whereyougo/gui/activity/XmlSettingsActivity.java","3","208","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","menion.android.whereyougo.gui.activity.wherigo","/home/matheus/smell-and-machine-learning/repositories/WhereYouGo/src/main/java/menion/android/whereyougo/gui/activity/wherigo/DetailsActivity.java","3","55","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","menion.android.whereyougo.gui.activity.wherigo","/home/matheus/smell-and-machine-learning/repositories/WhereYouGo/src/main/java/menion/android/whereyougo/gui/activity/wherigo/DetailsActivity.java","3","164","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","menion.android.whereyougo.gui.extension","/home/matheus/smell-and-machine-learning/repositories/WhereYouGo/src/main/java/menion/android/whereyougo/gui/extension/DataInfo.java","3","30","The class 'DataInfo' is suspected to be a Data Class (WOC=30.556%, NOPA=5, NOAM=12, WMC=39)","Design","DataClass"
"1","menion.android.whereyougo.gui.extension","/home/matheus/smell-and-machine-learning/repositories/WhereYouGo/src/main/java/menion/android/whereyougo/gui/extension/IconedListAdapter.java","3","133","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","menion.android.whereyougo.gui.extension.activity","/home/matheus/smell-and-machine-learning/repositories/WhereYouGo/src/main/java/menion/android/whereyougo/gui/extension/activity/CustomActivity.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","menion.android.whereyougo.gui.extension.activity","/home/matheus/smell-and-machine-learning/repositories/WhereYouGo/src/main/java/menion/android/whereyougo/gui/extension/activity/CustomMainActivity.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","menion.android.whereyougo.gui.utils","/home/matheus/smell-and-machine-learning/repositories/WhereYouGo/src/main/java/menion/android/whereyougo/gui/utils/UtilsGUI.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","menion.android.whereyougo.gui.utils","/home/matheus/smell-and-machine-learning/repositories/WhereYouGo/src/main/java/menion/android/whereyougo/gui/utils/UtilsGUI.java","3","89","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","menion.android.whereyougo.maps.container","/home/matheus/smell-and-machine-learning/repositories/WhereYouGo/src/main/java/menion/android/whereyougo/maps/container/MapPoint.java","3","23","The class 'MapPoint' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=12, WMC=18)","Design","DataClass"
"1","menion.android.whereyougo.maps.container","/home/matheus/smell-and-machine-learning/repositories/WhereYouGo/src/main/java/menion/android/whereyougo/maps/container/MapPointPack.java","3","24","The class 'MapPointPack' is suspected to be a Data Class (WOC=12.500%, NOPA=1, NOAM=6, WMC=16)","Design","DataClass"
"1","menion.android.whereyougo.maps.mapsforge","/home/matheus/smell-and-machine-learning/repositories/WhereYouGo/src/main/java/menion/android/whereyougo/maps/mapsforge/MapsforgeActivity.java","3","111","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","menion.android.whereyougo.maps.mapsforge","/home/matheus/smell-and-machine-learning/repositories/WhereYouGo/src/main/java/menion/android/whereyougo/maps/mapsforge/MapsforgeActivity.java","3","445","Avoid really long methods.","Design","ExcessiveMethodLength"
