"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","rehanced.com.simpleetherwallet.activities","/home/matheus/smell-and-machine-learning/repositories/manuelsc_Lunary-Ethereum-Wallet/app/src/main/java/rehanced/com/simpleetherwallet/activities/AppLockActivity.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","rehanced.com.simpleetherwallet.activities","/home/matheus/smell-and-machine-learning/repositories/manuelsc_Lunary-Ethereum-Wallet/app/src/main/java/rehanced/com/simpleetherwallet/activities/MainActivity.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","rehanced.com.simpleetherwallet.activities","/home/matheus/smell-and-machine-learning/repositories/manuelsc_Lunary-Ethereum-Wallet/app/src/main/java/rehanced/com/simpleetherwallet/activities/MainActivity.java","3","63","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","rehanced.com.simpleetherwallet.activities","/home/matheus/smell-and-machine-learning/repositories/manuelsc_Lunary-Ethereum-Wallet/app/src/main/java/rehanced/com/simpleetherwallet/activities/MainActivity.java","3","257","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","rehanced.com.simpleetherwallet.data","/home/matheus/smell-and-machine-learning/repositories/manuelsc_Lunary-Ethereum-Wallet/app/src/main/java/rehanced/com/simpleetherwallet/data/CurrencyEntry.java","3","3","The class 'CurrencyEntry' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=7)","Design","DataClass"
"1","rehanced.com.simpleetherwallet.data","/home/matheus/smell-and-machine-learning/repositories/manuelsc_Lunary-Ethereum-Wallet/app/src/main/java/rehanced/com/simpleetherwallet/data/FullWallet.java","3","7","The class 'FullWallet' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=7)","Design","DataClass"
"1","rehanced.com.simpleetherwallet.data","/home/matheus/smell-and-machine-learning/repositories/manuelsc_Lunary-Ethereum-Wallet/app/src/main/java/rehanced/com/simpleetherwallet/data/TokenDisplay.java","3","8","The class 'TokenDisplay' is suspected to be a Data Class (WOC=9.524%, NOPA=0, NOAM=18, WMC=21)","Design","DataClass"
"1","rehanced.com.simpleetherwallet.data","/home/matheus/smell-and-machine-learning/repositories/manuelsc_Lunary-Ethereum-Wallet/app/src/main/java/rehanced/com/simpleetherwallet/data/TransactionDisplay.java","3","6","The class 'TransactionDisplay' is suspected to be a Data Class (WOC=3.571%, NOPA=2, NOAM=26, WMC=28)","Design","DataClass"
"2","rehanced.com.simpleetherwallet.data","/home/matheus/smell-and-machine-learning/repositories/manuelsc_Lunary-Ethereum-Wallet/app/src/main/java/rehanced/com/simpleetherwallet/data/TransactionDisplay.java","3","25","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","rehanced.com.simpleetherwallet.data","/home/matheus/smell-and-machine-learning/repositories/manuelsc_Lunary-Ethereum-Wallet/app/src/main/java/rehanced/com/simpleetherwallet/data/WalletDisplay.java","3","10","The class 'WalletDisplay' is suspected to be a Data Class (WOC=9.091%, NOPA=3, NOAM=8, WMC=11)","Design","DataClass"
"1","rehanced.com.simpleetherwallet.data","/home/matheus/smell-and-machine-learning/repositories/manuelsc_Lunary-Ethereum-Wallet/app/src/main/java/rehanced/com/simpleetherwallet/data/WatchWallet.java","3","7","The class 'WatchWallet' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=5)","Design","DataClass"
"1","rehanced.com.simpleetherwallet.fragments","/home/matheus/smell-and-machine-learning/repositories/manuelsc_Lunary-Ethereum-Wallet/app/src/main/java/rehanced/com/simpleetherwallet/fragments/FragmentDetailOverview.java","3","74","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","rehanced.com.simpleetherwallet.fragments","/home/matheus/smell-and-machine-learning/repositories/manuelsc_Lunary-Ethereum-Wallet/app/src/main/java/rehanced/com/simpleetherwallet/fragments/FragmentSend.java","3","78","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","rehanced.com.simpleetherwallet.fragments","/home/matheus/smell-and-machine-learning/repositories/manuelsc_Lunary-Ethereum-Wallet/app/src/main/java/rehanced/com/simpleetherwallet/fragments/FragmentTransactionsAbstract.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","rehanced.com.simpleetherwallet.fragments","/home/matheus/smell-and-machine-learning/repositories/manuelsc_Lunary-Ethereum-Wallet/app/src/main/java/rehanced/com/simpleetherwallet/fragments/FragmentWalletsAbstract.java","3","75","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","rehanced.com.simpleetherwallet.fragments","/home/matheus/smell-and-machine-learning/repositories/manuelsc_Lunary-Ethereum-Wallet/app/src/main/java/rehanced/com/simpleetherwallet/fragments/FragmentWalletsAbstract.java","3","90","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","rehanced.com.simpleetherwallet.utils","/home/matheus/smell-and-machine-learning/repositories/manuelsc_Lunary-Ethereum-Wallet/app/src/main/java/rehanced/com/simpleetherwallet/utils/Blockies.java","3","13","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","rehanced.com.simpleetherwallet.utils","/home/matheus/smell-and-machine-learning/repositories/manuelsc_Lunary-Ethereum-Wallet/app/src/main/java/rehanced/com/simpleetherwallet/utils/Dialogs.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","rehanced.com.simpleetherwallet.utils","/home/matheus/smell-and-machine-learning/repositories/manuelsc_Lunary-Ethereum-Wallet/app/src/main/java/rehanced/com/simpleetherwallet/utils/ExchangeCalculator.java","3","20","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","rehanced.com.simpleetherwallet.utils","/home/matheus/smell-and-machine-learning/repositories/manuelsc_Lunary-Ethereum-Wallet/app/src/main/java/rehanced/com/simpleetherwallet/utils/WalletStorage.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","rehanced.com.simpleetherwallet.utils.qr","/home/matheus/smell-and-machine-learning/repositories/manuelsc_Lunary-Ethereum-Wallet/app/src/main/java/rehanced/com/simpleetherwallet/utils/qr/QREncoder.java","3","82","Avoid really long methods.","Design","ExcessiveMethodLength"
