"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.etesync.syncadapter.journalmanager.util","/home/matheus/smell-and-machine-learning/repositories/etesync_android/app/src/main/java/com/etesync/syncadapter/journalmanager/util/ByteUtil.java","3","14","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.etesync.syncadapter.resource","/home/matheus/smell-and-machine-learning/repositories/etesync_android/app/src/main/java/com/etesync/syncadapter/resource/LocalAddressBook.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.etesync.syncadapter.resource","/home/matheus/smell-and-machine-learning/repositories/etesync_android/app/src/main/java/com/etesync/syncadapter/resource/LocalContact.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.etesync.syncadapter.syncadapter","/home/matheus/smell-and-machine-learning/repositories/etesync_android/app/src/main/java/com/etesync/syncadapter/syncadapter/CalendarSyncManager.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.etesync.syncadapter.syncadapter","/home/matheus/smell-and-machine-learning/repositories/etesync_android/app/src/main/java/com/etesync/syncadapter/syncadapter/SyncManager.java","3","59","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.etesync.syncadapter.syncadapter","/home/matheus/smell-and-machine-learning/repositories/etesync_android/app/src/main/java/com/etesync/syncadapter/syncadapter/SyncManager.java","3","142","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.etesync.syncadapter.ui","/home/matheus/smell-and-machine-learning/repositories/etesync_android/app/src/main/java/com/etesync/syncadapter/ui/AccountActivity.java","3","78","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.etesync.syncadapter.ui","/home/matheus/smell-and-machine-learning/repositories/etesync_android/app/src/main/java/com/etesync/syncadapter/ui/DebugInfoActivity.java","3","130","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.etesync.syncadapter.ui.setup","/home/matheus/smell-and-machine-learning/repositories/etesync_android/app/src/main/java/com/etesync/syncadapter/ui/setup/BaseConfigurationFinder.java","3","86","The class 'Configuration' is suspected to be a Data Class (WOC=0.000%, NOPA=9, NOAM=1, WMC=2)","Design","DataClass"
"1","com.etesync.syncadapter.utils","/home/matheus/smell-and-machine-learning/repositories/etesync_android/app/src/main/java/com/etesync/syncadapter/utils/Base64.java","3","263","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.etesync.syncadapter.utils","/home/matheus/smell-and-machine-learning/repositories/etesync_android/app/src/main/java/com/etesync/syncadapter/utils/Base64.java","3","603","Avoid really long methods.","Design","ExcessiveMethodLength"
