"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","ca.farrelltonsolar.classic","/home/matheus/smell-and-machine-learning/repositories/Classic/app/src/main/java/ca/farrelltonsolar/classic/CalendarAdapter.java","3","100","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","ca.farrelltonsolar.classic","/home/matheus/smell-and-machine-learning/repositories/Classic/app/src/main/java/ca/farrelltonsolar/classic/ChargeControllerInfo.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ca.farrelltonsolar.classic","/home/matheus/smell-and-machine-learning/repositories/Classic/app/src/main/java/ca/farrelltonsolar/classic/ChargeControllers.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ca.farrelltonsolar.classic","/home/matheus/smell-and-machine-learning/repositories/Classic/app/src/main/java/ca/farrelltonsolar/classic/ModbusTask.java","3","92","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ca.farrelltonsolar.classic","/home/matheus/smell-and-machine-learning/repositories/Classic/app/src/main/java/ca/farrelltonsolar/classic/MonitorApplication.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ca.farrelltonsolar.classic","/home/matheus/smell-and-machine-learning/repositories/Classic/app/src/main/java/ca/farrelltonsolar/classic/NavigationDrawerFragment.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ca.farrelltonsolar.classic","/home/matheus/smell-and-machine-learning/repositories/Classic/app/src/main/java/ca/farrelltonsolar/classic/RecordEntry.java","3","9","The class 'RecordEntry' is suspected to be a Data Class (WOC=0.000%, NOPA=7, NOAM=0, WMC=2)","Design","DataClass"
"1","ca.farrelltonsolar.classic","/home/matheus/smell-and-machine-learning/repositories/Classic/app/src/main/java/ca/farrelltonsolar/classic/SwipeDismissListViewTouchListener.java","3","165","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","ca.farrelltonsolar.j2modlite.io","/home/matheus/smell-and-machine-learning/repositories/Classic/j2modlite/src/main/java/ca/farrelltonsolar/j2modlite/io/BytesInputStream.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ca.farrelltonsolar.j2modlite.io","/home/matheus/smell-and-machine-learning/repositories/Classic/j2modlite/src/main/java/ca/farrelltonsolar/j2modlite/io/BytesOutputStream.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ca.farrelltonsolar.j2modlite.io","/home/matheus/smell-and-machine-learning/repositories/Classic/j2modlite/src/main/java/ca/farrelltonsolar/j2modlite/io/FastByteArrayOutputStream.java","3","94","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ca.farrelltonsolar.j2modlite.io","/home/matheus/smell-and-machine-learning/repositories/Classic/j2modlite/src/main/java/ca/farrelltonsolar/j2modlite/io/ModbusTCPTransaction.java","3","182","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","ca.farrelltonsolar.j2modlite.msg","/home/matheus/smell-and-machine-learning/repositories/Classic/j2modlite/src/main/java/ca/farrelltonsolar/j2modlite/msg/ModbusMessageImpl.java","3","50","The class 'ModbusMessageImpl' is suspected to be a Data Class (WOC=31.250%, NOPA=0, NOAM=11, WMC=23)","Design","DataClass"
"1","ca.farrelltonsolar.j2modlite.msg","/home/matheus/smell-and-machine-learning/repositories/Classic/j2modlite/src/main/java/ca/farrelltonsolar/j2modlite/msg/ReportSlaveIDResponse.java","3","84","The class 'ReportSlaveIDResponse' is suspected to be a Data Class (WOC=30.000%, NOPA=0, NOAM=6, WMC=18)","Design","DataClass"
"1","ca.farrelltonsolar.j2modlite.net","/home/matheus/smell-and-machine-learning/repositories/Classic/j2modlite/src/main/java/ca/farrelltonsolar/j2modlite/net/TCPMasterConnection.java","3","52","The class 'TCPMasterConnection' is suspected to be a Data Class (WOC=14.286%, NOPA=0, NOAM=11, WMC=29)","Design","DataClass"
"1","ca.farrelltonsolar.j2modlite.procimg","/home/matheus/smell-and-machine-learning/repositories/Classic/j2modlite/src/main/java/ca/farrelltonsolar/j2modlite/procimg/DefaultProcessImageFactory.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ca.farrelltonsolar.j2modlite.procimg","/home/matheus/smell-and-machine-learning/repositories/Classic/j2modlite/src/main/java/ca/farrelltonsolar/j2modlite/procimg/ProcessImageImplementation.java","3","44","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ca.farrelltonsolar.j2modlite.procimg","/home/matheus/smell-and-machine-learning/repositories/Classic/j2modlite/src/main/java/ca/farrelltonsolar/j2modlite/procimg/SimpleProcessImage.java","3","85","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ca.farrelltonsolar.j2modlite.util","/home/matheus/smell-and-machine-learning/repositories/Classic/j2modlite/src/main/java/ca/farrelltonsolar/j2modlite/util/BitVector.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ca.farrelltonsolar.j2modlite.util","/home/matheus/smell-and-machine-learning/repositories/Classic/j2modlite/src/main/java/ca/farrelltonsolar/j2modlite/util/ModbusUtil.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
