"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.farmerbb.taskbar.activity","/home/matheus/smell-and-machine-learning/repositories/Taskbar/app/src/main/java/com/farmerbb/taskbar/activity/ContextMenuActivity.java","3","92","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.farmerbb.taskbar.activity","/home/matheus/smell-and-machine-learning/repositories/Taskbar/app/src/main/java/com/farmerbb/taskbar/activity/ContextMenuActivity.java","3","229","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","com.farmerbb.taskbar.activity","/home/matheus/smell-and-machine-learning/repositories/Taskbar/app/src/main/java/com/farmerbb/taskbar/activity/ContextMenuActivity.java","3","395","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.farmerbb.taskbar.activity","/home/matheus/smell-and-machine-learning/repositories/Taskbar/app/src/main/java/com/farmerbb/taskbar/activity/HomeActivityDelegate.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.farmerbb.taskbar.activity","/home/matheus/smell-and-machine-learning/repositories/Taskbar/app/src/main/java/com/farmerbb/taskbar/activity/HomeActivityDelegate.java","3","81","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.farmerbb.taskbar.activity","/home/matheus/smell-and-machine-learning/repositories/Taskbar/app/src/main/java/com/farmerbb/taskbar/activity/MainActivity.java","3","160","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.farmerbb.taskbar.fragment","/home/matheus/smell-and-machine-learning/repositories/Taskbar/app/src/main/java/com/farmerbb/taskbar/fragment/AdvancedFragment.java","3","148","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.farmerbb.taskbar.fragment","/home/matheus/smell-and-machine-learning/repositories/Taskbar/app/src/main/java/com/farmerbb/taskbar/fragment/AppearanceFragment.java","3","174","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.farmerbb.taskbar.fragment","/home/matheus/smell-and-machine-learning/repositories/Taskbar/app/src/main/java/com/farmerbb/taskbar/fragment/RecentAppsFragment.java","3","92","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.farmerbb.taskbar.service","/home/matheus/smell-and-machine-learning/repositories/Taskbar/app/src/main/java/com/farmerbb/taskbar/service/DashboardService.java","3","73","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.farmerbb.taskbar.service","/home/matheus/smell-and-machine-learning/repositories/Taskbar/app/src/main/java/com/farmerbb/taskbar/service/DashboardService.java","3","190","Avoid really long methods.","Design","ExcessiveMethodLength"
