"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.matthiaszimmermann.location.egm96","/home/matheus/smell-and-machine-learning/repositories/jonasoreland_runnerup_/app/latest/java/org/matthiaszimmermann/location/egm96/Geoid.java","3","15","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.runnerup.feedwidget","/home/matheus/smell-and-machine-learning/repositories/jonasoreland_runnerup_/app/latest/java/org/runnerup/feedwidget/FeedWidgetService.java","3","27","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.runnerup.tracker.component","/home/matheus/smell-and-machine-learning/repositories/jonasoreland_runnerup_/app/latest/java/org/runnerup/tracker/component/TrackerWear.java","3","70","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.runnerup.db","/home/matheus/smell-and-machine-learning/repositories/jonasoreland_runnerup_/app/src/org/runnerup/db/DBHelper.java","3","63","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.runnerup.export","/home/matheus/smell-and-machine-learning/repositories/jonasoreland_runnerup_/app/src/org/runnerup/export/DefaultSynchronizer.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.runnerup.export","/home/matheus/smell-and-machine-learning/repositories/jonasoreland_runnerup_/app/src/org/runnerup/export/FacebookSynchronizer.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.runnerup.export","/home/matheus/smell-and-machine-learning/repositories/jonasoreland_runnerup_/app/src/org/runnerup/export/FunBeatSynchronizer.java","3","171","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","org.runnerup.export","/home/matheus/smell-and-machine-learning/repositories/jonasoreland_runnerup_/app/src/org/runnerup/export/FunBeatSynchronizer.java","3","337","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.runnerup.export","/home/matheus/smell-and-machine-learning/repositories/jonasoreland_runnerup_/app/src/org/runnerup/export/GarminSynchronizer.java","3","55","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.runnerup.export","/home/matheus/smell-and-machine-learning/repositories/jonasoreland_runnerup_/app/src/org/runnerup/export/RunnerUpLiveSynchronizer.java","3","204","The class 'LiveService' is suspected to be a Data Class (WOC=0.000%, NOPA=10, NOAM=0, WMC=1)","Design","DataClass"
"1","org.runnerup.export","/home/matheus/smell-and-machine-learning/repositories/jonasoreland_runnerup_/app/src/org/runnerup/export/RuntasticSynchronizer.java","3","151","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.runnerup.export","/home/matheus/smell-and-machine-learning/repositories/jonasoreland_runnerup_/app/src/org/runnerup/export/SyncManager.java","3","81","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.runnerup.export","/home/matheus/smell-and-machine-learning/repositories/jonasoreland_runnerup_/app/src/org/runnerup/export/SyncManager.java","3","81","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.runnerup.export","/home/matheus/smell-and-machine-learning/repositories/jonasoreland_runnerup_/app/src/org/runnerup/export/Synchronizer.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.runnerup.export.format","/home/matheus/smell-and-machine-learning/repositories/jonasoreland_runnerup_/app/src/org/runnerup/export/format/GPX.java","3","142","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.runnerup.export.format","/home/matheus/smell-and-machine-learning/repositories/jonasoreland_runnerup_/app/src/org/runnerup/export/format/GoogleFitData.java","3","491","The class 'DataTypeField' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=9)","Design","DataClass"
"1","org.runnerup.export.format","/home/matheus/smell-and-machine-learning/repositories/jonasoreland_runnerup_/app/src/org/runnerup/export/format/NikeXML.java","3","68","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","org.runnerup.export.format","/home/matheus/smell-and-machine-learning/repositories/jonasoreland_runnerup_/app/src/org/runnerup/export/format/NikeXML.java","3","439","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.runnerup.export.format","/home/matheus/smell-and-machine-learning/repositories/jonasoreland_runnerup_/app/src/org/runnerup/export/format/RunKeeper.java","3","175","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.runnerup.export.format","/home/matheus/smell-and-machine-learning/repositories/jonasoreland_runnerup_/app/src/org/runnerup/export/format/TCX.java","3","157","Avoid really long methods.","Design","ExcessiveMethodLength"
