"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.haringeymobile.ukweather.test","/home/matheus/smell-and-machine-learning/repositories/Kestutis-Z_World-Weather/WorldWeather/app/src/androidTest/java/com/haringeymobile/ukweather/test/MainActivityFunctionalTest.java","3","102","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.haringeymobile.ukweather","/home/matheus/smell-and-machine-learning/repositories/Kestutis-Z_World-Weather/WorldWeather/app/src/main/java/com/haringeymobile/ukweather/MainActivity.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.haringeymobile.ukweather.data.objects","/home/matheus/smell-and-machine-learning/repositories/Kestutis-Z_World-Weather/WorldWeather/app/src/main/java/com/haringeymobile/ukweather/data/objects/CityCurrentWeather.java","3","10","The class 'CityCurrentWeather' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"1","com.haringeymobile.ukweather.data.objects","/home/matheus/smell-and-machine-learning/repositories/Kestutis-Z_World-Weather/WorldWeather/app/src/main/java/com/haringeymobile/ukweather/data/objects/Weather.java","3","5","The class 'Weather' is suspected to be a Data Class (WOC=0.000%, NOPA=2, NOAM=4, WMC=4)","Design","DataClass"
"1","com.haringeymobile.ukweather.data.objects","/home/matheus/smell-and-machine-learning/repositories/Kestutis-Z_World-Weather/WorldWeather/app/src/main/java/com/haringeymobile/ukweather/data/objects/WeatherConditionFinder.java","3","14","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.haringeymobile.ukweather.database","/home/matheus/smell-and-machine-learning/repositories/Kestutis-Z_World-Weather/WorldWeather/app/src/main/java/com/haringeymobile/ukweather/database/GeneralDatabaseService.java","3","12","The class 'GeneralDatabaseService' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=0, WMC=1)","Design","DataClass"
"1","com.haringeymobile.ukweather.weather","/home/matheus/smell-and-machine-learning/repositories/Kestutis-Z_World-Weather/WorldWeather/app/src/main/java/com/haringeymobile/ukweather/weather/WeatherForecastParentFragment.java","3","38","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.mobeta.android.dslv","/home/matheus/smell-and-machine-learning/repositories/Kestutis-Z_World-Weather/WorldWeather/drag-sort-listview/src/com/mobeta/android/dslv/DragSortController.java","3","23","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.mobeta.android.dslv","/home/matheus/smell-and-machine-learning/repositories/Kestutis-Z_World-Weather/WorldWeather/drag-sort-listview/src/com/mobeta/android/dslv/DragSortListView.java","3","61","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.mobeta.android.dslv","/home/matheus/smell-and-machine-learning/repositories/Kestutis-Z_World-Weather/WorldWeather/drag-sort-listview/src/com/mobeta/android/dslv/DragSortListView.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.mobeta.android.dslv","/home/matheus/smell-and-machine-learning/repositories/Kestutis-Z_World-Weather/WorldWeather/drag-sort-listview/src/com/mobeta/android/dslv/DragSortListView.java","3","443","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.mobeta.android.dslv","/home/matheus/smell-and-machine-learning/repositories/Kestutis-Z_World-Weather/WorldWeather/drag-sort-listview/src/com/mobeta/android/dslv/DragSortListView.java","3","961","Avoid really long methods.","Design","ExcessiveMethodLength"
