"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","net.programmierecke.radiodroid2","/home/matheus/smell-and-machine-learning/repositories/RadioDroid/app/src/main/java/net/programmierecke/radiodroid2/ActivityMain.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.programmierecke.radiodroid2","/home/matheus/smell-and-machine-learning/repositories/RadioDroid/app/src/main/java/net/programmierecke/radiodroid2/MPDClient.java","3","22","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.programmierecke.radiodroid2","/home/matheus/smell-and-machine-learning/repositories/RadioDroid/app/src/main/java/net/programmierecke/radiodroid2/PlayerService.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.programmierecke.radiodroid2","/home/matheus/smell-and-machine-learning/repositories/RadioDroid/app/src/main/java/net/programmierecke/radiodroid2/PlayerServiceUtil.java","3","22","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.programmierecke.radiodroid2","/home/matheus/smell-and-machine-learning/repositories/RadioDroid/app/src/main/java/net/programmierecke/radiodroid2/RadioAlarmManager.java","3","24","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.programmierecke.radiodroid2","/home/matheus/smell-and-machine-learning/repositories/RadioDroid/app/src/main/java/net/programmierecke/radiodroid2/StationSaveManager.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.programmierecke.radiodroid2","/home/matheus/smell-and-machine-learning/repositories/RadioDroid/app/src/main/java/net/programmierecke/radiodroid2/Utils.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.programmierecke.radiodroid2.adapters","/home/matheus/smell-and-machine-learning/repositories/RadioDroid/app/src/main/java/net/programmierecke/radiodroid2/adapters/ItemAdapterStation.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","net.programmierecke.radiodroid2.adapters","/home/matheus/smell-and-machine-learning/repositories/RadioDroid/app/src/main/java/net/programmierecke/radiodroid2/adapters/ItemAdapterStation.java","3","201","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.programmierecke.radiodroid2.data","/home/matheus/smell-and-machine-learning/repositories/RadioDroid/app/src/main/java/net/programmierecke/radiodroid2/data/MPDServer.java","3","3","The class 'MPDServer' is suspected to be a Data Class (WOC=0.000%, NOPA=6, NOAM=0, WMC=1)","Design","DataClass"
"1","net.programmierecke.radiodroid2.data","/home/matheus/smell-and-machine-learning/repositories/RadioDroid/app/src/main/java/net/programmierecke/radiodroid2/data/PlaylistM3UEntry.java","3","11","The class 'PlaylistM3UEntry' is suspected to be a Data Class (WOC=12.500%, NOPA=0, NOAM=5, WMC=17)","Design","DataClass"
"1","net.programmierecke.radiodroid2.players","/home/matheus/smell-and-machine-learning/repositories/RadioDroid/app/src/main/java/net/programmierecke/radiodroid2/players/RadioPlayer.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.programmierecke.radiodroid2.players.exoplayer","/home/matheus/smell-and-machine-learning/repositories/RadioDroid/app/src/main/java/net/programmierecke/radiodroid2/players/exoplayer/ExoPlayerWrapper.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.programmierecke.radiodroid2.players.mediaplayer","/home/matheus/smell-and-machine-learning/repositories/RadioDroid/app/src/main/java/net/programmierecke/radiodroid2/players/mediaplayer/MediaPlayerWrapper.java","3","24","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.programmierecke.radiodroid2.players.mediaplayer","/home/matheus/smell-and-machine-learning/repositories/RadioDroid/app/src/main/java/net/programmierecke/radiodroid2/players/mediaplayer/StreamProxy.java","3","148","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.programmierecke.radiodroid2.recording","/home/matheus/smell-and-machine-learning/repositories/RadioDroid/app/src/main/java/net/programmierecke/radiodroid2/recording/RunningRecordingInfo.java","3","5","The class 'RunningRecordingInfo' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=5, WMC=10)","Design","DataClass"
