"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.github.florent37.diagonallayout","/home/matheus/smell-and-machine-learning/repositories/Blackbulb/app/src/main/java/com/github/florent37/diagonallayout/DiagonalLayoutSettings.java","3","8","The class 'DiagonalLayoutSettings' is suspected to be a Data Class (WOC=9.091%, NOPA=6, NOAM=10, WMC=12)","Design","DataClass"
"1","com.github.zagum.expandicon","/home/matheus/smell-and-machine-learning/repositories/Blackbulb/app/src/main/java/com/github/zagum/expandicon/ExpandIconView.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","info.papdt.blackblub.service","/home/matheus/smell-and-machine-learning/repositories/Blackbulb/app/src/main/java/info/papdt/blackblub/service/MaskService.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","info.papdt.blackblub.ui","/home/matheus/smell-and-machine-learning/repositories/Blackbulb/app/src/main/java/info/papdt/blackblub/ui/MainActivity.java","3","44","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","info.papdt.blackblub.ui","/home/matheus/smell-and-machine-learning/repositories/Blackbulb/app/src/main/java/info/papdt/blackblub/ui/MainActivity.java","3","97","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.wdullaer.materialdatetimepicker.time","/home/matheus/smell-and-machine-learning/repositories/Blackbulb/libraries/timepicker/src/main/java/com/wdullaer/materialdatetimepicker/time/RadialPickerLayout.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.wdullaer.materialdatetimepicker.time","/home/matheus/smell-and-machine-learning/repositories/Blackbulb/libraries/timepicker/src/main/java/com/wdullaer/materialdatetimepicker/time/RadialPickerLayout.java","3","697","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.wdullaer.materialdatetimepicker.time","/home/matheus/smell-and-machine-learning/repositories/Blackbulb/libraries/timepicker/src/main/java/com/wdullaer/materialdatetimepicker/time/TimePickerDialog.java","3","58","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.wdullaer.materialdatetimepicker.time","/home/matheus/smell-and-machine-learning/repositories/Blackbulb/libraries/timepicker/src/main/java/com/wdullaer/materialdatetimepicker/time/TimePickerDialog.java","3","59","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.wdullaer.materialdatetimepicker.time","/home/matheus/smell-and-machine-learning/repositories/Blackbulb/libraries/timepicker/src/main/java/com/wdullaer/materialdatetimepicker/time/TimePickerDialog.java","3","527","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.wdullaer.materialdatetimepicker.time","/home/matheus/smell-and-machine-learning/repositories/Blackbulb/libraries/timepicker/src/main/java/com/wdullaer/materialdatetimepicker/time/TimePickerDialog.java","3","1588","Avoid really long methods.","Design","ExcessiveMethodLength"
