"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","openfoodfacts.github.scrachx.openfood.category.model","/home/matheus/smell-and-machine-learning/repositories/openfoodfacts_openfoodfacts-androidapp/app/src/main/java/openfoodfacts/github/scrachx/openfood/category/model/Category.java","3","7","The class 'Category' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=5)","Design","DataClass"
"1","openfoodfacts.github.scrachx.openfood.category.network","/home/matheus/smell-and-machine-learning/repositories/openfoodfacts_openfoodfacts-androidapp/app/src/main/java/openfoodfacts/github/scrachx/openfood/category/network/CategoryResponse.java","3","34","The class 'Tag' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=6)","Design","DataClass"
"1","openfoodfacts.github.scrachx.openfood.fragments","/home/matheus/smell-and-machine-learning/repositories/openfoodfacts_openfoodfacts-androidapp/app/src/main/java/openfoodfacts/github/scrachx/openfood/fragments/AddProductIngredientsFragment.java","3","68","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","openfoodfacts.github.scrachx.openfood.fragments","/home/matheus/smell-and-machine-learning/repositories/openfoodfacts_openfoodfacts-androidapp/app/src/main/java/openfoodfacts/github/scrachx/openfood/fragments/AddProductNutritionFactsFragment.java","3","72","Avoid really long classes.","Design","ExcessiveClassLength"
"2","openfoodfacts.github.scrachx.openfood.fragments","/home/matheus/smell-and-machine-learning/repositories/openfoodfacts_openfoodfacts-androidapp/app/src/main/java/openfoodfacts/github/scrachx/openfood/fragments/AddProductNutritionFactsFragment.java","3","72","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","openfoodfacts.github.scrachx.openfood.fragments","/home/matheus/smell-and-machine-learning/repositories/openfoodfacts_openfoodfacts-androidapp/app/src/main/java/openfoodfacts/github/scrachx/openfood/fragments/AddProductNutritionFactsFragment.java","3","302","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","openfoodfacts.github.scrachx.openfood.fragments","/home/matheus/smell-and-machine-learning/repositories/openfoodfacts_openfoodfacts-androidapp/app/src/main/java/openfoodfacts/github/scrachx/openfood/fragments/AddProductNutritionFactsFragment.java","3","453","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","openfoodfacts.github.scrachx.openfood.fragments","/home/matheus/smell-and-machine-learning/repositories/openfoodfacts_openfoodfacts-androidapp/app/src/main/java/openfoodfacts/github/scrachx/openfood/fragments/AddProductNutritionFactsFragment.java","3","935","Avoid really long methods.","Design","ExcessiveMethodLength"
"6","openfoodfacts.github.scrachx.openfood.fragments","/home/matheus/smell-and-machine-learning/repositories/openfoodfacts_openfoodfacts-androidapp/app/src/main/java/openfoodfacts/github/scrachx/openfood/fragments/AddProductNutritionFactsFragment.java","3","1064","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","openfoodfacts.github.scrachx.openfood.fragments","/home/matheus/smell-and-machine-learning/repositories/openfoodfacts_openfoodfacts-androidapp/app/src/main/java/openfoodfacts/github/scrachx/openfood/fragments/AddProductOverviewFragment.java","3","96","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
