"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","be.tarsos.dsp","/home/matheus/smell-and-machine-learning/repositories/gstraube_cythara/app/src/main/java/be/tarsos/dsp/AudioDispatcher.java","3","350","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","be.tarsos.dsp","/home/matheus/smell-and-machine-learning/repositories/gstraube_cythara/app/src/main/java/be/tarsos/dsp/ConstantQ.java","3","169","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","be.tarsos.dsp","/home/matheus/smell-and-machine-learning/repositories/gstraube_cythara/app/src/main/java/be/tarsos/dsp/PitchShifter.java","3","61","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","be.tarsos.dsp","/home/matheus/smell-and-machine-learning/repositories/gstraube_cythara/app/src/main/java/be/tarsos/dsp/SpectralPeakProcessor.java","3","76","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","be.tarsos.dsp.beatroot","/home/matheus/smell-and-machine-learning/repositories/gstraube_cythara/app/src/main/java/be/tarsos/dsp/beatroot/Agent.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","be.tarsos.dsp.beatroot","/home/matheus/smell-and-machine-learning/repositories/gstraube_cythara/app/src/main/java/be/tarsos/dsp/beatroot/Event.java","3","53","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","be.tarsos.dsp.beatroot","/home/matheus/smell-and-machine-learning/repositories/gstraube_cythara/app/src/main/java/be/tarsos/dsp/beatroot/EventList.java","3","141","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","be.tarsos.dsp.beatroot","/home/matheus/smell-and-machine-learning/repositories/gstraube_cythara/app/src/main/java/be/tarsos/dsp/beatroot/Induction.java","3","89","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","be.tarsos.dsp.io","/home/matheus/smell-and-machine-learning/repositories/gstraube_cythara/app/src/main/java/be/tarsos/dsp/io/TarsosDSPAudioFloatConverter.java","3","65","Avoid really long classes.","Design","ExcessiveClassLength"
"2","be.tarsos.dsp.io","/home/matheus/smell-and-machine-learning/repositories/gstraube_cythara/app/src/main/java/be/tarsos/dsp/io/TarsosDSPAudioFloatConverter.java","3","933","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","be.tarsos.dsp.io","/home/matheus/smell-and-machine-learning/repositories/gstraube_cythara/app/src/main/java/be/tarsos/dsp/io/TarsosDSPAudioFormat.java","3","135","The class 'TarsosDSPAudioFormat' is suspected to be a Data Class (WOC=23.077%, NOPA=1, NOAM=7, WMC=41)","Design","DataClass"
"1","be.tarsos.dsp.onsets","/home/matheus/smell-and-machine-learning/repositories/gstraube_cythara/app/src/main/java/be/tarsos/dsp/onsets/BeatRootSpectralFluxOnsetDetector.java","3","52","The class 'BeatRootSpectralFluxOnsetDetector' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=1, WMC=8)","Design","DataClass"
"1","be.tarsos.dsp.pitch","/home/matheus/smell-and-machine-learning/repositories/gstraube_cythara/app/src/main/java/be/tarsos/dsp/pitch/DynamicWavelet.java","3","117","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","be.tarsos.dsp.pitch","/home/matheus/smell-and-machine-learning/repositories/gstraube_cythara/app/src/main/java/be/tarsos/dsp/pitch/PitchDetectionResult.java","3","55","The class 'PitchDetectionResult' is suspected to be a Data Class (WOC=11.111%, NOPA=0, NOAM=6, WMC=9)","Design","DataClass"
"1","be.tarsos.dsp.resample","/home/matheus/smell-and-machine-learning/repositories/gstraube_cythara/app/src/main/java/be/tarsos/dsp/resample/Resampler.java","3","175","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","be.tarsos.dsp.util","/home/matheus/smell-and-machine-learning/repositories/gstraube_cythara/app/src/main/java/be/tarsos/dsp/util/Complex.java","3","15","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","be.tarsos.dsp.util.fft","/home/matheus/smell-and-machine-learning/repositories/gstraube_cythara/app/src/main/java/be/tarsos/dsp/util/fft/FFT.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","be.tarsos.dsp.util.fft","/home/matheus/smell-and-machine-learning/repositories/gstraube_cythara/app/src/main/java/be/tarsos/dsp/util/fft/FloatFFT.java","3","80","Avoid really long classes.","Design","ExcessiveClassLength"
"2","be.tarsos.dsp.util.fft","/home/matheus/smell-and-machine-learning/repositories/gstraube_cythara/app/src/main/java/be/tarsos/dsp/util/fft/FloatFFT.java","3","80","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","be.tarsos.dsp.util.fft","/home/matheus/smell-and-machine-learning/repositories/gstraube_cythara/app/src/main/java/be/tarsos/dsp/util/fft/FloatFFT.java","3","1131","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","be.tarsos.dsp.util.fft","/home/matheus/smell-and-machine-learning/repositories/gstraube_cythara/app/src/main/java/be/tarsos/dsp/util/fft/FloatFFT.java","3","1295","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","be.tarsos.dsp.util.fft","/home/matheus/smell-and-machine-learning/repositories/gstraube_cythara/app/src/main/java/be/tarsos/dsp/util/fft/FloatFFT.java","3","1541","Avoid really long methods.","Design","ExcessiveMethodLength"
"6","be.tarsos.dsp.util.fft","/home/matheus/smell-and-machine-learning/repositories/gstraube_cythara/app/src/main/java/be/tarsos/dsp/util/fft/FloatFFT.java","3","2205","Avoid really long methods.","Design","ExcessiveMethodLength"
"7","be.tarsos.dsp.util.fft","/home/matheus/smell-and-machine-learning/repositories/gstraube_cythara/app/src/main/java/be/tarsos/dsp/util/fft/FloatFFT.java","3","2341","Avoid really long methods.","Design","ExcessiveMethodLength"
"8","be.tarsos.dsp.util.fft","/home/matheus/smell-and-machine-learning/repositories/gstraube_cythara/app/src/main/java/be/tarsos/dsp/util/fft/FloatFFT.java","3","2484","Avoid really long methods.","Design","ExcessiveMethodLength"
"9","be.tarsos.dsp.util.fft","/home/matheus/smell-and-machine-learning/repositories/gstraube_cythara/app/src/main/java/be/tarsos/dsp/util/fft/FloatFFT.java","3","2627","Avoid really long methods.","Design","ExcessiveMethodLength"
"10","be.tarsos.dsp.util.fft","/home/matheus/smell-and-machine-learning/repositories/gstraube_cythara/app/src/main/java/be/tarsos/dsp/util/fft/FloatFFT.java","3","2769","Avoid really long methods.","Design","ExcessiveMethodLength"
"11","be.tarsos.dsp.util.fft","/home/matheus/smell-and-machine-learning/repositories/gstraube_cythara/app/src/main/java/be/tarsos/dsp/util/fft/FloatFFT.java","3","3058","Avoid really long methods.","Design","ExcessiveMethodLength"
