"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","de.markusfisch.android.shadereditor.activity","/home/matheus/smell-and-machine-learning/repositories/ShaderEditor/app/src/main/java/de/markusfisch/android/shadereditor/activity/MainActivity.java","3","43","Avoid really long classes.","Design","ExcessiveClassLength"
"2","de.markusfisch.android.shadereditor.activity","/home/matheus/smell-and-machine-learning/repositories/ShaderEditor/app/src/main/java/de/markusfisch/android/shadereditor/activity/MainActivity.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.markusfisch.android.shadereditor.adapter","/home/matheus/smell-and-machine-learning/repositories/ShaderEditor/app/src/main/java/de/markusfisch/android/shadereditor/adapter/PresetUniformAdapter.java","3","52","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.markusfisch.android.shadereditor.database","/home/matheus/smell-and-machine-learning/repositories/ShaderEditor/app/src/main/java/de/markusfisch/android/shadereditor/database/Database.java","3","24","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.markusfisch.android.shadereditor.opengl","/home/matheus/smell-and-machine-learning/repositories/ShaderEditor/app/src/main/java/de/markusfisch/android/shadereditor/opengl/ShaderRenderer.java","3","51","Avoid really long classes.","Design","ExcessiveClassLength"
"2","de.markusfisch.android.shadereditor.opengl","/home/matheus/smell-and-machine-learning/repositories/ShaderEditor/app/src/main/java/de/markusfisch/android/shadereditor/opengl/ShaderRenderer.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","de.markusfisch.android.shadereditor.opengl","/home/matheus/smell-and-machine-learning/repositories/ShaderEditor/app/src/main/java/de/markusfisch/android/shadereditor/opengl/ShaderRenderer.java","3","371","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.markusfisch.android.shadereditor.preference","/home/matheus/smell-and-machine-learning/repositories/ShaderEditor/app/src/main/java/de/markusfisch/android/shadereditor/preference/Preferences.java","3","13","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.markusfisch.android.shadereditor.widget","/home/matheus/smell-and-machine-learning/repositories/ShaderEditor/app/src/main/java/de/markusfisch/android/shadereditor/widget/CubeMapView.java","3","24","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","de.markusfisch.android.shadereditor.widget","/home/matheus/smell-and-machine-learning/repositories/ShaderEditor/app/src/main/java/de/markusfisch/android/shadereditor/widget/CubeMapView.java","3","34","The class 'Face' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=3, WMC=5)","Design","DataClass"
"1","de.markusfisch.android.shadereditor.widget","/home/matheus/smell-and-machine-learning/repositories/ShaderEditor/app/src/main/java/de/markusfisch/android/shadereditor/widget/ScalingImageView.java","3","16","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.markusfisch.android.shadereditor.widget","/home/matheus/smell-and-machine-learning/repositories/ShaderEditor/app/src/main/java/de/markusfisch/android/shadereditor/widget/ShaderEditor.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
