"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","cc.rainwave.android","/home/matheus/smell-and-machine-learning/repositories/rainwave-android/src/cc/rainwave/android/NowPlayingActivity.java","3","90","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","cc.rainwave.android","/home/matheus/smell-and-machine-learning/repositories/rainwave-android/src/cc/rainwave/android/NowPlayingActivity.java","3","278","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","cc.rainwave.android","/home/matheus/smell-and-machine-learning/repositories/rainwave-android/src/cc/rainwave/android/PlaylistActivity.java","3","69","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cc.rainwave.android","/home/matheus/smell-and-machine-learning/repositories/rainwave-android/src/cc/rainwave/android/SyncService.java","3","43","The class 'SyncService' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=0, WMC=12)","Design","DataClass"
"1","cc.rainwave.android.adapters","/home/matheus/smell-and-machine-learning/repositories/rainwave-android/src/cc/rainwave/android/adapters/SongListAdapter.java","3","145","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","cc.rainwave.android.api","/home/matheus/smell-and-machine-learning/repositories/rainwave-android/src/cc/rainwave/android/api/Session.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.google.android.apps.iosched.ui.widget","/home/matheus/smell-and-machine-learning/repositories/rainwave-android/src/com/google/android/apps/iosched/ui/widget/Workspace.java","3","56","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.google.android.apps.iosched.ui.widget","/home/matheus/smell-and-machine-learning/repositories/rainwave-android/src/com/google/android/apps/iosched/ui/widget/Workspace.java","3","56","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.google.android.apps.iosched.ui.widget","/home/matheus/smell-and-machine-learning/repositories/rainwave-android/src/com/google/android/apps/iosched/ui/widget/Workspace.java","3","443","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.google.android.apps.iosched.ui.widget","/home/matheus/smell-and-machine-learning/repositories/rainwave-android/src/com/google/android/apps/iosched/ui/widget/Workspace.java","3","593","Avoid really long methods.","Design","ExcessiveMethodLength"
