"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","biz.source_code.base64Coder","/home/matheus/smell-and-machine-learning/repositories/E-Tipitaka-for-Android/src/biz/source_code/base64Coder/Base64Coder.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.yuttadhammo.tipitaka","/home/matheus/smell-and-machine-learning/repositories/E-Tipitaka-for-Android/src/org/yuttadhammo/tipitaka/BookmarkEnglishActivity.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.yuttadhammo.tipitaka","/home/matheus/smell-and-machine-learning/repositories/E-Tipitaka-for-Android/src/org/yuttadhammo/tipitaka/BookmarkItem.java","3","3","The class 'BookmarkItem' is suspected to be a Data Class (WOC=14.286%, NOPA=0, NOAM=10, WMC=17)","Design","DataClass"
"1","org.yuttadhammo.tipitaka","/home/matheus/smell-and-machine-learning/repositories/E-Tipitaka-for-Android/src/org/yuttadhammo/tipitaka/BookmarkPaliActivity.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.yuttadhammo.tipitaka","/home/matheus/smell-and-machine-learning/repositories/E-Tipitaka-for-Android/src/org/yuttadhammo/tipitaka/BookmarkPaliActivity.java","3","57","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.yuttadhammo.tipitaka","/home/matheus/smell-and-machine-learning/repositories/E-Tipitaka-for-Android/src/org/yuttadhammo/tipitaka/BookmarkThaiActivity.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.yuttadhammo.tipitaka","/home/matheus/smell-and-machine-learning/repositories/E-Tipitaka-for-Android/src/org/yuttadhammo/tipitaka/BookmarkThaiActivity.java","3","254","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.yuttadhammo.tipitaka","/home/matheus/smell-and-machine-learning/repositories/E-Tipitaka-for-Android/src/org/yuttadhammo/tipitaka/DictionaryActivity.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.yuttadhammo.tipitaka","/home/matheus/smell-and-machine-learning/repositories/E-Tipitaka-for-Android/src/org/yuttadhammo/tipitaka/EnglishActivity.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.yuttadhammo.tipitaka","/home/matheus/smell-and-machine-learning/repositories/E-Tipitaka-for-Android/src/org/yuttadhammo/tipitaka/QuizButton.java","3","3","The class 'QuizButton' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=5)","Design","DataClass"
"1","org.yuttadhammo.tipitaka","/home/matheus/smell-and-machine-learning/repositories/E-Tipitaka-for-Android/src/org/yuttadhammo/tipitaka/ReadBookActivity.java","3","66","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.yuttadhammo.tipitaka","/home/matheus/smell-and-machine-learning/repositories/E-Tipitaka-for-Android/src/org/yuttadhammo/tipitaka/ReadBookActivity.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.yuttadhammo.tipitaka","/home/matheus/smell-and-machine-learning/repositories/E-Tipitaka-for-Android/src/org/yuttadhammo/tipitaka/ReadBookActivity.java","3","136","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.yuttadhammo.tipitaka","/home/matheus/smell-and-machine-learning/repositories/E-Tipitaka-for-Android/src/org/yuttadhammo/tipitaka/SearchActivity.java","3","47","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.yuttadhammo.tipitaka","/home/matheus/smell-and-machine-learning/repositories/E-Tipitaka-for-Android/src/org/yuttadhammo/tipitaka/SearchActivity.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.yuttadhammo.tipitaka","/home/matheus/smell-and-machine-learning/repositories/E-Tipitaka-for-Android/src/org/yuttadhammo/tipitaka/SearchActivity.java","3","125","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","org.yuttadhammo.tipitaka","/home/matheus/smell-and-machine-learning/repositories/E-Tipitaka-for-Android/src/org/yuttadhammo/tipitaka/SearchActivity.java","3","659","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","org.yuttadhammo.tipitaka","/home/matheus/smell-and-machine-learning/repositories/E-Tipitaka-for-Android/src/org/yuttadhammo/tipitaka/SearchActivity.java","3","968","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.yuttadhammo.tipitaka","/home/matheus/smell-and-machine-learning/repositories/E-Tipitaka-for-Android/src/org/yuttadhammo/tipitaka/SearchDialog.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.yuttadhammo.tipitaka","/home/matheus/smell-and-machine-learning/repositories/E-Tipitaka-for-Android/src/org/yuttadhammo/tipitaka/SearchDialog.java","3","79","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.yuttadhammo.tipitaka","/home/matheus/smell-and-machine-learning/repositories/E-Tipitaka-for-Android/src/org/yuttadhammo/tipitaka/SearchHistoryDBAdapter.java","3","271","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.yuttadhammo.tipitaka","/home/matheus/smell-and-machine-learning/repositories/E-Tipitaka-for-Android/src/org/yuttadhammo/tipitaka/SearchHistoryItem.java","3","3","The class 'SearchHistoryItem' is suspected to be a Data Class (WOC=24.000%, NOPA=0, NOAM=14, WMC=30)","Design","DataClass"
"2","org.yuttadhammo.tipitaka","/home/matheus/smell-and-machine-learning/repositories/E-Tipitaka-for-Android/src/org/yuttadhammo/tipitaka/SearchHistoryItem.java","3","57","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","org.yuttadhammo.tipitaka","/home/matheus/smell-and-machine-learning/repositories/E-Tipitaka-for-Android/src/org/yuttadhammo/tipitaka/SelectBookActivity.java","3","47","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.yuttadhammo.tipitaka","/home/matheus/smell-and-machine-learning/repositories/E-Tipitaka-for-Android/src/org/yuttadhammo/tipitaka/SettingsActivity.java","3","35","Avoid really long methods.","Design","ExcessiveMethodLength"
