"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","be.digitalia.fosdem.activities","/home/matheus/smell-and-machine-learning/repositories/cbeyls_fosdem-companion-android/app/src/main/java/be/digitalia/fosdem/activities/MainActivity.java","3","67","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","be.digitalia.fosdem.activities","/home/matheus/smell-and-machine-learning/repositories/cbeyls_fosdem-companion-android/app/src/main/java/be/digitalia/fosdem/activities/MainActivity.java","3","191","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","be.digitalia.fosdem.adapters","/home/matheus/smell-and-machine-learning/repositories/cbeyls_fosdem-companion-android/app/src/main/java/be/digitalia/fosdem/adapters/ConcatAdapter.java","3","24","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","be.digitalia.fosdem.db","/home/matheus/smell-and-machine-learning/repositories/cbeyls_fosdem-companion-android/app/src/main/java/be/digitalia/fosdem/db/DatabaseHelper.java","3","7","The class 'DatabaseHelper' is suspected to be a Data Class (WOC=0.000%, NOPA=8, NOAM=0, WMC=1)","Design","DataClass"
"1","be.digitalia.fosdem.db","/home/matheus/smell-and-machine-learning/repositories/cbeyls_fosdem-companion-android/app/src/main/java/be/digitalia/fosdem/db/DatabaseManager.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","be.digitalia.fosdem.db","/home/matheus/smell-and-machine-learning/repositories/cbeyls_fosdem-companion-android/app/src/main/java/be/digitalia/fosdem/db/DatabaseManager.java","3","125","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","be.digitalia.fosdem.fragments","/home/matheus/smell-and-machine-learning/repositories/cbeyls_fosdem-companion-android/app/src/main/java/be/digitalia/fosdem/fragments/BookmarksListFragment.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","be.digitalia.fosdem.fragments","/home/matheus/smell-and-machine-learning/repositories/cbeyls_fosdem-companion-android/app/src/main/java/be/digitalia/fosdem/fragments/TrackScheduleListFragment.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","be.digitalia.fosdem.model","/home/matheus/smell-and-machine-learning/repositories/cbeyls_fosdem-companion-android/app/src/main/java/be/digitalia/fosdem/model/Day.java","3","14","The class 'Day' is suspected to be a Data Class (WOC=28.571%, NOPA=1, NOAM=4, WMC=9)","Design","DataClass"
"1","be.digitalia.fosdem.model","/home/matheus/smell-and-machine-learning/repositories/cbeyls_fosdem-companion-android/app/src/main/java/be/digitalia/fosdem/model/Event.java","3","14","The class 'Event' is suspected to be a Data Class (WOC=9.375%, NOPA=1, NOAM=28, WMC=40)","Design","DataClass"
"1","be.digitalia.fosdem.model","/home/matheus/smell-and-machine-learning/repositories/cbeyls_fosdem-companion-android/app/src/main/java/be/digitalia/fosdem/model/Link.java","3","6","The class 'Link' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=4, WMC=6)","Design","DataClass"
"1","be.digitalia.fosdem.model","/home/matheus/smell-and-machine-learning/repositories/cbeyls_fosdem-companion-android/app/src/main/java/be/digitalia/fosdem/model/Person.java","3","10","The class 'Person' is suspected to be a Data Class (WOC=16.667%, NOPA=1, NOAM=4, WMC=7)","Design","DataClass"
"1","be.digitalia.fosdem.model","/home/matheus/smell-and-machine-learning/repositories/cbeyls_fosdem-companion-android/app/src/main/java/be/digitalia/fosdem/model/Track.java","3","10","The class 'Track' is suspected to be a Data Class (WOC=0.000%, NOPA=1, NOAM=4, WMC=7)","Design","DataClass"
"1","be.digitalia.fosdem.parsers","/home/matheus/smell-and-machine-learning/repositories/cbeyls_fosdem-companion-android/app/src/main/java/be/digitalia/fosdem/parsers/EventsParser.java","3","70","Avoid really long methods.","Design","ExcessiveMethodLength"
