"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","ch.hgdev.toposuite.test.calculation","/home/matheus/smell-and-machine-learning/repositories/toposuite-android/app/src/androidTest/java/ch/hgdev/toposuite/test/calculation/CirclesIntersectionTest.java","3","20","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ch.hgdev.toposuite.test.calculation","/home/matheus/smell-and-machine-learning/repositories/toposuite-android/app/src/androidTest/java/ch/hgdev/toposuite/test/calculation/LinesIntersectionTest.java","3","20","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ch.hgdev.toposuite.calculation","/home/matheus/smell-and-machine-learning/repositories/toposuite-android/app/src/main/java/ch/hgdev/toposuite/calculation/Abriss.java","3","18","The class 'Abriss' is suspected to be a Data Class (WOC=10.000%, NOPA=0, NOAM=6, WMC=13)","Design","DataClass"
"2","ch.hgdev.toposuite.calculation","/home/matheus/smell-and-machine-learning/repositories/toposuite-android/app/src/main/java/ch/hgdev/toposuite/calculation/Abriss.java","3","65","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","ch.hgdev.toposuite.calculation","/home/matheus/smell-and-machine-learning/repositories/toposuite-android/app/src/main/java/ch/hgdev/toposuite/calculation/Abriss.java","3","282","The class 'Result' is suspected to be a Data Class (WOC=18.750%, NOPA=0, NOAM=12, WMC=16)","Design","DataClass"
"1","ch.hgdev.toposuite.calculation","/home/matheus/smell-and-machine-learning/repositories/toposuite-android/app/src/main/java/ch/hgdev/toposuite/calculation/AxisImplantation.java","3","24","The class 'AxisImplantation' is suspected to be a Data Class (WOC=7.692%, NOPA=0, NOAM=9, WMC=27)","Design","DataClass"
"2","ch.hgdev.toposuite.calculation","/home/matheus/smell-and-machine-learning/repositories/toposuite-android/app/src/main/java/ch/hgdev/toposuite/calculation/AxisImplantation.java","3","268","The class 'Result' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=10, WMC=11)","Design","DataClass"
"1","ch.hgdev.toposuite.calculation","/home/matheus/smell-and-machine-learning/repositories/toposuite-android/app/src/main/java/ch/hgdev/toposuite/calculation/Calculation.java","3","30","The class 'Calculation' is suspected to be a Data Class (WOC=20.000%, NOPA=0, NOAM=6, WMC=16)","Design","DataClass"
"1","ch.hgdev.toposuite.calculation","/home/matheus/smell-and-machine-learning/repositories/toposuite-android/app/src/main/java/ch/hgdev/toposuite/calculation/CheminementOrthogonal.java","3","19","The class 'CheminementOrthogonal' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=14, WMC=17)","Design","DataClass"
"2","ch.hgdev.toposuite.calculation","/home/matheus/smell-and-machine-learning/repositories/toposuite-android/app/src/main/java/ch/hgdev/toposuite/calculation/CheminementOrthogonal.java","3","66","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","ch.hgdev.toposuite.calculation","/home/matheus/smell-and-machine-learning/repositories/toposuite-android/app/src/main/java/ch/hgdev/toposuite/calculation/CheminementOrthogonal.java","3","303","The class 'Result' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=10, WMC=12)","Design","DataClass"
"4","ch.hgdev.toposuite.calculation","/home/matheus/smell-and-machine-learning/repositories/toposuite-android/app/src/main/java/ch/hgdev/toposuite/calculation/CheminementOrthogonal.java","3","368","The class 'Measure' is suspected to be a Data Class (WOC=28.571%, NOPA=2, NOAM=4, WMC=9)","Design","DataClass"
"1","ch.hgdev.toposuite.calculation","/home/matheus/smell-and-machine-learning/repositories/toposuite-android/app/src/main/java/ch/hgdev/toposuite/calculation/Circle.java","3","15","The class 'Circle' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=10, WMC=12)","Design","DataClass"
"1","ch.hgdev.toposuite.calculation","/home/matheus/smell-and-machine-learning/repositories/toposuite-android/app/src/main/java/ch/hgdev/toposuite/calculation/CirclesIntersection.java","3","17","The class 'CirclesIntersection' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=10, WMC=21)","Design","DataClass"
"1","ch.hgdev.toposuite.calculation","/home/matheus/smell-and-machine-learning/repositories/toposuite-android/app/src/main/java/ch/hgdev/toposuite/calculation/CircularCurvesSolver.java","3","13","The class 'CircularCurvesSolver' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=18, WMC=21)","Design","DataClass"
"2","ch.hgdev.toposuite.calculation","/home/matheus/smell-and-machine-learning/repositories/toposuite-android/app/src/main/java/ch/hgdev/toposuite/calculation/CircularCurvesSolver.java","3","74","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","ch.hgdev.toposuite.calculation","/home/matheus/smell-and-machine-learning/repositories/toposuite-android/app/src/main/java/ch/hgdev/toposuite/calculation/CircularSegmentation.java","3","27","The class 'CircularSegmentation' is suspected to be a Data Class (WOC=16.667%, NOPA=0, NOAM=7, WMC=29)","Design","DataClass"
"1","ch.hgdev.toposuite.calculation","/home/matheus/smell-and-machine-learning/repositories/toposuite-android/app/src/main/java/ch/hgdev/toposuite/calculation/FreeStation.java","3","21","The class 'FreeStation' is suspected to be a Data Class (WOC=4.762%, NOPA=0, NOAM=16, WMC=28)","Design","DataClass"
"2","ch.hgdev.toposuite.calculation","/home/matheus/smell-and-machine-learning/repositories/toposuite-android/app/src/main/java/ch/hgdev/toposuite/calculation/FreeStation.java","3","88","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","ch.hgdev.toposuite.calculation","/home/matheus/smell-and-machine-learning/repositories/toposuite-android/app/src/main/java/ch/hgdev/toposuite/calculation/FreeStation.java","3","496","The class 'Result' is suspected to be a Data Class (WOC=5.882%, NOPA=0, NOAM=13, WMC=17)","Design","DataClass"
"1","ch.hgdev.toposuite.calculation","/home/matheus/smell-and-machine-learning/repositories/toposuite-android/app/src/main/java/ch/hgdev/toposuite/calculation/Gisement.java","3","23","The class 'Gisement' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=39)","Design","DataClass"
"1","ch.hgdev.toposuite.calculation","/home/matheus/smell-and-machine-learning/repositories/toposuite-android/app/src/main/java/ch/hgdev/toposuite/calculation/LeveOrthogonal.java","3","19","The class 'LeveOrthogonal' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=8)","Design","DataClass"
