"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.github.andlyticsproject","/home/matheus/smell-and-machine-learning/repositories/AndlyticsProject_andlytics/src/com/github/andlyticsproject/AdmobFragment.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.andlyticsproject","/home/matheus/smell-and-machine-learning/repositories/AndlyticsProject_andlytics/src/com/github/andlyticsproject/AndlyticsPreferenceActivity.java","3","38","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.andlyticsproject","/home/matheus/smell-and-machine-learning/repositories/AndlyticsProject_andlytics/src/com/github/andlyticsproject/AppStatsDiff.java","3","4","The class 'AppStatsDiff' is suspected to be a Data Class (WOC=3.448%, NOPA=0, NOAM=28, WMC=33)","Design","DataClass"
"1","com.github.andlyticsproject","/home/matheus/smell-and-machine-learning/repositories/AndlyticsProject_andlytics/src/com/github/andlyticsproject/BaseActivity.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.andlyticsproject","/home/matheus/smell-and-machine-learning/repositories/AndlyticsProject_andlytics/src/com/github/andlyticsproject/ChartFragment.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.andlyticsproject","/home/matheus/smell-and-machine-learning/repositories/AndlyticsProject_andlytics/src/com/github/andlyticsproject/ChartFragmentBase.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.andlyticsproject","/home/matheus/smell-and-machine-learning/repositories/AndlyticsProject_andlytics/src/com/github/andlyticsproject/CommentsFragment.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.github.andlyticsproject","/home/matheus/smell-and-machine-learning/repositories/AndlyticsProject_andlytics/src/com/github/andlyticsproject/CommentsListAdapter.java","3","31","The class 'CommentsListAdapter' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=16)","Design","DataClass"
"2","com.github.andlyticsproject","/home/matheus/smell-and-machine-learning/repositories/AndlyticsProject_andlytics/src/com/github/andlyticsproject/CommentsListAdapter.java","3","57","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.github.andlyticsproject","/home/matheus/smell-and-machine-learning/repositories/AndlyticsProject_andlytics/src/com/github/andlyticsproject/ContentAdapter.java","3","36","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.github.andlyticsproject","/home/matheus/smell-and-machine-learning/repositories/AndlyticsProject_andlytics/src/com/github/andlyticsproject/ContentAdapter.java","3","437","Avoid really long methods.","Design","ExcessiveMethodLength"
