"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.evilsoft.pathfinder.reference","/home/matheus/smell-and-machine-learning/repositories/PathfinderOpenReference/app/src/main/java/org/evilsoft/pathfinder/reference/DetailsWebViewClient.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.evilsoft.pathfinder.reference","/home/matheus/smell-and-machine-learning/repositories/PathfinderOpenReference/app/src/main/java/org/evilsoft/pathfinder/reference/ExpandableListFragment.java","3","25","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.evilsoft.pathfinder.reference","/home/matheus/smell-and-machine-learning/repositories/PathfinderOpenReference/app/src/main/java/org/evilsoft/pathfinder/reference/MenuItem.java","3","3","The class 'MenuItem' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=6)","Design","DataClass"
"1","org.evilsoft.pathfinder.reference.api","/home/matheus/smell-and-machine-learning/repositories/PathfinderOpenReference/app/src/main/java/org/evilsoft/pathfinder/reference/api/AbstractContentProvider.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.evilsoft.pathfinder.reference.db","/home/matheus/smell-and-machine-learning/repositories/PathfinderOpenReference/app/src/main/java/org/evilsoft/pathfinder/reference/db/BaseDbHelper.java","3","21","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.evilsoft.pathfinder.reference.db.index","/home/matheus/smell-and-machine-learning/repositories/PathfinderOpenReference/app/src/main/java/org/evilsoft/pathfinder/reference/db/index/IndexGroupAdapter.java","3","13","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.evilsoft.pathfinder.reference.db.user","/home/matheus/smell-and-machine-learning/repositories/PathfinderOpenReference/app/src/main/java/org/evilsoft/pathfinder/reference/db/user/CollectionAdapter.java","3","15","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.evilsoft.pathfinder.reference.list","/home/matheus/smell-and-machine-learning/repositories/PathfinderOpenReference/app/src/main/java/org/evilsoft/pathfinder/reference/list/BaseListItem.java","3","3","The class 'BaseListItem' is suspected to be a Data Class (WOC=11.111%, NOPA=0, NOAM=8, WMC=9)","Design","DataClass"
"1","org.evilsoft.pathfinder.reference.list","/home/matheus/smell-and-machine-learning/repositories/PathfinderOpenReference/app/src/main/java/org/evilsoft/pathfinder/reference/list/CollectionItemListItem.java","3","3","The class 'CollectionItemListItem' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=6)","Design","DataClass"
"1","org.evilsoft.pathfinder.reference.list","/home/matheus/smell-and-machine-learning/repositories/PathfinderOpenReference/app/src/main/java/org/evilsoft/pathfinder/reference/list/CollectionListItem.java","3","3","The class 'CollectionListItem' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=8)","Design","DataClass"
"1","org.evilsoft.pathfinder.reference.list","/home/matheus/smell-and-machine-learning/repositories/PathfinderOpenReference/app/src/main/java/org/evilsoft/pathfinder/reference/list/CreatureListAdapter.java","3","114","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","org.evilsoft.pathfinder.reference.list","/home/matheus/smell-and-machine-learning/repositories/PathfinderOpenReference/app/src/main/java/org/evilsoft/pathfinder/reference/list/CreatureListItem.java","3","3","The class 'CreatureListItem' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=14, WMC=14)","Design","DataClass"
"1","org.evilsoft.pathfinder.reference.list","/home/matheus/smell-and-machine-learning/repositories/PathfinderOpenReference/app/src/main/java/org/evilsoft/pathfinder/reference/list/FeatListItem.java","3","3","The class 'FeatListItem' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=6)","Design","DataClass"
"1","org.evilsoft.pathfinder.reference.list","/home/matheus/smell-and-machine-learning/repositories/PathfinderOpenReference/app/src/main/java/org/evilsoft/pathfinder/reference/list/HistoryListItem.java","3","3","The class 'HistoryListItem' is suspected to be a Data Class (WOC=14.286%, NOPA=0, NOAM=6, WMC=7)","Design","DataClass"
