"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.example.android.swipedismiss","/home/matheus/smell-and-machine-learning/repositories/cmykola_Lexin/src/com/example/android/swipedismiss/SwipeDismissListViewTouchListener.java","3","184","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.jcraft.jzlib","/home/matheus/smell-and-machine-learning/repositories/cmykola_Lexin/src/com/jcraft/jzlib/Deflate.java","3","38","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.jcraft.jzlib","/home/matheus/smell-and-machine-learning/repositories/cmykola_Lexin/src/com/jcraft/jzlib/Deflate.java","3","38","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.jcraft.jzlib","/home/matheus/smell-and-machine-learning/repositories/cmykola_Lexin/src/com/jcraft/jzlib/Deflate.java","3","1002","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.jcraft.jzlib","/home/matheus/smell-and-machine-learning/repositories/cmykola_Lexin/src/com/jcraft/jzlib/Deflate.java","3","1107","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","com.jcraft.jzlib","/home/matheus/smell-and-machine-learning/repositories/cmykola_Lexin/src/com/jcraft/jzlib/Deflate.java","3","1481","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.jcraft.jzlib","/home/matheus/smell-and-machine-learning/repositories/cmykola_Lexin/src/com/jcraft/jzlib/InfBlocks.java","3","126","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.jcraft.jzlib","/home/matheus/smell-and-machine-learning/repositories/cmykola_Lexin/src/com/jcraft/jzlib/InfCodes.java","3","107","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.jcraft.jzlib","/home/matheus/smell-and-machine-learning/repositories/cmykola_Lexin/src/com/jcraft/jzlib/InfCodes.java","3","401","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.jcraft.jzlib","/home/matheus/smell-and-machine-learning/repositories/cmykola_Lexin/src/com/jcraft/jzlib/InfTree.java","3","229","Avoid long parameter lists.","Design","ExcessiveParameterList"
"2","com.jcraft.jzlib","/home/matheus/smell-and-machine-learning/repositories/cmykola_Lexin/src/com/jcraft/jzlib/InfTree.java","3","229","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.jcraft.jzlib","/home/matheus/smell-and-machine-learning/repositories/cmykola_Lexin/src/com/jcraft/jzlib/Inflate.java","3","140","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.jcraft.jzlib","/home/matheus/smell-and-machine-learning/repositories/cmykola_Lexin/src/com/jcraft/jzlib/ZStream.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.mykola.lexinproject.providers","/home/matheus/smell-and-machine-learning/repositories/cmykola_Lexin/src/com/mykola/lexinproject/providers/TranslationManager.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.mykola.lexinproject.ui","/home/matheus/smell-and-machine-learning/repositories/cmykola_Lexin/src/com/mykola/lexinproject/ui/AttachmentsFragment.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.mykola.lexinproject.ui","/home/matheus/smell-and-machine-learning/repositories/cmykola_Lexin/src/com/mykola/lexinproject/ui/HistoryFragment.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.mykola.lexinproject.ui","/home/matheus/smell-and-machine-learning/repositories/cmykola_Lexin/src/com/mykola/lexinproject/ui/LexinActivity.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.mykola.lexinproject.ui","/home/matheus/smell-and-machine-learning/repositories/cmykola_Lexin/src/com/mykola/lexinproject/ui/PreviewFragment.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.mykola.lexinproject.ui","/home/matheus/smell-and-machine-learning/repositories/cmykola_Lexin/src/com/mykola/lexinproject/ui/PreviewFragment.java","3","160","Avoid really long methods.","Design","ExcessiveMethodLength"
