"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","ru.valle.btc","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/androidTest/java/ru/valle/btc/MainActivityTest.java","3","73","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","ru.valle.btc","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/androidTest/java/ru/valle/btc/MainActivityTest.java","3","396","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","android.support.v4.print","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/main/java/android/support/v4/print/PrintHelperKitkat.java","3","257","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.d_project.qrcode","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/main/java/com/d_project/qrcode/QRUtil.java","3","152","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","ru.valle.btc","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/main/java/ru/valle/btc/Address.java","3","16","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ru.valle.btc","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/main/java/ru/valle/btc/BTCUtils.java","3","68","Avoid really long classes.","Design","ExcessiveClassLength"
"2","ru.valle.btc","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/main/java/ru/valle/btc/BTCUtils.java","3","68","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","ru.valle.btc","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/main/java/ru/valle/btc/BTCUtils.java","3","152","The class 'PrivateKeyInfo' is suspected to be a Data Class (WOC=0.000%, NOPA=9, NOAM=0, WMC=1)","Design","DataClass"
"4","ru.valle.btc","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/main/java/ru/valle/btc/BTCUtils.java","3","661","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","ru.valle.btc","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/main/java/ru/valle/btc/BTCUtils.java","3","883","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","ru.valle.btc","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/main/java/ru/valle/btc/BitcoinException.java","3","26","The class 'BitcoinException' is suspected to be a Data Class (WOC=0.000%, NOPA=13, NOAM=0, WMC=2)","Design","DataClass"
"1","ru.valle.btc","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/main/java/ru/valle/btc/MainActivity.java","3","89","Avoid really long classes.","Design","ExcessiveClassLength"
"2","ru.valle.btc","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/main/java/ru/valle/btc/MainActivity.java","3","89","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","ru.valle.btc","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/main/java/ru/valle/btc/MainActivity.java","3","247","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","ru.valle.btc","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/main/java/ru/valle/btc/MainActivity.java","3","512","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","ru.valle.btc","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/main/java/ru/valle/btc/MainActivity.java","3","666","Avoid really long methods.","Design","ExcessiveMethodLength"
"6","ru.valle.btc","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/main/java/ru/valle/btc/MainActivity.java","3","852","Avoid really long methods.","Design","ExcessiveMethodLength"
"7","ru.valle.btc","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/main/java/ru/valle/btc/MainActivity.java","3","870","Avoid really long methods.","Design","ExcessiveMethodLength"
"8","ru.valle.btc","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/main/java/ru/valle/btc/MainActivity.java","3","1123","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","ru.valle.btc","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/main/java/ru/valle/btc/Transaction.java","3","38","Avoid really long classes.","Design","ExcessiveClassLength"
"2","ru.valle.btc","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/main/java/ru/valle/btc/Transaction.java","3","427","Avoid really long classes.","Design","ExcessiveClassLength"
"3","ru.valle.btc","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/main/java/ru/valle/btc/Transaction.java","3","427","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","ru.valle.btc","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/main/java/ru/valle/btc/Transaction.java","3","555","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","ru.valle.btc","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/main/java/ru/valle/btc/Transaction.java","3","1242","Avoid really long methods.","Design","ExcessiveMethodLength"
"6","ru.valle.btc","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/main/java/ru/valle/btc/Transaction.java","3","1440","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","ru.valle.btc","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/main/java/ru/valle/btc/TrulySecureRandom.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ru.valle.btc","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/main/java/ru/valle/btc/UnspentOutputInfo.java","3","26","The class 'UnspentOutputInfo' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=0, WMC=1)","Design","DataClass"
"1","ru.valle.btc","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/test/java/ru/valle/btc/BTCUtilsTest.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ru.valle.btc","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/test/java/ru/valle/btc/Bech32Test.java","3","137","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","ru.valle.btc","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/test/java/ru/valle/btc/SegWitTest.java","3","11","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","ru.valle.btc","/home/matheus/smell-and-machine-learning/repositories/ValleZ_Paper-Wallet/app/src/test/java/ru/valle/btc/TransactionTest.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
