"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","free.yhc.netmbuddy","/home/matheus/smell-and-machine-learning/repositories/netmbuddy/src/main/java/free/yhc/netmbuddy/ImportShareActivity.java","3","63","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","free.yhc.netmbuddy","/home/matheus/smell-and-machine-learning/repositories/netmbuddy/src/main/java/free/yhc/netmbuddy/LockScreenActivity.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","free.yhc.netmbuddy","/home/matheus/smell-and-machine-learning/repositories/netmbuddy/src/main/java/free/yhc/netmbuddy/MusicsActivity.java","3","67","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","free.yhc.netmbuddy","/home/matheus/smell-and-machine-learning/repositories/netmbuddy/src/main/java/free/yhc/netmbuddy/PlaylistActivity.java","3","92","Avoid really long classes.","Design","ExcessiveClassLength"
"2","free.yhc.netmbuddy","/home/matheus/smell-and-machine-learning/repositories/netmbuddy/src/main/java/free/yhc/netmbuddy/PlaylistActivity.java","3","93","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","free.yhc.netmbuddy","/home/matheus/smell-and-machine-learning/repositories/netmbuddy/src/main/java/free/yhc/netmbuddy/VideoPlayerActivity.java","3","75","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","free.yhc.netmbuddy","/home/matheus/smell-and-machine-learning/repositories/netmbuddy/src/main/java/free/yhc/netmbuddy/YTMPActivity.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","free.yhc.netmbuddy","/home/matheus/smell-and-machine-learning/repositories/netmbuddy/src/main/java/free/yhc/netmbuddy/YTSearchActivity.java","3","71","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","free.yhc.netmbuddy","/home/matheus/smell-and-machine-learning/repositories/netmbuddy/src/main/java/free/yhc/netmbuddy/YTVideoSearchActivity.java","3","68","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","free.yhc.netmbuddy.core","/home/matheus/smell-and-machine-learning/repositories/netmbuddy/src/main/java/free/yhc/netmbuddy/core/YTDataAdapter.java","3","134","The class 'Video' is suspected to be a Data Class (WOC=0.000%, NOPA=7, NOAM=0, WMC=2)","Design","DataClass"
"2","free.yhc.netmbuddy.core","/home/matheus/smell-and-machine-learning/repositories/netmbuddy/src/main/java/free/yhc/netmbuddy/core/YTDataAdapter.java","3","158","The class 'VideoListReq' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","free.yhc.netmbuddy.core","/home/matheus/smell-and-machine-learning/repositories/netmbuddy/src/main/java/free/yhc/netmbuddy/core/YTPlayer.java","3","88","Avoid really long classes.","Design","ExcessiveClassLength"
"2","free.yhc.netmbuddy.core","/home/matheus/smell-and-machine-learning/repositories/netmbuddy/src/main/java/free/yhc/netmbuddy/core/YTPlayer.java","3","101","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","free.yhc.netmbuddy.core","/home/matheus/smell-and-machine-learning/repositories/netmbuddy/src/main/java/free/yhc/netmbuddy/core/YTPlayer.java","3","1396","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","free.yhc.netmbuddy.core","/home/matheus/smell-and-machine-learning/repositories/netmbuddy/src/main/java/free/yhc/netmbuddy/core/YTPlayerUI.java","3","86","Avoid really long classes.","Design","ExcessiveClassLength"
"2","free.yhc.netmbuddy.core","/home/matheus/smell-and-machine-learning/repositories/netmbuddy/src/main/java/free/yhc/netmbuddy/core/YTPlayerUI.java","3","87","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","free.yhc.netmbuddy.core","/home/matheus/smell-and-machine-learning/repositories/netmbuddy/src/main/java/free/yhc/netmbuddy/core/YTPlayerUI.java","3","485","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","free.yhc.netmbuddy.core","/home/matheus/smell-and-machine-learning/repositories/netmbuddy/src/main/java/free/yhc/netmbuddy/core/YTPlayerVideoListManager.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","free.yhc.netmbuddy.db","/home/matheus/smell-and-machine-learning/repositories/netmbuddy/src/main/java/free/yhc/netmbuddy/db/DB.java","3","54","Avoid really long classes.","Design","ExcessiveClassLength"
"2","free.yhc.netmbuddy.db","/home/matheus/smell-and-machine-learning/repositories/netmbuddy/src/main/java/free/yhc/netmbuddy/db/DB.java","3","55","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","free.yhc.netmbuddy.db","/home/matheus/smell-and-machine-learning/repositories/netmbuddy/src/main/java/free/yhc/netmbuddy/db/DBUtils.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","free.yhc.netmbuddy.utils","/home/matheus/smell-and-machine-learning/repositories/netmbuddy/src/main/java/free/yhc/netmbuddy/utils/JsonUtil.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","free.yhc.netmbuddy.utils","/home/matheus/smell-and-machine-learning/repositories/netmbuddy/src/main/java/free/yhc/netmbuddy/utils/Util.java","3","76","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","free.yhc.netmbuddy.utils","/home/matheus/smell-and-machine-learning/repositories/netmbuddy/src/main/java/free/yhc/netmbuddy/utils/UxUtil.java","3","83","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","free.yhc.netmbuddy.widget","/home/matheus/smell-and-machine-learning/repositories/netmbuddy/src/main/java/free/yhc/netmbuddy/widget/SlidingDrawer.java","3","83","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
