"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","de.koelle.christian.trickytripper.dataaccess.manual.exchangerateimport","/home/matheus/smell-and-machine-learning/repositories/trickytripper/app/src/androidTest/java/de/koelle/christian/trickytripper/dataaccess/manual/exchangerateimport/SmallCurrencyImportTest.java","3","15","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.koelle.christian.trickytripper.dataaccess.suite.exchange","/home/matheus/smell-and-machine-learning/repositories/trickytripper/app/src/androidTest/java/de/koelle/christian/trickytripper/dataaccess/suite/exchange/ExchangeRateImportSaveAndLoadTest.java","3","65","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","de.koelle.christian.trickytripper.dataaccess.suite.exchange","/home/matheus/smell-and-machine-learning/repositories/trickytripper/app/src/androidTest/java/de/koelle/christian/trickytripper/dataaccess/suite/exchange/ExchangeRateImportSaveAndLoadTest.java","3","265","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.koelle.christian.trickytripper.dataaccess.suite.exchange","/home/matheus/smell-and-machine-learning/repositories/trickytripper/app/src/androidTest/java/de/koelle/christian/trickytripper/dataaccess/suite/exchange/ExchangeRateSaveAndLoadTest.java","3","65","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.koelle.christian.common.ascii","/home/matheus/smell-and-machine-learning/repositories/trickytripper/app/src/main/java/de/koelle/christian/common/ascii/AsciTable.java","3","97","Avoid really long classes.","Design","ExcessiveClassLength"
"2","de.koelle.christian.common.ascii","/home/matheus/smell-and-machine-learning/repositories/trickytripper/app/src/main/java/de/koelle/christian/common/ascii/AsciTable.java","3","98","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","de.koelle.christian.common.ascii","/home/matheus/smell-and-machine-learning/repositories/trickytripper/app/src/main/java/de/koelle/christian/common/ascii/AsciTable.java","3","460","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","de.koelle.christian.common.ascii","/home/matheus/smell-and-machine-learning/repositories/trickytripper/app/src/main/java/de/koelle/christian/common/ascii/AsciTable.java","3","688","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","de.koelle.christian.common.ascii","/home/matheus/smell-and-machine-learning/repositories/trickytripper/app/src/main/java/de/koelle/christian/common/ascii/AsciTable.java","3","848","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.koelle.christian.common.primitives","/home/matheus/smell-and-machine-learning/repositories/trickytripper/app/src/main/java/de/koelle/christian/common/primitives/DivisionResult.java","3","3","The class 'DivisionResult' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
