"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","net.bible.android.control","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/main/java/net/bible/android/control/ApplicationComponent.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.bible.android.control.page.window","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/main/java/net/bible/android/control/page/window/WindowControl.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.bible.android.control.page.window","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/main/java/net/bible/android/control/page/window/WindowLayout.java","3","6","The class 'WindowLayout' is suspected to be a Data Class (WOC=28.571%, NOPA=0, NOAM=4, WMC=7)","Design","DataClass"
"1","net.bible.android.control.page.window","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/main/java/net/bible/android/control/page/window/WindowRepository.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.bible.android.control.speak","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/main/java/net/bible/android/control/speak/SpeakControl.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.bible.android.view.activity","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/main/java/net/bible/android/view/activity/ActivityComponent.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.bible.android.view.activity.base","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/main/java/net/bible/android/view/activity/base/ActivityBase.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.bible.android.view.activity.base","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/main/java/net/bible/android/view/activity/base/Dialogs.java","3","21","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.bible.android.view.activity.base","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/main/java/net/bible/android/view/activity/base/DocumentSelectionBase.java","3","55","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.bible.android.view.activity.bookmark","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/main/java/net/bible/android/view/activity/bookmark/Bookmarks.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.bible.android.view.activity.download","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/main/java/net/bible/android/view/activity/download/Download.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.bible.android.view.activity.footnoteandref","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/main/java/net/bible/android/view/activity/footnoteandref/FootnoteAndRefActivity.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.bible.android.view.activity.mynote","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/main/java/net/bible/android/view/activity/mynote/MyNoteEditTextView.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.bible.android.view.activity.page","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/main/java/net/bible/android/view/activity/page/BibleView.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.bible.android.view.activity.page","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/main/java/net/bible/android/view/activity/page/MainBibleActivity.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.bible.android.view.activity.page.screen","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/main/java/net/bible/android/view/activity/page/screen/DocumentWebViewBuilder.java","3","63","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","net.bible.android.view.activity.page.screen","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/main/java/net/bible/android/view/activity/page/screen/DocumentWebViewBuilder.java","3","130","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.bible.android.view.activity.page.screen","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/main/java/net/bible/android/view/activity/page/screen/Separator.java","3","22","The class 'Separator' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=10)","Design","DataClass"
"1","net.bible.android.view.activity.readingplan","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/main/java/net/bible/android/view/activity/readingplan/DailyReading.java","3","38","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","net.bible.android.view.activity.readingplan","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/main/java/net/bible/android/view/activity/readingplan/DailyReading.java","3","65","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","net.bible.service.common","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/main/java/net/bible/service/common/CommonUtils.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.bible.service.db.bookmark","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/main/java/net/bible/service/db/bookmark/LabelDto.java","3","15","The class 'LabelDto' is suspected to be a Data Class (WOC=20.000%, NOPA=0, NOAM=6, WMC=12)","Design","DataClass"
"1","net.bible.service.device.speak","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/main/java/net/bible/service/device/speak/SpeakTextProvider.java","3","23","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.bible.service.device.speak","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/main/java/net/bible/service/device/speak/TextToSpeechServiceManager.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.bible.service.download","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/main/java/net/bible/service/download/RepoFactory.java","3","15","The class 'RepoFactory' is suspected to be a Data Class (WOC=16.667%, NOPA=0, NOAM=5, WMC=12)","Design","DataClass"
"1","net.bible.service.format","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/main/java/net/bible/service/format/Note.java","3","17","The class 'Note' is suspected to be a Data Class (WOC=12.500%, NOPA=2, NOAM=6, WMC=15)","Design","DataClass"
"1","net.bible.android.control.bookmark","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/test/java/net/bible/android/control/bookmark/BookmarkControlTest.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.bible.android.control.page.window","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/test/java/net/bible/android/control/page/window/WindowControlTest.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.bible.android.control.report","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/test/java/net/bible/android/control/report/EmailerStub.java","3","5","The class 'EmailerStub' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"1","net.bible.android.view.activity.page","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/test/java/net/bible/android/view/activity/page/ChapterVerseRangeTest.java","3","22","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.bible.service.format","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/test/java/net/bible/service/format/OSISInputStreamTest.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.bible.service.format.osistohtml.taghandler","/home/matheus/smell-and-machine-learning/repositories/and-bible/and-bible/app/src/test/java/net/bible/service/format/osistohtml/taghandler/ReferenceHandlerTest.java","3","27","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.crosswire.jsword.versification","/home/matheus/smell-and-machine-learning/repositories/and-bible/jsword-tweaks/bakup/BibleInfo.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.crosswire.jsword.book.sword","/home/matheus/smell-and-machine-learning/repositories/and-bible/jsword-tweaks/bakup/ConfigEntryTable.java","3","71","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.crosswire.common.util","/home/matheus/smell-and-machine-learning/repositories/and-bible/jsword-tweaks/bakup/Logger.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","net.andbible.util","/home/matheus/smell-and-machine-learning/repositories/and-bible/jsword-tweaks/src/util/java/net/andbible/util/MJDIndexAll.java","3","21","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","net.andbible.util","/home/matheus/smell-and-machine-learning/repositories/and-bible/jsword-tweaks/src/util/java/net/andbible/util/MJDIndexAll.java","3","45","Avoid really long methods.","Design","ExcessiveMethodLength"
