"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.jcraft.jzlib","/home/matheus/smell-and-machine-learning/repositories/irssiconnectbot_irssiconnectbot/src/com/jcraft/jzlib/Deflate.java","3","38","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.jcraft.jzlib","/home/matheus/smell-and-machine-learning/repositories/irssiconnectbot_irssiconnectbot/src/com/jcraft/jzlib/Deflate.java","3","38","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.jcraft.jzlib","/home/matheus/smell-and-machine-learning/repositories/irssiconnectbot_irssiconnectbot/src/com/jcraft/jzlib/Deflate.java","3","1002","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.jcraft.jzlib","/home/matheus/smell-and-machine-learning/repositories/irssiconnectbot_irssiconnectbot/src/com/jcraft/jzlib/Deflate.java","3","1107","Avoid really long methods.","Design","ExcessiveMethodLength"
"5","com.jcraft.jzlib","/home/matheus/smell-and-machine-learning/repositories/irssiconnectbot_irssiconnectbot/src/com/jcraft/jzlib/Deflate.java","3","1481","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.jcraft.jzlib","/home/matheus/smell-and-machine-learning/repositories/irssiconnectbot_irssiconnectbot/src/com/jcraft/jzlib/InfBlocks.java","3","126","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.jcraft.jzlib","/home/matheus/smell-and-machine-learning/repositories/irssiconnectbot_irssiconnectbot/src/com/jcraft/jzlib/InfCodes.java","3","107","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.jcraft.jzlib","/home/matheus/smell-and-machine-learning/repositories/irssiconnectbot_irssiconnectbot/src/com/jcraft/jzlib/InfCodes.java","3","401","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.jcraft.jzlib","/home/matheus/smell-and-machine-learning/repositories/irssiconnectbot_irssiconnectbot/src/com/jcraft/jzlib/InfTree.java","3","229","Avoid long parameter lists.","Design","ExcessiveParameterList"
"2","com.jcraft.jzlib","/home/matheus/smell-and-machine-learning/repositories/irssiconnectbot_irssiconnectbot/src/com/jcraft/jzlib/InfTree.java","3","229","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.jcraft.jzlib","/home/matheus/smell-and-machine-learning/repositories/irssiconnectbot_irssiconnectbot/src/com/jcraft/jzlib/Inflate.java","3","140","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.jcraft.jzlib","/home/matheus/smell-and-machine-learning/repositories/irssiconnectbot_irssiconnectbot/src/com/jcraft/jzlib/ZStream.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.trilead.ssh2","/home/matheus/smell-and-machine-learning/repositories/irssiconnectbot_irssiconnectbot/src/com/trilead/ssh2/Connection.java","3","45","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.trilead.ssh2","/home/matheus/smell-and-machine-learning/repositories/irssiconnectbot_irssiconnectbot/src/com/trilead/ssh2/Connection.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.trilead.ssh2","/home/matheus/smell-and-machine-learning/repositories/irssiconnectbot_irssiconnectbot/src/com/trilead/ssh2/Connection.java","3","729","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.trilead.ssh2","/home/matheus/smell-and-machine-learning/repositories/irssiconnectbot_irssiconnectbot/src/com/trilead/ssh2/HTTPProxyData.java","3","14","The class 'HTTPProxyData' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=0, WMC=7)","Design","DataClass"
"1","com.trilead.ssh2","/home/matheus/smell-and-machine-learning/repositories/irssiconnectbot_irssiconnectbot/src/com/trilead/ssh2/KnownHosts.java","3","47","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.trilead.ssh2","/home/matheus/smell-and-machine-learning/repositories/irssiconnectbot_irssiconnectbot/src/com/trilead/ssh2/SCPClient.java","3","26","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.trilead.ssh2","/home/matheus/smell-and-machine-learning/repositories/irssiconnectbot_irssiconnectbot/src/com/trilead/ssh2/SFTPv3Client.java","3","61","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.trilead.ssh2","/home/matheus/smell-and-machine-learning/repositories/irssiconnectbot_irssiconnectbot/src/com/trilead/ssh2/SFTPv3Client.java","3","62","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.trilead.ssh2","/home/matheus/smell-and-machine-learning/repositories/irssiconnectbot_irssiconnectbot/src/com/trilead/ssh2/Session.java","3","24","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.trilead.ssh2.auth","/home/matheus/smell-and-machine-learning/repositories/irssiconnectbot_irssiconnectbot/src/com/trilead/ssh2/auth/AuthenticationManager.java","3","169","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.trilead.ssh2.channel","/home/matheus/smell-and-machine-learning/repositories/irssiconnectbot_irssiconnectbot/src/com/trilead/ssh2/channel/AuthAgentForwardThread.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.trilead.ssh2.channel","/home/matheus/smell-and-machine-learning/repositories/irssiconnectbot_irssiconnectbot/src/com/trilead/ssh2/channel/AuthAgentForwardThread.java","3","95","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.trilead.ssh2.channel","/home/matheus/smell-and-machine-learning/repositories/irssiconnectbot_irssiconnectbot/src/com/trilead/ssh2/channel/Channel.java","3","10","The class 'Channel' is suspected to be a Data Class (WOC=25.000%, NOPA=0, NOAM=5, WMC=9)","Design","DataClass"
