"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.concentricsky.android.khanacademy.app","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/app/CaptionFragment.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.concentricsky.android.khanacademy.app","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/app/HomeActivity.java","3","68","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.concentricsky.android.khanacademy.app","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/app/ManageDownloadsActivity.java","3","92","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.concentricsky.android.khanacademy.app","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/app/ShowProfileActivity.java","3","74","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.concentricsky.android.khanacademy.app","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/app/ShowProfileActivity.java","3","92","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","com.concentricsky.android.khanacademy.app","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/app/ShowProfileActivity.java","3","129","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.concentricsky.android.khanacademy.app","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/app/TopicListActivity.java","3","133","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.concentricsky.android.khanacademy.app","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/app/VideoDetailActivity.java","3","94","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.concentricsky.android.khanacademy.app","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/app/VideoDetailActivity.java","3","95","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.concentricsky.android.khanacademy.app","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/app/VideoFragment.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.concentricsky.android.khanacademy.app","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/app/VideoListActivity.java","3","89","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.concentricsky.android.khanacademy.app","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/app/VideoListActivity.java","3","178","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.concentricsky.android.khanacademy.data","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/data/KADataService.java","3","83","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.concentricsky.android.khanacademy.data.db","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/data/db/Badge.java","3","32","The class 'Badge' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=7, WMC=7)","Design","DataClass"
"1","com.concentricsky.android.khanacademy.data.db","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/data/db/BadgeCategory.java","3","30","The class 'BadgeCategory' is suspected to be a Data Class (WOC=12.500%, NOPA=0, NOAM=4, WMC=14)","Design","DataClass"
"1","com.concentricsky.android.khanacademy.data.db","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/data/db/Caption.java","3","27","The class 'Caption' is suspected to be a Data Class (WOC=14.286%, NOPA=0, NOAM=12, WMC=14)","Design","DataClass"
"1","com.concentricsky.android.khanacademy.data.db","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/data/db/DatabaseHelper.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.concentricsky.android.khanacademy.data.db","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/data/db/DatabaseHelper.java","3","418","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.concentricsky.android.khanacademy.data.db","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/data/db/EntityBase.java","3","40","The class 'EntityBase' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=14, WMC=14)","Design","DataClass"
"1","com.concentricsky.android.khanacademy.data.db","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/data/db/Topic.java","3","34","The class 'Topic' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=13, WMC=22)","Design","DataClass"
"1","com.concentricsky.android.khanacademy.data.db","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/data/db/User.java","3","28","The class 'User' is suspected to be a Data Class (WOC=9.091%, NOPA=0, NOAM=18, WMC=22)","Design","DataClass"
"1","com.concentricsky.android.khanacademy.data.db","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/data/db/UserVideo.java","3","28","The class 'UserVideo' is suspected to be a Data Class (WOC=5.263%, NOPA=0, NOAM=18, WMC=19)","Design","DataClass"
"1","com.concentricsky.android.khanacademy.data.db","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/data/db/Video.java","3","28","The class 'Video' is suspected to be a Data Class (WOC=0.000%, NOPA=3, NOAM=26, WMC=27)","Design","DataClass"
"2","com.concentricsky.android.khanacademy.data.db","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/data/db/Video.java","3","106","The class 'DownloadUrls' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=6)","Design","DataClass"
"1","com.concentricsky.android.khanacademy.data.remote","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/data/remote/KAAPIAdapter.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.concentricsky.android.khanacademy.data.remote","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/data/remote/VideoProgressPostTask.java","3","66","Avoid really long methods.","Design","ExcessiveMethodLength"
"2","com.concentricsky.android.khanacademy.data.remote","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/data/remote/VideoProgressPostTask.java","3","243","The class 'VideoProgressUpdate' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=5)","Design","DataClass"
"3","com.concentricsky.android.khanacademy.data.remote","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/data/remote/VideoProgressPostTask.java","3","290","The class 'ActionResults' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=6)","Design","DataClass"
"1","com.concentricsky.android.khanacademy.util","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/util/OfflineVideoManager.java","3","82","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.concentricsky.android.khanacademy.util","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/util/ThumbnailManager.java","3","207","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.concentricsky.android.khanacademy.views","/home/matheus/smell-and-machine-learning/repositories/concentricsky_android-viewer-for-khan-academy/src/com/concentricsky/android/khanacademy/views/VideoController.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
