"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.android.vending.billing","/home/matheus/smell-and-machine-learning/repositories/klassm_andFHEM/app/src/main/java/com/android/vending/billing/Base64.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.android.vending.billing","/home/matheus/smell-and-machine-learning/repositories/klassm_andFHEM/app/src/main/java/com/android/vending/billing/IabHelper.java","3","79","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","li.klass.fhem.connection.backend","/home/matheus/smell-and-machine-learning/repositories/klassm_andFHEM/app/src/main/java/li/klass/fhem/connection/backend/NoSSLv3Factory.java","3","105","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","li.klass.fhem.dagger","/home/matheus/smell-and-machine-learning/repositories/klassm_andFHEM/app/src/main/java/li/klass/fhem/dagger/ApplicationComponent.java","3","118","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","li.klass.fhem.domain.genericview","/home/matheus/smell-and-machine-learning/repositories/klassm_andFHEM/app/src/main/java/li/klass/fhem/domain/genericview/OverviewViewSettingsCache.java","3","33","The class 'OverviewViewSettingsCache' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=7)","Design","DataClass"
"1","li.klass.fhem.domain.heating.schedule.interval","/home/matheus/smell-and-machine-learning/repositories/klassm_andFHEM/app/src/main/java/li/klass/fhem/domain/heating/schedule/interval/FilledTemperatureInterval.java","3","27","The class 'FilledTemperatureInterval' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=10, WMC=14)","Design","DataClass"
"1","li.klass.fhem.domain.heating.schedule.interval","/home/matheus/smell-and-machine-learning/repositories/klassm_andFHEM/app/src/main/java/li/klass/fhem/domain/heating/schedule/interval/FromToHeatingInterval.java","3","29","The class 'FromToHeatingInterval' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=10)","Design","DataClass"
"1","li.klass.fhem.graph.backend.gplot","/home/matheus/smell-and-machine-learning/repositories/klassm_andFHEM/app/src/main/java/li/klass/fhem/graph/backend/gplot/GPlotDefinition.java","3","29","The class 'GPlotDefinition' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"1","li.klass.fhem.graph.backend.gplot","/home/matheus/smell-and-machine-learning/repositories/klassm_andFHEM/app/src/main/java/li/klass/fhem/graph/backend/gplot/GPlotParser.java","3","68","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","li.klass.fhem.graph.backend.gplot","/home/matheus/smell-and-machine-learning/repositories/klassm_andFHEM/app/src/main/java/li/klass/fhem/graph/backend/gplot/GPlotSeries.java","3","35","The class 'GPlotSeries' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=7, WMC=8)","Design","DataClass"
"1","li.klass.fhem.graph.ui","/home/matheus/smell-and-machine-learning/repositories/klassm_andFHEM/app/src/main/java/li/klass/fhem/graph/ui/ChartingDateSelectionActivity.java","3","57","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","li.klass.fhem.widget","/home/matheus/smell-and-machine-learning/repositories/klassm_andFHEM/app/src/main/java/li/klass/fhem/widget/LitreContentView.java","3","42","The class 'LitreContentView' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=7)","Design","DataClass"
"1","li.klass.fhem.graph.backend.gplot","/home/matheus/smell-and-machine-learning/repositories/klassm_andFHEM/app/src/test/java/li/klass/fhem/graph/backend/gplot/GPlotParserTest.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
