"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.gh4a","/home/matheus/smell-and-machine-learning/repositories/slapperwan_gh4a/app/src/main/java/com/gh4a/BaseActivity.java","3","88","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.gh4a","/home/matheus/smell-and-machine-learning/repositories/slapperwan_gh4a/app/src/main/java/com/gh4a/BasePagerActivity.java","3","22","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.gh4a","/home/matheus/smell-and-machine-learning/repositories/slapperwan_gh4a/app/src/main/java/com/gh4a/ServiceFactory.java","3","316","The class 'AuthorizationResponse' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"1","com.gh4a.activities","/home/matheus/smell-and-machine-learning/repositories/slapperwan_gh4a/app/src/main/java/com/gh4a/activities/CommitActivity.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.gh4a.activities","/home/matheus/smell-and-machine-learning/repositories/slapperwan_gh4a/app/src/main/java/com/gh4a/activities/CommitDiffViewerActivity.java","3","40","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.gh4a.activities","/home/matheus/smell-and-machine-learning/repositories/slapperwan_gh4a/app/src/main/java/com/gh4a/activities/DiffViewerActivity.java","3","51","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.gh4a.activities","/home/matheus/smell-and-machine-learning/repositories/slapperwan_gh4a/app/src/main/java/com/gh4a/activities/DiffViewerActivity.java","3","52","Avoid long parameter lists.","Design","ExcessiveParameterList"
"3","com.gh4a.activities","/home/matheus/smell-and-machine-learning/repositories/slapperwan_gh4a/app/src/main/java/com/gh4a/activities/DiffViewerActivity.java","3","217","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.gh4a.activities","/home/matheus/smell-and-machine-learning/repositories/slapperwan_gh4a/app/src/main/java/com/gh4a/activities/EditDiffCommentActivity.java","3","20","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.gh4a.activities","/home/matheus/smell-and-machine-learning/repositories/slapperwan_gh4a/app/src/main/java/com/gh4a/activities/EditPullRequestDiffCommentActivity.java","3","20","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","com.gh4a.activities","/home/matheus/smell-and-machine-learning/repositories/slapperwan_gh4a/app/src/main/java/com/gh4a/activities/FileViewerActivity.java","3","53","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.gh4a.activities","/home/matheus/smell-and-machine-learning/repositories/slapperwan_gh4a/app/src/main/java/com/gh4a/activities/GistActivity.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.gh4a.activities","/home/matheus/smell-and-machine-learning/repositories/slapperwan_gh4a/app/src/main/java/com/gh4a/activities/IssueActivity.java","3","59","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
