"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","cz.romario.opensudoku.db","/home/matheus/smell-and-machine-learning/repositories/opensudoku/OpenSudoku/src/cz/romario/opensudoku/db/DatabaseHelper.java","3","47","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","cz.romario.opensudoku.db","/home/matheus/smell-and-machine-learning/repositories/opensudoku/OpenSudoku/src/cz/romario/opensudoku/db/SudokuDatabase.java","3","49","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cz.romario.opensudoku.game","/home/matheus/smell-and-machine-learning/repositories/opensudoku/OpenSudoku/src/cz/romario/opensudoku/game/CellCollection.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cz.romario.opensudoku.game","/home/matheus/smell-and-machine-learning/repositories/opensudoku/OpenSudoku/src/cz/romario/opensudoku/game/SudokuGame.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cz.romario.opensudoku.game.command","/home/matheus/smell-and-machine-learning/repositories/opensudoku/OpenSudoku/src/cz/romario/opensudoku/game/command/CommandStack.java","3","9","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cz.romario.opensudoku.gui","/home/matheus/smell-and-machine-learning/repositories/opensudoku/OpenSudoku/src/cz/romario/opensudoku/gui/FolderListActivity.java","3","58","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cz.romario.opensudoku.gui","/home/matheus/smell-and-machine-learning/repositories/opensudoku/OpenSudoku/src/cz/romario/opensudoku/gui/SudokuBoardView.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","cz.romario.opensudoku.gui","/home/matheus/smell-and-machine-learning/repositories/opensudoku/OpenSudoku/src/cz/romario/opensudoku/gui/SudokuBoardView.java","3","396","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","cz.romario.opensudoku.gui","/home/matheus/smell-and-machine-learning/repositories/opensudoku/OpenSudoku/src/cz/romario/opensudoku/gui/SudokuListActivity.java","3","65","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","cz.romario.opensudoku.gui","/home/matheus/smell-and-machine-learning/repositories/opensudoku/OpenSudoku/src/cz/romario/opensudoku/gui/SudokuListActivity.java","3","487","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","cz.romario.opensudoku.gui","/home/matheus/smell-and-machine-learning/repositories/opensudoku/OpenSudoku/src/cz/romario/opensudoku/gui/SudokuPlayActivity.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cz.romario.opensudoku.gui.exporting","/home/matheus/smell-and-machine-learning/repositories/opensudoku/OpenSudoku/src/cz/romario/opensudoku/gui/exporting/FileExportTask.java","3","66","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","cz.romario.opensudoku.gui.importing","/home/matheus/smell-and-machine-learning/repositories/opensudoku/OpenSudoku/src/cz/romario/opensudoku/gui/importing/AbstractImportTask.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","cz.romario.opensudoku.gui.inputmethod","/home/matheus/smell-and-machine-learning/repositories/opensudoku/OpenSudoku/src/cz/romario/opensudoku/gui/inputmethod/InputMethod.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
