"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.keepassdroid.tests","/home/matheus/smell-and-machine-learning/repositories/bpellin_keepassdroid/app/src/androidTest/java/com/keepassdroid/tests/TypesTest.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","biz.source_code.base64Coder","/home/matheus/smell-and-machine-learning/repositories/bpellin_keepassdroid/app/src/main/java/biz/source_code/base64Coder/Base64Coder.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.keepassdroid","/home/matheus/smell-and-machine-learning/repositories/bpellin_keepassdroid/app/src/main/java/com/keepassdroid/Database.java","3","59","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.keepassdroid","/home/matheus/smell-and-machine-learning/repositories/bpellin_keepassdroid/app/src/main/java/com/keepassdroid/EntryActivity.java","3","71","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.keepassdroid","/home/matheus/smell-and-machine-learning/repositories/bpellin_keepassdroid/app/src/main/java/com/keepassdroid/EntryEditActivity.java","3","64","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.keepassdroid","/home/matheus/smell-and-machine-learning/repositories/bpellin_keepassdroid/app/src/main/java/com/keepassdroid/EntryEditActivity.java","3","113","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.keepassdroid","/home/matheus/smell-and-machine-learning/repositories/bpellin_keepassdroid/app/src/main/java/com/keepassdroid/GroupBaseActivity.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.keepassdroid","/home/matheus/smell-and-machine-learning/repositories/bpellin_keepassdroid/app/src/main/java/com/keepassdroid/PasswordActivity.java","3","83","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.keepassdroid.crypto","/home/matheus/smell-and-machine-learning/repositories/bpellin_keepassdroid/app/src/main/java/com/keepassdroid/crypto/NativeAESCipherSpi.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.keepassdroid.crypto.keyDerivation","/home/matheus/smell-and-machine-learning/repositories/bpellin_keepassdroid/app/src/main/java/com/keepassdroid/crypto/keyDerivation/Argon2Kdf.java","3","28","The class 'Argon2Kdf' is suspected to be a Data Class (WOC=0.000%, NOPA=10, NOAM=0, WMC=1)","Design","DataClass"
"1","com.keepassdroid.database","/home/matheus/smell-and-machine-learning/repositories/bpellin_keepassdroid/app/src/main/java/com/keepassdroid/database/PwDatabase.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.keepassdroid.database","/home/matheus/smell-and-machine-learning/repositories/bpellin_keepassdroid/app/src/main/java/com/keepassdroid/database/PwDatabaseV3.java","3","63","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.keepassdroid.database","/home/matheus/smell-and-machine-learning/repositories/bpellin_keepassdroid/app/src/main/java/com/keepassdroid/database/PwDatabaseV4.java","3","63","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.keepassdroid.database","/home/matheus/smell-and-machine-learning/repositories/bpellin_keepassdroid/app/src/main/java/com/keepassdroid/database/PwEntryV4.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.keepassdroid.database","/home/matheus/smell-and-machine-learning/repositories/bpellin_keepassdroid/app/src/main/java/com/keepassdroid/database/PwIconStandard.java","3","22","The class 'PwIconStandard' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","com.keepassdroid.database.load","/home/matheus/smell-and-machine-learning/repositories/bpellin_keepassdroid/app/src/main/java/com/keepassdroid/database/load/ImporterV3.java","3","131","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.keepassdroid.database.load","/home/matheus/smell-and-machine-learning/repositories/bpellin_keepassdroid/app/src/main/java/com/keepassdroid/database/load/ImporterV4.java","3","77","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.keepassdroid.database.load","/home/matheus/smell-and-machine-learning/repositories/bpellin_keepassdroid/app/src/main/java/com/keepassdroid/database/load/ImporterV4.java","3","77","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.keepassdroid.database.load","/home/matheus/smell-and-machine-learning/repositories/bpellin_keepassdroid/app/src/main/java/com/keepassdroid/database/load/ImporterV4.java","3","105","Avoid really long methods.","Design","ExcessiveMethodLength"
