"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.andybotting.tramhunter.activity","/home/matheus/smell-and-machine-learning/repositories/andybotting_tramhunter/app/src/main/java/com/andybotting/tramhunter/activity/HomeActivity.java","3","173","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.andybotting.tramhunter.activity","/home/matheus/smell-and-machine-learning/repositories/andybotting_tramhunter/app/src/main/java/com/andybotting/tramhunter/activity/NearStopsActivity.java","3","85","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.andybotting.tramhunter.activity","/home/matheus/smell-and-machine-learning/repositories/andybotting_tramhunter/app/src/main/java/com/andybotting/tramhunter/activity/StopDetailsActivity.java","3","93","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.andybotting.tramhunter.activity","/home/matheus/smell-and-machine-learning/repositories/andybotting_tramhunter/app/src/main/java/com/andybotting/tramhunter/activity/StopDetailsActivity.java","3","144","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.andybotting.tramhunter.objects","/home/matheus/smell-and-machine-learning/repositories/andybotting_tramhunter/app/src/main/java/com/andybotting/tramhunter/objects/Destination.java","3","38","The class 'Destination' is suspected to be a Data Class (WOC=10.000%, NOPA=0, NOAM=9, WMC=11)","Design","DataClass"
"1","com.andybotting.tramhunter.objects","/home/matheus/smell-and-machine-learning/repositories/andybotting_tramhunter/app/src/main/java/com/andybotting/tramhunter/objects/NextTram.java","3","42","The class 'NextTram' is suspected to be a Data Class (WOC=10.526%, NOPA=0, NOAM=34, WMC=44)","Design","DataClass"
"1","com.andybotting.tramhunter.objects","/home/matheus/smell-and-machine-learning/repositories/andybotting_tramhunter/app/src/main/java/com/andybotting/tramhunter/objects/Stop.java","3","46","The class 'Stop' is suspected to be a Data Class (WOC=26.667%, NOPA=2, NOAM=22, WMC=45)","Design","DataClass"
"1","com.andybotting.tramhunter.objects","/home/matheus/smell-and-machine-learning/repositories/andybotting_tramhunter/app/src/main/java/com/andybotting/tramhunter/objects/TramRun.java","3","40","The class 'TramRun' is suspected to be a Data Class (WOC=27.778%, NOPA=0, NOAM=13, WMC=19)","Design","DataClass"
"1","com.andybotting.tramhunter.objects","/home/matheus/smell-and-machine-learning/repositories/andybotting_tramhunter/app/src/main/java/com/andybotting/tramhunter/objects/TramRunTime.java","3","39","The class 'TramRunTime' is suspected to be a Data Class (WOC=20.000%, NOPA=0, NOAM=4, WMC=5)","Design","DataClass"
"1","com.andybotting.tramhunter.objects","/home/matheus/smell-and-machine-learning/repositories/andybotting_tramhunter/app/src/main/java/com/andybotting/tramhunter/objects/Tweet.java","3","7","The class 'Tweet' is suspected to be a Data Class (WOC=13.333%, NOPA=0, NOAM=13, WMC=20)","Design","DataClass"
