"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","de.test.antennapod.gpodnet","/home/matheus/smell-and-machine-learning/repositories/AntennaPod/app/src/androidTest/java/de/test/antennapod/gpodnet/GPodnetServiceTest.java","3","24","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.test.antennapod.service.download","/home/matheus/smell-and-machine-learning/repositories/AntennaPod/app/src/androidTest/java/de/test/antennapod/service/download/HttpDownloaderTest.java","3","18","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.test.antennapod.service.playback","/home/matheus/smell-and-machine-learning/repositories/AntennaPod/app/src/androidTest/java/de/test/antennapod/service/playback/PlaybackServiceMediaPlayerTest.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","de.test.antennapod.service.playback","/home/matheus/smell-and-machine-learning/repositories/AntennaPod/app/src/androidTest/java/de/test/antennapod/service/playback/PlaybackServiceMediaPlayerTest.java","3","750","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.test.antennapod.service.playback","/home/matheus/smell-and-machine-learning/repositories/AntennaPod/app/src/androidTest/java/de/test/antennapod/service/playback/PlaybackServiceTaskManagerTest.java","3","24","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.test.antennapod.storage","/home/matheus/smell-and-machine-learning/repositories/AntennaPod/app/src/androidTest/java/de/test/antennapod/storage/DBReaderTest.java","3","24","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.test.antennapod.storage","/home/matheus/smell-and-machine-learning/repositories/AntennaPod/app/src/androidTest/java/de/test/antennapod/storage/DBWriterTest.java","3","28","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.test.antennapod.ui","/home/matheus/smell-and-machine-learning/repositories/AntennaPod/app/src/androidTest/java/de/test/antennapod/ui/PlaybackSonicTest.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.test.antennapod.ui","/home/matheus/smell-and-machine-learning/repositories/AntennaPod/app/src/androidTest/java/de/test/antennapod/ui/PlaybackTest.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.test.antennapod.ui","/home/matheus/smell-and-machine-learning/repositories/AntennaPod/app/src/androidTest/java/de/test/antennapod/ui/PreferencesTest.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
