"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.geometerplus.android.fbreader","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/android/fbreader/DisplayBookPopupAction.java","3","70","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.geometerplus.android.fbreader","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/android/fbreader/FBReader.java","3","73","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.geometerplus.android.fbreader","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/android/fbreader/FBReader.java","3","206","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.geometerplus.android.fbreader","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/android/fbreader/ProcessHyperlinkAction.java","3","61","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.geometerplus.android.fbreader.api","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/android/fbreader/api/ApiClientImplementation.java","3","15","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.geometerplus.android.fbreader.api","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/android/fbreader/api/ApiObject.java","3","13","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.geometerplus.android.fbreader.api","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/android/fbreader/api/ApiServerImplementation.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.geometerplus.android.fbreader.api","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/android/fbreader/api/ApiServerImplementation.java","3","73","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.geometerplus.android.fbreader.api","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/android/fbreader/api/TextPosition.java","3","10","The class 'TextPosition' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)","Design","DataClass"
"1","org.geometerplus.android.fbreader.bookmark","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/android/fbreader/bookmark/BookmarksActivity.java","3","45","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.geometerplus.android.fbreader.library","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/android/fbreader/library/LibraryActivity.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.geometerplus.android.fbreader.libraryService","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/android/fbreader/libraryService/BookCollectionShadow.java","3","38","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.geometerplus.android.fbreader.libraryService","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/android/fbreader/libraryService/LibraryService.java","3","93","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.geometerplus.android.fbreader.libraryService","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/android/fbreader/libraryService/PositionWithTimestamp.java","3","13","The class 'PositionWithTimestamp' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=0, WMC=3)","Design","DataClass"
"1","org.geometerplus.android.fbreader.libraryService","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/android/fbreader/libraryService/SQLiteBooksDatabase.java","3","42","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.geometerplus.android.fbreader.libraryService","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/android/fbreader/libraryService/SQLiteBooksDatabase.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.geometerplus.android.fbreader.libraryService","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/android/fbreader/libraryService/SQLiteBooksDatabase.java","3","250","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.geometerplus.android.fbreader.network","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/android/fbreader/network/BookDownloaderService.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.geometerplus.android.fbreader.network","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/android/fbreader/network/BookDownloaderService.java","3","256","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.geometerplus.android.fbreader.network","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/android/fbreader/network/BuyBooksActivity.java","3","44","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.geometerplus.android.fbreader.network","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/android/fbreader/network/NetworkLibraryActivity.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.geometerplus.android.fbreader.network","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/android/fbreader/network/SQLiteNetworkDatabase.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.geometerplus.android.fbreader.preferences","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/android/fbreader/preferences/PreferenceActivity.java","3","97","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.geometerplus.android.fbreader.sync","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/android/fbreader/sync/BookmarkSyncUtil.java","3","33","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.geometerplus.android.fbreader.sync","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/android/fbreader/sync/SyncService.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.geometerplus.android.fbreader.tree","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/android/fbreader/tree/TreeActivity.java","3","39","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.geometerplus.fbreader","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/fbreader/Paths.java","3","34","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.geometerplus.fbreader.book","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/fbreader/book/AbstractBook.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.geometerplus.fbreader.book","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/fbreader/book/BookCollection.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.geometerplus.fbreader.book","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/fbreader/book/Bookmark.java","3","78","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","org.geometerplus.fbreader.book","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/fbreader/book/BookmarkQuery.java","3","22","The class 'BookmarkQuery' is suspected to be a Data Class (WOC=25.000%, NOPA=4, NOAM=0, WMC=5)","Design","DataClass"
"1","org.geometerplus.fbreader.book","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/fbreader/book/BooksDatabase.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.geometerplus.fbreader.book","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/fbreader/book/BooksDatabase.java","3","106","Avoid long parameter lists.","Design","ExcessiveParameterList"
"1","org.geometerplus.fbreader.book","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/fbreader/book/IBookCollection.java","3","27","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.geometerplus.fbreader.book","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/fbreader/book/SerializerUtil.java","3","24","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.geometerplus.fbreader.book","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/fbreader/book/XMLSerializer.java","3","36","Avoid really long classes.","Design","ExcessiveClassLength"
"2","org.geometerplus.fbreader.book","/home/matheus/smell-and-machine-learning/repositories/geometer_FBReaderJ/fbreader/app/src/main/java/org/geometerplus/fbreader/book/XMLSerializer.java","3","36","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
