"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.sufficientlysecure.keychain.remote","/home/matheus/smell-and-machine-learning/repositories/open-keychain/OpenKeychain/src/androidTest/java/org/sufficientlysecure/keychain/remote/OpenPgpServiceTest.java","3","59","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.sufficientlysecure.keychain.ui","/home/matheus/smell-and-machine-learning/repositories/open-keychain/OpenKeychain/src/androidTest/java/org/sufficientlysecure/keychain/ui/CreateKeyActivityTest.java","3","64","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","android.support.v4.widget","/home/matheus/smell-and-machine-learning/repositories/open-keychain/OpenKeychain/src/main/java/android/support/v4/widget/FlingNestedScrollView.java","3","64","Avoid really long classes.","Design","ExcessiveClassLength"
"2","android.support.v4.widget","/home/matheus/smell-and-machine-learning/repositories/open-keychain/OpenKeychain/src/main/java/android/support/v4/widget/FlingNestedScrollView.java","3","64","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","android.support.v4.widget","/home/matheus/smell-and-machine-learning/repositories/open-keychain/OpenKeychain/src/main/java/android/support/v4/widget/FlingNestedScrollView.java","3","477","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.sufficientlysecure.keychain","/home/matheus/smell-and-machine-learning/repositories/open-keychain/OpenKeychain/src/main/java/org/sufficientlysecure/keychain/KeychainDatabase.java","3","135","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","org.sufficientlysecure.keychain.daos","/home/matheus/smell-and-machine-learning/repositories/open-keychain/OpenKeychain/src/main/java/org/sufficientlysecure/keychain/daos/KeyWritableRepository.java","3","81","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","org.sufficientlysecure.keychain.daos","/home/matheus/smell-and-machine-learning/repositories/open-keychain/OpenKeychain/src/main/java/org/sufficientlysecure/keychain/daos/KeyWritableRepository.java","3","171","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","org.sufficientlysecure.keychain.daos","/home/matheus/smell-and-machine-learning/repositories/open-keychain/OpenKeychain/src/main/java/org/sufficientlysecure/keychain/daos/KeyWritableRepository.java","3","693","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","org.sufficientlysecure.keychain.daos","/home/matheus/smell-and-machine-learning/repositories/open-keychain/OpenKeychain/src/main/java/org/sufficientlysecure/keychain/daos/KeyWritableRepository.java","3","834","Avoid really long methods.","Design","ExcessiveMethodLength"
