"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.ichi2.anki.tests","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/androidTest/java/com.ichi2.anki.tests/ContentProviderTest.java","3","69","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/AbstractFlashcardViewer.java","3","109","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/AbstractFlashcardViewer.java","3","109","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/AbstractFlashcardViewer.java","3","1292","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/AbstractFlashcardViewer.java","3","1421","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/AnkiActivity.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/CardBrowser.java","3","89","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/CardBrowser.java","3","90","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/CardBrowser.java","3","366","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/CardBrowser.java","3","717","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/CardTemplateEditor.java","3","360","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/DeckOptions.java","3","75","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/DeckOptions.java","3","151","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/DeckOptions.java","3","165","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/DeckPicker.java","3","119","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/DeckPicker.java","3","122","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/DeckPicker.java","3","895","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/DeckPicker.java","3","1503","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/MetaDB.java","3","25","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/ModelBrowser.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/ModelFieldEditor.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/NavigationDrawerActivity.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/NoteEditor.java","3","102","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/NoteEditor.java","3","102","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/NoteEditor.java","3","330","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/Preferences.java","3","90","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/Preferences.java","3","184","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/Preferences.java","3","423","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/Reviewer.java","3","55","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/Reviewer.java","3","161","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/StudyOptionsActivity.java","3","32","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/StudyOptionsFragment.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/StudyOptionsFragment.java","3","504","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/StudyOptionsFragment.java","3","512","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/Whiteboard.java","3","42","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ichi2.anki.dialogs","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/dialogs/CustomStudyDialog.java","3","199","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.ichi2.anki.dialogs","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/dialogs/DatabaseErrorDialog.java","3","53","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.ichi2.anki.dialogs","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/dialogs/SyncErrorDialog.java","3","51","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.ichi2.anki.multimediacard.activity","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/multimediacard/activity/LoadPronounciationActivity.java","3","55","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ichi2.anki.multimediacard.activity","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/multimediacard/activity/MultimediaEditFieldActivity.java","3","52","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ichi2.anki.multimediacard.activity","/home/matheus/smell-and-machine-learning/repositories/Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/multimediacard/activity/TranslationActivity.java","3","60","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
