"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.ichi2.anki.tests","/home/matheus/smell-and-machine-learning/repositories/ankidroid_Anki-Android/AnkiDroid/src/androidTest/java/com.ichi2.anki.tests/ContentProviderTest.java","3","69","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/ankidroid_Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/AbstractFlashcardViewer.java","3","111","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/ankidroid_Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/AbstractFlashcardViewer.java","3","111","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/ankidroid_Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/AbstractFlashcardViewer.java","3","1270","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/ankidroid_Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/AbstractFlashcardViewer.java","3","1402","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/ankidroid_Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/AnkiActivity.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/ankidroid_Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/CardBrowser.java","3","91","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/ankidroid_Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/CardBrowser.java","3","92","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/ankidroid_Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/CardBrowser.java","3","420","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/ankidroid_Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/CardBrowser.java","3","771","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/ankidroid_Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/CardTemplateEditor.java","3","370","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/ankidroid_Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/DeckOptions.java","3","75","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/ankidroid_Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/DeckOptions.java","3","152","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/ankidroid_Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/DeckOptions.java","3","166","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/ankidroid_Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/DeckPicker.java","3","121","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/ankidroid_Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/DeckPicker.java","3","124","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/ankidroid_Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/DeckPicker.java","3","878","Avoid really long methods.","Design","ExcessiveMethodLength"
"4","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/ankidroid_Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/DeckPicker.java","3","1445","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/ankidroid_Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/MetaDB.java","3","25","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/ankidroid_Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/ModelBrowser.java","3","61","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/ankidroid_Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/ModelFieldEditor.java","3","46","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/ankidroid_Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/NavigationDrawerActivity.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/ankidroid_Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/NoteEditor.java","3","101","Avoid really long classes.","Design","ExcessiveClassLength"
"2","com.ichi2.anki","/home/matheus/smell-and-machine-learning/repositories/ankidroid_Anki-Android/AnkiDroid/src/main/java/com/ichi2/anki/NoteEditor.java","3","101","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
