"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.dougkeen.bart","/home/matheus/smell-and-machine-learning/repositories/BartRunnerAndroid/app/src/main/java/com/dougkeen/bart/BartRunnerApplication.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.dougkeen.bart.activities","/home/matheus/smell-and-machine-learning/repositories/BartRunnerAndroid/app/src/main/java/com/dougkeen/bart/activities/RoutesListActivity.java","3","54","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.dougkeen.bart.activities","/home/matheus/smell-and-machine-learning/repositories/BartRunnerAndroid/app/src/main/java/com/dougkeen/bart/activities/ViewDeparturesActivity.java","3","57","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.dougkeen.bart.data","/home/matheus/smell-and-machine-learning/repositories/BartRunnerAndroid/app/src/main/java/com/dougkeen/bart/data/DepartureArrayAdapter.java","3","42","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","com.dougkeen.bart.model","/home/matheus/smell-and-machine-learning/repositories/BartRunnerAndroid/app/src/main/java/com/dougkeen/bart/model/Alert.java","3","6","The class 'Alert' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=10, WMC=11)","Design","DataClass"
"1","com.dougkeen.bart.model","/home/matheus/smell-and-machine-learning/repositories/BartRunnerAndroid/app/src/main/java/com/dougkeen/bart/model/Departure.java","3","30","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.dougkeen.bart.model","/home/matheus/smell-and-machine-learning/repositories/BartRunnerAndroid/app/src/main/java/com/dougkeen/bart/model/RealTimeDepartures.java","3","8","The class 'RealTimeDepartures' is suspected to be a Data Class (WOC=31.250%, NOPA=0, NOAM=10, WMC=30)","Design","DataClass"
"1","com.dougkeen.bart.model","/home/matheus/smell-and-machine-learning/repositories/BartRunnerAndroid/app/src/main/java/com/dougkeen/bart/model/Route.java","3","5","The class 'Route' is suspected to be a Data Class (WOC=20.000%, NOPA=0, NOAM=12, WMC=22)","Design","DataClass"
"1","com.dougkeen.bart.model","/home/matheus/smell-and-machine-learning/repositories/BartRunnerAndroid/app/src/main/java/com/dougkeen/bart/model/ScheduleInformation.java","3","6","The class 'ScheduleInformation' is suspected to be a Data Class (WOC=30.769%, NOPA=0, NOAM=8, WMC=19)","Design","DataClass"
"1","com.dougkeen.bart.model","/home/matheus/smell-and-machine-learning/repositories/BartRunnerAndroid/app/src/main/java/com/dougkeen/bart/model/ScheduleItem.java","3","7","The class 'ScheduleItem' is suspected to be a Data Class (WOC=5.882%, NOPA=1, NOAM=14, WMC=19)","Design","DataClass"
"1","com.dougkeen.bart.model","/home/matheus/smell-and-machine-learning/repositories/BartRunnerAndroid/app/src/main/java/com/dougkeen/bart/model/StationPair.java","3","14","The class 'StationPair' is suspected to be a Data Class (WOC=26.667%, NOPA=1, NOAM=10, WMC=17)","Design","DataClass"
"1","com.dougkeen.bart.services","/home/matheus/smell-and-machine-learning/repositories/BartRunnerAndroid/app/src/main/java/com/dougkeen/bart/services/BoardedDepartureService.java","3","33","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","com.dougkeen.bart.services","/home/matheus/smell-and-machine-learning/repositories/BartRunnerAndroid/app/src/main/java/com/dougkeen/bart/services/EtdService.java","3","103","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"2","com.dougkeen.bart.services","/home/matheus/smell-and-machine-learning/repositories/BartRunnerAndroid/app/src/main/java/com/dougkeen/bart/services/EtdService.java","3","268","Avoid really long methods.","Design","ExcessiveMethodLength"
"3","com.dougkeen.bart.services","/home/matheus/smell-and-machine-learning/repositories/BartRunnerAndroid/app/src/main/java/com/dougkeen/bart/services/EtdService.java","3","396","Avoid really long methods.","Design","ExcessiveMethodLength"
